@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,authkeywords,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/0029542497,SCOPUS_ID:0029542497,2-s2.0-0029542497,Biological Flora of the British Isles No.188 - Lychnis viscaria L. (Viscaria vulgaris Bernh.),Wilson G.B.,Journal of Ecology,00220477,83,6,1039-1051,1995-01-01,1995,10.2307/2261185,12,Journal,ar,Article,100,5,5,29602,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029502974,SCOPUS_ID:0029502974,2-s2.0-0029502974,"Trisetum flavescens (L.) Beauv. (T.pratense Pers., Avena flavescens L.)",Dixon J.,Journal of Ecology,00220477,83,5,895-909,1995-01-01,1995,10.2307/2261427,10,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029159483,SCOPUS_ID:0029159483,2-s2.0-0029159483,Effect of reproduction on nitrogen allocation and carbon gain in Oenothera biennis,Saulnier T.,Journal of Ecology,00220477,83,1,23-29,1995-01-01,1995,10.2307/2261147,40,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029155226,SCOPUS_ID:0029155226,2-s2.0-0029155226,Associations between allele frequencies in Festuca ovina and habitat variation in the alvar grasslands on the Baltic island of Oland,Prentice H.,Journal of Ecology,00220477,83,3,391-402,1995-01-01,1995,10.2307/2261593,76,Journal,ar,Article,100,4,4,29602,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029139559,SCOPUS_ID:0029139559,2-s2.0-0029139559,"Ecological correlates of carbon isotope composition of leaves: A comparative analysis testing for the effects of temperature, CO2 and O2 partial pressures and taxonomic relatedness on delta13C",Kelly C.,Journal of Ecology,00220477,83,3,509-515,1995-01-01,1995,10.2307/2261603,54,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029110976,SCOPUS_ID:0029110976,2-s2.0-0029110976,The interpretation and misinterpretation of mortality rate measures,Sheil D.,Journal of Ecology,00220477,83,2,331-333,1995-01-01,1995,10.2307/2261571,358,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029106639,SCOPUS_ID:0029106639,2-s2.0-0029106639,On the practice of ecology,Weiner J.,Journal of Ecology,00220477,83,1,153-158,1995-01-01,1995,10.2307/2261159,94,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995750,SCOPUS_ID:0028995750,2-s2.0-0028995750,Climate and erosion signals in British blanket peats: The significance of Racomitrium lanuginosum remains,Tallis J.,Journal of Ecology,00220477,83,6,1021-1030,1995-01-01,1995,10.2307/2261183,45,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995663,SCOPUS_ID:0028995663,2-s2.0-0028995663,Arbuscular mycorrhiza protect an annual grass from root pathogenic fungi in the field,Newsham K.,Journal of Ecology,00220477,83,6,991-1000,1995-01-01,1995,10.2307/2261180,347,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995660,SCOPUS_ID:0028995660,2-s2.0-0028995660,"Temporal and spatial changes in a metapopulation of the rust pathogen Triphragmium ulmariae and its host, Filipendula ulmaria",Burdon J.,Journal of Ecology,00220477,83,6,979-989,1995-01-01,1995,10.2307/2261179,84,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,10,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995527,SCOPUS_ID:0028995527,2-s2.0-0028995527,Factors contributing to postfire seedling establishment in chaparral: Direct and indirect effects of fire,Tyler C.,Journal of Ecology,00220477,83,6,1009-1020,1995-01-01,1995,10.2307/2261182,99,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,11,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995521,SCOPUS_ID:0028995521,2-s2.0-0028995521,Spatial heterogeneity in eight central Texas grasslands,Miller R.,Journal of Ecology,00220477,83,6,919-928,1995-01-01,1995,10.2307/2261174,36,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,12,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995504,SCOPUS_ID:0028995504,2-s2.0-0028995504,Above-ground biomass accumulation along a 230-year chronosequence in the southern portion of the Canadian boreal forest,Pare D.,Journal of Ecology,00220477,83,6,1001-1007,1995-01-01,1995,10.2307/2261181,85,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,13,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995497,SCOPUS_ID:0028995497,2-s2.0-0028995497,Phylogenetic patterns among tropical flowering phenologies,Wright S.,Journal of Ecology,00220477,83,6,937-948,1995-01-01,1995,10.2307/2261176,161,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,14,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995495,SCOPUS_ID:0028995495,2-s2.0-0028995495,Recent advance of the arctic treeline along the eastern coast of Hudson Bay,Lescop-Sinclair K.,Journal of Ecology,00220477,83,6,929-936,1995-01-01,1995,10.2307/2261175,94,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,15,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995492,SCOPUS_ID:0028995492,2-s2.0-0028995492,Redefining seed dormancy: An attempt to integrate physiology and ecology,Vleeshouwers L.,Journal of Ecology,00220477,83,6,1031-1037,1995-01-01,1995,10.2307/2261184,288,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,16,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995489,SCOPUS_ID:0028995489,2-s2.0-0028995489,Phenology and growth of three temperate forest life forms in response to artificial soil warming,Farnsworth E.,Journal of Ecology,00220477,83,6,967-977,1995-01-01,1995,10.2307/2261178,77,Journal,ar,Article,100,4,4,29602,undefined,0,FALSE,17,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028995441,SCOPUS_ID:0028995441,2-s2.0-0028995441,Establishment of the green alga Codium fragile ssp. tomentosoides on New Zealand rocky shores: Current distribution and invertebrate grazers,Trowbridge C.D.,Journal of Ecology,00220477,83,6,949-965,1995-01-01,1995,10.2307/2261177,117,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,18,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028983111,SCOPUS_ID:0028983111,2-s2.0-0028983111,Seed dispersal of halophytes in tidal salt marshes,Huiskes A.H.,Journal of Ecology,00220477,83,4,559-567,1995-01-01,1995,10.2307/2261624,120,Journal,ar,Article,100,6,6,29602,undefined,0,FALSE,19,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982586,SCOPUS_ID:0028982586,2-s2.0-0028982586,Are calcareous grasslands in the UK under threat from nitrogen deposition? - An experimental determination of a critical laod,Wilson E.,Journal of Ecology,00220477,83,5,823-832,1995-01-01,1995,10.2307/2261419,73,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,20,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982581,SCOPUS_ID:0028982581,2-s2.0-0028982581,Spread of anther-smut disease (Ustilago violacea) and character correlations in a genetically variable experimental population of Silene alba,Alexander H.,Journal of Ecology,00220477,83,5,783-794,1995-01-01,1995,10.2307/2261415,77,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,21,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982580,SCOPUS_ID:0028982580,2-s2.0-0028982580,Sexual dimorphism of dormancy and survivorship in buried seeds of Silene latifolia,Purrington C.B.,Journal of Ecology,00220477,83,5,795-800,1995-01-01,1995,10.2307/2261416,27,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,22,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982579,SCOPUS_ID:0028982579,2-s2.0-0028982579,The effect of seed orientation on germination in a uniform environment: Differential success without genetic or environmental variation,Bosy J.,Journal of Ecology,00220477,83,5,769-773,1995-01-01,1995,10.2307/2261413,13,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,23,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982578,SCOPUS_ID:0028982578,2-s2.0-0028982578,"Diatom production responses to the development of early agriculture in a boreal forest lake-catchment (Kassjon, northern Sweden)",Anderson N.,Journal of Ecology,00220477,83,5,809-822,1995-01-01,1995,10.2307/2261418,63,Journal,ar,Article,100,3,3,29602,undefined,0,FALSE,24,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982575,SCOPUS_ID:0028982575,2-s2.0-0028982575,Pollinator behavioural responses to reward size in Lobelia deckenii: No escape from pollen limitation of seed set,Burd M.,Journal of Ecology,00220477,83,5,865-872,1995-01-01,1995,10.2307/2261423,30,Journal,ar,Article,100,1,1,29602,undefined,0,FALSE,25,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982571,SCOPUS_ID:0028982571,2-s2.0-0028982571,An environmentally defined biogeographical zonation of Scotland designed to reflect species distributions,Carey P.,Journal of Ecology,00220477,83,5,833-845,1995-01-01,1995,10.2307/2261420,44,Journal,ar,Article,100,5,5,29602,undefined,0,FALSE,26,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028982570,SCOPUS_ID:0028982570,2-s2.0-0028982570,Pattern of defoliation and its effect on photosynthetic capacity in Oenothera biennis,Morrison K.,Journal of Ecology,00220477,83,5,759-767,1995-01-01,1995,10.2307/2261412,45,Journal,ar,Article,100,2,2,29602,undefined,0,FALSE,27,NA,NA,NA,NA
