@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0032443772,SCOPUS_ID:0032443772,2-s2.0-0032443772,"Abundance, distribution and life histories of grassland plants: A comparative study of 81 species",Eriksson O.,Journal of Ecology,00220477,86,6,922-933,1998-12-01,1998,10.1046/j.1365-2745.1998.00309.x,"1 This study examines the abundance and distribution of grassland plant species in particular relation to features affecting colonization. Seed production (inversely related to seed size) and recruitment success (positively related) affect colonization ability, suggesting that seed size can be used as a key trait. 2 Data on seed size, dispersal mode, life form, geographical range size and abundance were gathered for 81 grassland plant species in a field study area in Sweden. Seed production and plant size were estimated for 69 of these species. Analyses were performed both across species, with species treated as independent data points, and for 43 'phylogenetically independent contrasts'. 3 The cross-species analyses suggested that local abundance was related to life forms but not dispersal or plant size. Perennials were generally most abundant, as were clonal species. If abundance reflects colonization we predicted that species with intermediately sized seeds (or intermediate seed production) would be most abundant, and this was supported by the phylogenetic contrast but not by cross-species analyses. In the former analysis, a high abundance of species was significantly associated with a small seed size deviation (and seed number deviation) from the median values of these traits in the community. 4 Local abundance, seed production and seed size deviation from the community median value were positively related to geographical range size in the cross-species analysis, but no relationships were seen in the phylogenetic contrast analysis. 5 We conclude that colonization processes do have a significant influence on abundance patterns in grasslands. Seed size is a key trait for colonizing ability, and the effects of the trade-off of seed size vs. seed number must be considered. No single mechanism can be identified that influences both abundance and geographical distribution range.",135,Journal,ar,Article,100,2,2,Colonization | Metapopulation dynamics | Phylogenetic comparative methods | Plant communities | Seed size,29602,undefined,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032442591,SCOPUS_ID:0032442591,2-s2.0-0032442591,The relative contributions of sexual reproduction and clonal propagation in Opuntia rastrera from two habitats in the Chihuahuan Desert,Del Carmen Mandujano M.,Journal of Ecology,00220477,86,6,911-921,1998-12-01,1998,10.1046/j.1365-2745.1998.00308.x,"1 The clonal cactus Opuntia rastrera shows predominantly sexual reproduction in grasslands (GH) and clonal propagation in nopaleras (NH). We assessed the effects of light, herbivory, water availability and the habitat an offspring came from on the survival and growth of sexual or clonal offspring (i.e. seedlings and cladodes), through 3-and 4-year common garden and short-term greenhouse experiments. 2 Shading by nurse plants increased seedling survival in the field by an order of magnitude, and a small additional advantage due to predator protection by grasses was observed. Strong herbivory transforms a facultative nurse-protege relationship for seedlings into an obligatory one. 3 In the greenhouse seedlings grew better under shade, but in the field the production of the first cladode was delayed in seedlings in the more shaded GH. Competition for soil resources may be more intense under a dense grass tussock than under a open shrub, thus affecting the nurse-protege relationship. Seedling survival under nurse plants was similar in GH and NH, but higher plant cover suggests that a larger number of seedlings will establish in GH in the long term. 4 Cladode survival was higher in NH. Cladodes were more successful than seedlings at establishing in intercanopy areas, possibly due to physiological differences as well as their ability to survive partial predation. Cladode survival in intercanopy areas may explain the enhanced clonal propagation in the more open NH scrubland, together with their susceptibility to the flooding which affects GH. 5 The high seedling and cladode survival in the greenhouse experiments contrasted with that observed in the field, indicating that survival is determined by the interaction between herbivores, plants and abiotic conditions rather than the physiological aptitude of the plants.",92,Journal,ar,Article,100,4,4,Cactaceae | Clonal vs. sexual recruitment | Herbivory | Nurse plants | Opuntia rastrera,29602,undefined,1,TRUE,all,All Open Access,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032440970,SCOPUS_ID:0032440970,2-s2.0-0032440970,"Sources of plants colonizing experimentally disturbed patches in an acidic grassland, in eastern England",Pakeman R.,Journal of Ecology,00220477,86,6,1032-1041,1998-12-01,1998,10.1046/j.1365-2745.1998.00327.x,"1 The sources of propagules for regeneration in an acidic grassland were identified from analysis of differences in colonization between plots subject to surface (0-5 cm) soil disturbance and plots where surface soil had been replaced by 'seed-free' soil from deeper soil horizons (30-35 cm), and between plots with and without the removal of rabbit pellets. 2 After 1 year, 10 species had a significantly higher cover on plots where the seed bank had been left intact. These included Agrostis capillaris (the dominant species prior to disturbance), Myosotis arvensis and Veronica arvensis. 3 Five species, including Sagina apetala, Senecio jacobaea and Veronica arvensis, showed significantly higher cover on plots where rabbit pellets were left in situ. 4 From calculations it appeared that rabbit-dispersed seeds accounted for 15% of the developing higher plant cover, other means of dispersal from outside the plot accounted for 40%, and regeneration from the seed bank accounted for 45%. 5 Similar calculations suggested that three higher plant species, Geranium molle, Myosotis arvensis and Senecio jacobaea, appeared to depend most on non-rabbit dispersed seed for colonization of bare ground. 6 High concentrations of Urtica dioica in pellets contrasted with its poor establishment in the experiment. However, the other common species in the pellets, Sagina apetala, Senecio jacobaea and Veronica arvensis, all established in greater numbers on the plots where the pellets were not removed. 7 Seed bank content correlated well with the pattern of regeneration for Agrostis capillaris, Holcus lanatus, Myosotis arvensis and Veronica arvensis. However, removal of the seed bank did not have a significant effect on the regeneration of either of the most common species in the seed bank, Rumex acetosella and Sagina apetala. 8 No species appeared to be reliant on only one mechanism for regeneration from seed in disturbed areas in this community.",52,Journal,ar,Article,100,3,3,Endozoochory | Rabbit grazing | Secondary succession | Seed dispersal,29602,undefined,1,TRUE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032438615,SCOPUS_ID:0032438615,2-s2.0-0032438615,"Effects of vertebrate herbivores on soil processes, plant biomass, litter accumulation and soil elevation changes in a coastal marsh",Ford M.,Journal of Ecology,00220477,86,6,974-982,1998-12-01,1998,10.1046/j.1365-2745.1998.00314.x,"1 Submergence of coastal wetlands in Louisiana is currently rapid and widespread. A number of factors contribute to this loss of habitat, including the activities of herbivores. The objective of this study was to examine the effects of large mammals, predominantly nutria and wild boar, on processes controlling soil elevation in coastal marshes. 2 Effects of herbivores on soil and vegetation were assessed by the use of paired fenced and unfenced plots over two successive growing seasons. Above-ground biomass, litter production, changes in soil elevation, vertical soil accretion, shallow subsidence, below-ground production of roots and rhizomes, the thickness of the root zone, soil bulk density, and soil organic matter were measured. 3 Above-ground biomass, below-ground production, soil elevation and the expansion of the root zone decreased due to herbivore activity. Litter production, the rate of soil surface accretion and shallow soil subsidence were all higher in grazed compared to ungrazed plots, while soil organic matter and bulk density did not differ significantly between treatments. 4 The results indicate that herbivores can have a negative effect on soil building processes, primarily by reducing below-ground production and expansion of the root zone. Where natural rates of mineral sediment deposition are high, coastal marshes are expected to persist, despite herbivore activities. However, where sediment inputs are substantially less, herbivores may lead to destruction of habitat.",72,Journal,ar,Article,100,2,2,Coastal wetlands | Habitat destruction | Herbivory | Soil development | Wetland loss,29602,undefined,1,TRUE,all,All Open Access,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032426515,SCOPUS_ID:0032426515,2-s2.0-0032426515,Separating the effects of number of individuals sampled and competition on species diversity: An experimental and analytic approach,Goldberg D.E.,Journal of Ecology,00220477,86,6,983-988,1998-12-01,1998,10.1046/j.1365-2745.1998.00319.x,"1 Species richness typically increases with the number of individuals sampled, although many ecological processes that influence species richness are also well known to depend on density of individuals. We separated the effects of density on species richness that are due to sampling, from those due to density-dependent ecological processes such as competition or predation, by manipulating the density of an entire community. 2 A seed bank from a community of desert annual plants that occur on semi-stabilized sand dunes in Israel was collected from the field and sown in an experimental garden at a range of densities from 1/16 to eight times the natural density. The species pool observed in the lowest density plots was used as the null community, which was repeatedly sampled to calculate the species richness (and other diversity indices) in higher density plots that would be expected from sampling considerations alone. The significance of deviations of observed diversity from this expected diversity was then evaluated. 3 Both observed and expected number of species increased substantially with the experimental increase in density. However, observed species richness, the Shannon-Wiener diversity index and Simpson's diversity index were often significantly lower than that expected based on sampling considerations. The magnitude of the deviation from expected increased significantly with increasing density for richness and the Shannon-Wiener index. This provides some of the first direct experimental evidence from diverse natural assemblages that increasing competition among all the individuals in a community can lead to competitive exclusion.",45,Journal,ar,Article,100,2,2,Competition | Null community | Species diversity | Species richness | Species-area curves,29602,undefined,0,FALSE,all,All Open Access,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032426514,SCOPUS_ID:0032426514,2-s2.0-0032426514,Erratum: (Journal of Ecology (1998) 86 (968)),NA,Journal of Ecology,00220477,86,6,973,1998-12-01,1998,NA,NA,0,Journal,er,Erratum,100,0,NA,NA,29602,undefined,0,FALSE,NA,NA,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032426089,SCOPUS_ID:0032426089,2-s2.0-0032426089,Spatial and temporal variation in population size of Eichhornia paniculata in ephemeral habitats: Implications for metapopulation dynamics,Husband B.,Journal of Ecology,00220477,86,6,1021-1031,1998-12-01,1998,10.1046/j.1365-2745.1998.00324.x,"1 The annual plant Eichhornia paniculata occurs in discrete, ephemeral habitats formed by pools, wet ditches and flooded pastures in arid north-eastern Brazil. We conducted a large-scale geographical survey of populations four times over a 7-year period (1982-89) and measured population size, population persistence and patch occupancy. In total, 167 populations were censused. 2 To investigate the importance of local and regional influences on population size, we posed the following specific questions. Are fluctuations in population size independent of their initial size and independent among years? Is persistence uniform among populations of different size and age? Are the proportion of patches occupied related to the density of habitat patches in a region? What are the relations between the size, persistence and density of populations? 3 Population size averaged 86 over the 4-year period with 52% of populations containing less than 100 individuals. Sixty-four per cent of populations persisted from one year to the next, but the rate at which populations became absent from a patch was independent of initial population size and time since the last census. For populations that persisted, there was a significant positive correlation between the initial census number and their size in subsequent years. 4 In 29 transects through different regions of north-eastern Brazil, an average of 21.6% (range 3.8-47.2%) of suitable habitat patches were occupied by E. paniculata. The proportion of patches occupied was positively correlated with the density of patches in a region. No populations were found when the density of patches fell below 0.23 patches kin-1 or 0.18 patches km-1 in 1988 and 1989, respectively, indicating the probable existence of a habitat threshold for species persistence within a region. There was no correlation between patch occupancy and either the average number of individuals per population or the probability of persistence in a region. Hence, even when E. paniculata is regionally common, it is not necessarily locally abundant. 5 We conclude that the distribution of E. paniculata populations in north-eastern Brazil is governed, in part, by metapopulation dynamics.",47,Journal,ar,Article,100,2,2,Aquatic | Environmental stochasticity | Metapopulation structure | Population size | Regional processes,29602,undefined,1,TRUE,all,All Open Access,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032425502,SCOPUS_ID:0032425502,2-s2.0-0032425502,Assessment of the effects of environmental change on the performance and density of Bistorta vivipara: The use of multivariate analysis and experimental manipulation,Totland ,Journal of Ecology,00220477,86,6,989-998,1998-12-01,1998,10.1046/j.1365-2745.1998.00318.x,"1 Studies of plant performance in relation to local variability in environmental conditions can be used to predict the responses of species to environmental change. 2 We used redundancy analysis to study how interpopulation variation in average plant weight, flower and bulbil number, bulbil weight and population density among 28 populations of Bistorta vivipara was related to variation in 15 environmental factors. We also examined the responses of plants to a 4-year experimental increase in temperature. 3 Significant differences in average plant performance were found between populations. Variance partitioning of the response data showed that environmental factors explained 45 % of the variation in plant performance and density between populations, whereas variation due to transect position was small (10.8%). Soil pH, altitude and season length were the most influential of the environmental variables, and explained 23%, 21% and 14%, respectively, of the variation. Plant performance was in general negatively correlated with these variables, whereas plant density increased along the pH and altitude gradients, suggesting that environmental factors associated with elevation (temperature and vegetation cover) and pH (soil fertility) had opposing effects on individual performance and density. Season length was highly important for average bulbil weight. 4 Plants growing in open top chambers had significantly enhanced growth and produced significantly heavier bulbils than those in control plots, whereas flower and bulbil number were unaffected by experimentally increased temperatures. Plant density was equal for warmed and control plots. 5 Although warming may increase bulbil weight and plant size in B. vivipara, the response to climate change is complicated by the fact that population densities may decrease due to intensified competition for light caused by a denser vegetation cover.",26,Journal,ar,Article,100,2,2,Altitude gradient | Climate change scenarios | Competition | Open top chambers | Season length | Soil nutrients | Temperature effects,29602,undefined,1,TRUE,all,All Open Access,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032425501,SCOPUS_ID:0032425501,2-s2.0-0032425501,"Benefits of plant diversity to ecosystems: Immediate, filter and founder effects",Grime J.,Journal of Ecology,00220477,86,6,902-910,1998-12-01,1998,10.1046/j.1365-2745.1998.00306.x,"1 It is useful to distinguish between the immediate effects of species richness on ecosystems and those which become apparent on a longer time scale, described here as filter and founder effects. 2 Relationships between plant diversity and ecosystem properties can be explored by classifying component species into three categories - dominants, subordinates and transients. Dominants recur in particular vegetation types, are relatively large, exhibit coarse-grained foraging for resources and, as individual species, make a substantial contribution to the plant biomass. Subordinates also show high fidelity of association with particular vegetation types but they are smaller in stature, forage on a more restricted scale and tend to occupy microhabitats delimited by the architecture and phenology of their associated dominants. Transients comprise a heterogeneous assortment of species of low abundance and persistence; a high proportion are juveniles of species that occur as dominants or subordinates in neighbouring ecosystems. 3 A 'mass ratio' theory proposes that immediate controls are in proportion to inputs to primary production, are determined to an overwhelming extent by the traits and functional diversity of the dominant plants and are relatively insensitive to the richness of subordinates and transients. Recent experiments support the mass ratio hypothesis and the conclusion of Huston (1997) that claims of immediate benefits of high species richness to ecosystem functions arise from misinterpretation of data. 4 Attribution of immediate control to dominants does not exclude subordinates and transients from involvement in the determination of ecosystem function and sustainability. Both are suspected to play a crucial, if intermittent, role by influencing the recruitment of dominants. Some subordinates may act as a filter influencing regeneration by dominants following major perturbations. 5 Transients originate from the seed rain and seed banks and provide an index of the pool of potential dominants and subordinates at specific sites. Where the landscape carousel operates against a background of declining diversity in the reservoir of colonizing transients, we may predict that a progressive loss of ecosystem functions will arise from the decline in the precision with which dominants can engage in the re-assembly and relocation of ecosystems.",1709,Journal,re,Review,100,1,1,Biodiversity | Dominance | Ecosystem function | Landscape ecology | Regeneration,29602,undefined,0,FALSE,NA,NA,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032418086,SCOPUS_ID:0032418086,2-s2.0-0032418086,"Reconstruction of long-term successional dynamics of temperate woodland in Bialowieza Forest, Poland",Mitchell F.,Journal of Ecology,00220477,86,6,1042-1059,1998-12-01,1998,10.1046/j.1365-2745.1998.00323.x,"1 Biatowieza Forest contains the most extensive stands of old-growth temperate woodland in Europe. It therefore has the potential to provide a model for nearnatural woodland, which is a conservation aim for many sites in western Europe. 2 Pollen analyses from two small hollow sites in the northern part of Biatowieza Forest National Park are reported here. The records cover the last 1200-1500 years. The pollen data of the principal tree taxa were converted into vegetation data using previously published pollen:vegetation correction factors. 3 These data were used to reconstruct long-term vegetation dynamics in the Tilio-Carpinetum and Pino-Quercetum communities that dominate the forest. Changes in forest composition have occurred as a result of both autogenic and allogenic processes. High grazing intensities in recent centuries have been particularly significant, although the forest is often considered to be undisturbed. 4 The larger hollow (site I) initially sampled across Peucedano-Pinetum, Carici elongatae-Alnetum and Tilio-Carpinetum communities. Since 1750, the Peucedano-Pineturn community has dominated, but with an increased Picea component. This has recently been replaced by the Pino-Quercetum community following the reduction of grazing pressure. These recent changes are largely consistent with published successional models for Bialowieza Forest. 5 Site II recorded a relatively stable balance between the Tilio-Carpinetum and Pino-Quercetum communities until 750 years ago. The Tilio-Carpinetum community then expanded. The continued dominance of Quercus in this community is inconsistent with previous models. 6 The long time perspective available with pollen data permits the exploration of forest dynamics beyond the temporal range of existing models for Biatowieza Forest. Comparison of recent and older records revealed that anthropogenic impact on forest composition has been greatest in recent centuries. 7 This investigation highlights the significant role of history in determining forest stand structure and composition.",51,Journal,ar,Article,100,2,2,Biatowieza Forest | Pollen analysis | Small hollows | Succession | Temperate woodland,29602,undefined,1,TRUE,all,All Open Access,10,NA,NA
