@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0036919708,SCOPUS_ID:0036919708,2-s2.0-0036919708,Pulp handling by vertebrate seed dispersers increases palm seed predation by bruchid beetles in the northern Amazon,Silvius K.M.,Journal of Ecology,00220477,90,6,1024-1032,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00728.x,"1. The simultaneous use of fruits and seeds by invertebrate seed predators and vertebrate seed dispersers produces complex ecological interactions that reduce the predictability of seed fate. 2. Cocosoid palm seeds in the Neotropics are subject to high mortality by bruchid beetle infestation and such attack is the major cause of mortality for seeds of the palm Attalea maripa at our study site in the northern Brazilian Amazon. 3. The exocarp and mesocarp of 1400 fruits were manipulated in different ways to simulate handling by vertebrates. No eggs of the bruchid beetle, Pachymerus cardo, were laid on intact control fruits, while the highest numbers of eggs were received by fruits whose exocarp and mesocarp had been partially removed, as if by primates and rodents (mean of 15.9 and 18.9 eggs fruit-1, respectively, during the peak fruiting season). Fruits with intact mesocarp but no exocarp, and fruits with all mesocarp and exocarp removed, received low numbers of eggs (mean of 4.6 and 6.6 eggs per fruit, respectively, during the peak fruiting season). Thus both exocarp and mesocarp deter oviposition, and removal of these fruit structures increases fruit susceptibility to infestation. 4. Oviposition rates declined as the fruiting season progressed, but oviposition preferences remained the same. Seed mortality was high for any fruit on which eggs were laid. 5. Large rodents and primates, which have been considered among the most effective seed dispersers for large-seeded Neotropical trees such as palms, actually increased the susceptibility of seeds to bruchid beetle attack. Removal of (intact) seeds by other dispersers may be necessary to ensure seed survival. 6. These results indicate that the reliability of seed dispersers cannot be gauged without a complete understanding of variables that affect seed viability.",46,Journal,ar,Article,100,2,2,Attalea maripa | Frugivory | Fruit traits | Seed dispersal | Tropical forests,29602,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036919578,SCOPUS_ID:0036919578,2-s2.0-0036919578,Comparative dispersal effectiveness of wigeongrass seeds by waterfowl wintering in south-west Spain: Quantitative and qualitative aspects,Figuerola J.,Journal of Ecology,00220477,90,6,989-1001,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00734.x,"1. The effectiveness of a seed disperser depends on the quantity of seed dispersed and the quality of dispersal provided to each seed. Relationships between the quantity and quality components and their dependence on characteristics of the dispersers remain largely uninvestigated. 2. The effectiveness of different waterfowl species at dispersing seeds of Ruppia maritima was evaluated in a wetland in south-west Spain. Droppings were collected during autumn and spring waterfowl migrations and the number of seeds ingested (estimated from seed fragments), undigested and viable in germination trials were determined. 3. Ingestion by waterfowl enhanced the rate of germination and, for several duck species, it also had a positive effect on germinability. Both the presence of seeds in the diet and the effects of gut passage showed high interspecific and temporal variance. Some of the interspecific variation in dispersal quality was related to gut structure: species with heavier gizzards destroyed a higher proportion of seeds and undigested seeds ingested by species with more grit in the gizzard germinated better. 4. In the waterfowl community studied, the quantity and quality components of seed dispersal effectiveness were positively correlated across species.",96,Journal,ar,Article,100,3,3,Dispersal quality | Dispersal quantity | Effects of seed digestion by vertebrates | Germination rate | Germination speed | Gut structure | Seed dispersal | Seed germination,29602,undefined,0,FALSE,2,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036919523,SCOPUS_ID:0036919523,2-s2.0-0036919523,Unapparent virus infection and host fitness in three weedy grass species,Remold S.,Journal of Ecology,00220477,90,6,967-977,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00731.x,"1. The effects of pathogens on natural plant populations are poorly understood, in part because many cause few overt symptoms. I investigated the correlations between the incidence of barley yellow dwarf viruses (BYDVs) and total panicle length, a fitness proxy, in three apparently unaffected hosts, Bromus hordeaceus (Pooideae), Setaria viridis and Setaria lutescens (Panicoideae). 2. Whereas B. hordeaceus individuals did not differ in fitness with respect to infection, average fitness of infected S. viridis was approximately half that of uninfected individuals, and in one out of two years, infected S. lutescens had approximately 25% higher fitness. Variability among hosts appears to contribute more than variability among BYDV serotypes to the pattern of infection outcomes. 3. These correlations suggest that the relationship between BYDVs and these co-occurring host species ranges from antagonism to mutualism. If so, BYDVs can act as agents of selection in natural populations in which the symptoms of infection are unapparent. 4. The results also demonstrate that infections can be unapparent due to large trait variance rather than small mean effects. Because high trait variances are widespread in many natural populations, unapparent infections may be common in wild plant communities.",30,Journal,ar,Article,100,1,1,Barley yellow dwarf virus (BYDV) | Bromus hordeaceus | Pathogen-host interactions | Setaria lutescens | Setaria viridis,29602,undefined,1,TRUE,3,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036915728,SCOPUS_ID:0036915728,2-s2.0-0036915728,Grazing effect on diversity of annual plant communities in a semi-arid rangeland: Interactions with small-scale spatial and temporal variation in primary productivity,Osem Y.,Journal of Ecology,00220477,90,6,936-946,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00730.x,"1. The interactive effect of grazing and small-scale variation in primary productivity on the diversity of an annual plant community was studied in a semiarid Mediterranean rangeland in Israel over 4 years. The response of the community to protection from sheep grazing by fenced exclosures was compared in four neighbouring topographic sites (south- and north-facing slopes, hilltop and wadi (dry stream) shoulders), differing in vegetation, physical characteristics and soil resources. The herbaceous annual vegetation was highly diverse, including 128 species. Average small-scale species richness of annuals ranged between 5 and 16 species within a 20 × 20 cm quadrat, and was strongly affected by year and site. 2. Above-ground potential productivity at peak season (i.e. in fenced subplots) was typical of semiarid ecosystems (10-200 g m-2), except on wadi shoulders (up to 700 g m-2), where it reached the range of subhumid grassland ecosystems. Grazing increased richness in the high productivity site (i.e. wadi), but did not affect, or reduced, it in the low productivity sites (south- and north-facing slopes, hilltop). Under grazing, species richness was positively and linearly related to potential productivity along the whole range of productivity. Without grazing, this relationship was observed only at low productivity (< 200 g m-2). 3. The effect of grazing along the productivity gradient on different components of richness was analysed. At low productivity, number of abundant, common and rare species all tended to increase with productivity, both with and without grazing. Rare species increased three times compared with common and abundant species. At high productivity, only rare species continued to increase with productivity under grazing, while in the absence of grazing species number in the different abundance groups was not related to productivity. 4. In this semiarid Mediterranean rangeland, diversity of the annual plant community is determined by the interaction between grazing and small-scale spatial and temporal variation in primary productivity, operating mainly on the less abundant species in the community.",191,Journal,ar,Article,100,3,3,Competition | Disturbance | Mediterranean sheep | Species richness,29602,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036915526,SCOPUS_ID:0036915526,2-s2.0-0036915526,"Viburnum lantana L. and Viburnum opulus L. (V. lobatum Lam., Opulus vulgaris Borkh.)",Kollmann J.,Journal of Ecology,00220477,90,6,1044-1070,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00724.x,NA,34,Journal,re,Review,100,2,2,NA,29602,undefined,1,TRUE,5,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036915164,SCOPUS_ID:0036915164,2-s2.0-0036915164,Hydrochemical regime of fen and bog in north Japanese mires as an influence on habitat and above-ground biomass of Carex species,Nakamura T.,Journal of Ecology,00220477,90,6,1017-1023,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00726.x,"1. The gradient relations proposed by Wheeler & Proctor for NW European mires were tested for six Carex species common in north Japanese mires. Hydrochemical properties of their preferred habitats were compared with above-ground biomass data. 2. Canonical discriminant analysis showed that soil water pH was the strongest discriminant between habitats of the Carex species, with total dissolved nitrogen (TDN) concentration also contributing, independently of pH. 3. Two major patterns were apparent in the distribution of Carex species: pH determines a bimodal distribution into fens with pH > 5.0 and bogs with pH < 5.5, whilst TDN captures the variation in above-ground biomass within both fen and bog, but does not differ significantly between them. 4. Concentrations of Ca and Mg were low throughout the pH range. The floristic gradients associated with base richness seen in Euramerican mires do not therefore apply in north Japanese mires, where periodic flooding with neutral water removes the acid fractions in fens, and is the major determinant of pH. 5. Thus, pH is the best variable for distinguishing between fen and bog, as the poor fenrich fen classification is inappropriate for non-calcareous north Japanese mires.",25,Journal,ar,Article,100,3,3,Base richness | Canonical discriminant analysis | Mire vegetation | Nitrogen richness | pH,29602,undefined,1,TRUE,6,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036914781,SCOPUS_ID:0036914781,2-s2.0-0036914781,Reduced colonization capacity in fragmented populations of wind-dispersed grassland forbs,Soons M.,Journal of Ecology,00220477,90,6,1033-1043,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00729.x,"1. Habitat fragmentation as a result of intensification of agricultural practices decreases the population size and increases the site productivity of remnant populations of many plant species native to nutrient-poor, species-rich grasslands. Little is known about how this affects the colonization capacity of populations, which is highly important for regional species survival. We studied the effects on four wind-dispersed forbs that represent two major dispersal strategies in grasslands: Cirsium dissectum and Hypochaeris radicata, which have plumed seeds and are adapted to long-distance dispersal by wind, and Centaurea jacea and Succisa pratensis, which have plumeless seeds and are adapted to only short-distance dispersal by wind. 2. Colonization capacity decreased with decreasing population size. This was due to lower seed germination ability in all species, and a lower seed production and a narrower range of seed dispersal distances in the species with plumed seeds. Inbreeding depression is the most likely cause of this. We found no evidence for a stronger selection for reduced dispersal in smaller populations. 3. Increasing site productivity changed the colonization capacity of all species. The capacity for colonization of nearby sites increased, due to higher seed production and seed germination ability, but the capacity for colonization of distant sites decreased, due to a lower long-distance dispersal ability. 4. Seed dispersal ability and germination ability were negatively correlated in the species with plumeless seeds, but not in the species with plumed seeds. The dispersal ability of individual plumed seeds remained constant under changes in population size and site productivity. This indicates a strong selection pressure for long-distance dispersal ability in these species. 5. When habitat fragmentation results in a simultaneous decrease in population size and increase in site productivity, both the local survival probability and the colonization capacity of remnant populations of wind-dispersed grassland forbs are likely to be severely reduced. This increases regional extinction risks of the species.",113,Journal,ar,Article,100,2,2,Germination | Habitat fragmentation | Population size | Seed production | Site productivity | Wind dispersal,29602,undefined,1,TRUE,7,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036914778,SCOPUS_ID:0036914778,2-s2.0-0036914778,Effects of plant size on reproductive output and offspring performance in the facultative biennial Digitalis purpurea,Sletvold N.,Journal of Ecology,00220477,90,6,958-966,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00725.x,"1. Monocarpy in facultative biennials can be favoured by selection when there is a more than proportional increase in fitness with size. The possible contributions of larger reproductive output and higher offspring quality to such an increase were investigated in the facultative biennial plant Digitalis purpurea. Straw mass (rosette leaves and flowering stem excluding fruits and seeds) was determined for 100 individuals of varying size and correlated with the number of flowers and seeds per flower to examine whether sex-allocation is size dependent. 2. To determine whether maternal size influences offspring growth, and whether this effect is more pronounced in the presence of competition, seeds from 32 maternal plants were grown alone, and with one, two or four competitors. 3. Total seed number increased proportionally with size. Seed quality, measured as seed size, germination percentage and speed also increased with maternal size. The combined fitness measures of total seed mass (seed number x seed size), number of seedlings (seed number x germination percentage) and total female fitness (seed number x germination percentage x mean offspring dry mass after 14 weeks) all increased disproportionally with size. 4. Sex-allocation was size dependent, with large plants emphasizing the female function. 5. Offspring dry mass after both 8 and 14 weeks of growth was strongly influenced by competition, whereas the effect of maternal size was significant only at the first harvest date. Competition did not accentuate the effects of maternal size. 6. The results support that monocarpy exists in D. purpurea because of increased offspring quality rather than a disproportionate advantage in seed output of large individuals.",57,Journal,ar,Article,100,1,1,Delayed reproduction | Maternal size-effects | Monocarpy | Offspring quality | Seed size variation,29602,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036910842,SCOPUS_ID:0036910842,2-s2.0-0036910842,"Stand dynamics over 18 years in a southern mixed hardwood forest, Texas, USA",Harcombe P.,Journal of Ecology,00220477,90,6,947-957,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00735.x,"1. Using 18 years of permanent-plot data from a 4-ha stand, we investigated whether stand dynamics is predictable, i.e. driven by competition (inferred from species shade tolerances), or unpredictable (driven by frequent exogenous disturbance or other factors). We also considered whether small disturbance might accelerate or retard succession. The study involved dynamics of stems ≥ 4.5 cm diameter at breast height (d.b.h.) for 10 important species in a southern mixed hardwood forest 80 years after selective removal of Pinus taeda. 2. Shade-tolerant species (Ilex opaca, Fagus grandifolia, Magnolia grandiflora, Acer rubrum, Nyssa sylvatica) increased in small d.b.h. classes, whereas intermediate (Quercus alba) and shade-intolerant species (Q. nigra, Q. hemisphaerica, Liquidambar styraciflua, Pinus taeda) did not. 3. Per-capita ingrowth was higher for shade-tolerant species (0.016-0.024) than for intermediate and shade-intolerant species (0-0.006), whereas mortality was lower ((0.006-0.015 vs. 0.019-0.035). 4. Over 18 years, ingrowth exceeded mortality loss slightly, resulting in an increase in number of stems of about 1%, from 995 to 1029 stems ha-1; average live basal area (BA; 35.9 m2 ha-1) varied by less than 2% over eight surveys spanning 18 years. Basal area increased substantially for three species (Ilex opaca, Pinus taeda, Acer rubrum), and declined strongly for three others (Quercus nigra, Q. hemisphaerica and Fagus grandifolia). 5. The stand d.b.h. distribution had a rotated sigmoid form which became flatter over time. Species d.b.h. distributions were mostly bell-shaped for intolerant species, and irregular-to-monotonic declining for shade-tolerant species. Over time, bell-shaped distributions moved to the right and irregular distributions remained irregular. 6. A hurricane in 1986 caused loss of 4.5% of standing BA. Compositional change was most rapid during the hurricane interval and ingrowth was highest in the two intervals following the hurricane. Effects on species trends in density, basal area, mortality or recruitment were minor. 7. Temporal trends in species abundances mostly supported the hypothesis of predictable successional change related to competition for light. However, d.b.h. distributions of shade-tolerant species and rapid declines in BA of Quercus nigra and Fagus indicated that other processes are also important and will limit predictability of change.",63,Journal,ar,Article,100,6,6,Disturbance | Forest succession | Shade tolerance | Stand dynamics | Tree mortality,29602,undefined,1,TRUE,9,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0036910431,SCOPUS_ID:0036910431,2-s2.0-0036910431,Development of a negative plant-soil feedback in the expansion zone of the clonal grass Ammophila arenaria following root formation and nematode colonization,Van der Stoel C.D.,Journal of Ecology,00220477,90,6,978-988,2002-12-01,December 2002,10.1046/j.1365-2745.2002.00727.x,"1. The feedback between individual plants and their soil communities is a major driver of plant community processes. We analyse the rate at which plant-soil feedback develops in the root zone of the clonal dune grass Ammophila arenaria. 2. Ammophila arenaria grows vigorously when it can form new roots in newly deposited windblown beach sand. The colonization zone is hypothesized to provide an enemy-free space, with root pathogens and parasites possibly contributing to degeneration of A. arenaria when deposition stops. 3. We quantified root biomass and plant parasitic nematode densities in new and 1-year-old root zones, as well as in degenerate stands, in the field at monthly intervals. Each month, we studied the biomass production of Ammophila seedlings in controlled conditions in sterilized and non-sterilized soil from the different sampling sites, with and without nematicides. 4. Colonization of newly deposited sand by the endoparasitic nematodes Heterodera arenaria and Pratylenchus spp. within 1 month of root formation coincided with a negative feedback in the bioassays. Nematicides counteracted growth reduction significantly, but their effectiveness decreased in soil samples collected later in the growing season. 5. In older layers, roots and nematodes were already present before the sampling started. Growth reduction in unsterilized sand was observed at all sampling events, but was not counteracted by nematicides. 6. In the field, root biomass of A. arenaria in the newly colonized sand increased throughout the growing season, despite the development of a negative plant-soil feedback. 7. We conclude that the development of negative plant-soil feedback in the root zone of A. arenaria closely follows the colonization of newly deposited sand by roots and then by the endoparasitic nematode species Heterodera arenaria. There seems to be a shift in organisms causing this feedback during the first growing season, but root biomass nevertheless increases. However, in older root layers and in the degenerate stand, ongoing negative plant-soil feedback may contribute to a gradual decrease in root biomass.",80,Journal,ar,Article,100,3,3,Clonal growth | Coastal foredunes | Enemy-free space | Natural plant communities | Nematicides | Parasitic nematodes | Soil pathogens | Spatio-temporal patterns,29602,undefined,0,FALSE,10,NA,NA,NA,NA
