@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-sponsor,fund-acr
true,https://api.elsevier.com/content/abstract/scopus_id/0348013378,SCOPUS_ID:0348013378,2-s2.0-0348013378,Differing effects of shade-induced facilitation on growth and survival during the establishment of a chenopod shrub,Hastwell G.,Journal of Ecology,00220477,91,6,941-950,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00832.x,"1. Although plants growing below tree or shrub canopies in xeric ecosystems often exhibit higher growth or survival than conspecifics growing in the open, few studies have sought to identify the processes that facilitate plant performance. 2. We tested the relationship between the importance of facilitation and environmental severity in a field experiment in which seedlings of the perennial shrub Enchylaena tomentosa were shaded at different times of year. We measured plant growth and survival on six occasions between June 1999 (winter) and February 2000 (summer). 3. Although seedling relative growth rates (RGR) changed with growing conditions, shade always increased mean RGRs. The intensity of facilitation (the difference in mean RGRs due to shade) did not differ between measurement periods. 4. Shade reduced survival during winter and spring, but had a strong positive effect during summer. Larger seedlings had lower mortality rates during summer, suggesting that prior facilitation of growth indirectly aided survival. 5. Our results provide only partial support for the hypothesis that the importance of facilitation increases with environmental severity. Whereas the importance of facilitation of seedling survival was high under severe conditions, the importance of facilitation of seedling growth did not increase under more severe conditions. 6. We conclude that the relationship between facilitation and environmental severity is more complex than previously recognized, and that the effects of plant interactions can vary between different aspects of plant performance.",96,Journal,ar,Article,100,2,2,Arid lands | Enchylaena tomentosa | Environmental severity | Importance | Positive interactions | Temporal variability,29602,undefined,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0348013377,SCOPUS_ID:0348013377,2-s2.0-0348013377,Ulex gallii Planch. and Ulex minor Roth,Stokes K.E.,Journal of Ecology,00220477,91,6,1106-1124,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00836.x,NA,14,Journal,ar,Article,100,3,3,NA,29602,undefined,0,FALSE,NA,NA,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0348013350,SCOPUS_ID:0348013350,2-s2.0-0348013350,Ecological play in the coevolutionary theatre: Genetic and environmental determinants of attack by a specialist weevil on milkweed,Agrawal A.A.,Journal of Ecology,00220477,91,6,1049-1059,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00831.x,"1. We studied the genetic and environmental determinants of attack by the specialist stem-attacking weevil, Rhyssomatus lineaticollis on Asclepias syriaca. 2. In natural populations, the extent of stem damage and oviposition were positively correlated with stem width, but not stem height. We hypothesized that both genotypic and environmental factors influencing stem morphology would affect attack by weevils. 3. In a common garden study with 21 full-sib families of milkweed, both phenotypic and genetic correlations indicated that weevils impose more damage and lay more eggs on thicker stemmed plants. 4. Of three other putative resistance traits, only latex production showed a negative genetic correlation with weevil attack. 5. When neighbouring grasses were clipped to reduce light competition, focal milkweed plants received up to 2.6 times the photosynthetically active radiation and 1.6 times the red to far red ratio of light compared with plants with intact grass neighbours. Focal milkweed plants were therefore released from the classic neighbour avoidance response and had 20% shorter internode lengths, were 30% shorter, and had 90% thicker stems compared with controls. 6. Clipping of grass neighbours resulted in nearly 2.7 times the damage and oviposition by stem weevils, thus supporting the hypothesis of an environmental or trait-mediated indirect influence on resistance. 7. Although attack of plants by weevils strongly increases the probability of stem mortality, thicker stems experience lower mortality, thus counteracting the selective impact of weevil-induced plant mortality. 8. The determinants of attack on milkweeds include both genetic variation for stem thickness and an indirect environmental influence of plant neighbours. If milkweeds and weevils are coevolving, the interaction is diffuse because the ecological neighbourhood is likely to modify the patterns of reciprocal natural selection.",44,Journal,ar,Article,100,2,2,Adaptive phenotypic plasticity | Asclepias syriaca | Diffuse coevolution | Herbivory | Interaction modification | Plant competition | Plant-insect interactions | Red : far red ratio of light | Rhyssomatus lineaticollis | Trait-mediated indirect effect,29602,undefined,1,TRUE,all,All Open Access,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0348011473,SCOPUS_ID:0348011473,2-s2.0-0348011473,"Holocene pollen records from the central Arctic Foothills, northern Alaska: Testing the role of substrate in the response of tundra to climate change",Oswald W.,Journal of Ecology,00220477,91,6,1034-1048,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00833.x,"1. To explore the role of edaphic controls in the response of arctic tundra to climate change, we analysed Holocene pollen records from lakes in northern Alaska located on glaciated surfaces with contrasting soil texture, topography and tundra communities. Using indicator taxa, pollen accumulation rates (PARs) and multivariate comparison of fossil and modern pollen assemblages, we reconstructed the vegetational changes at Upper Capsule Lake (Sagavanirktok surface) and Red Green Lake (Itkillik II surface) in response to increased effective moisture between the early and middle Holocene. 2. In the Red Green record, low PARs and the continuous presence of taxa indicative of prostrate-shrub tundra (PST; Equisetum, Polypodiaceae, Thalictrum and Rosaceae) indicate that the vegetation resembled PST throughout the Holocene. During the warm, dry early Holocene (11 300-10 000 cal years BP), PST also occurred on Sagavanirktok surfaces, as evidenced by PST indicators (Bryidae, Polypodiaceae, Equisetum and Rosaceae) in this interval of the Upper Capsule record. However, PARs increased, suggesting increased vegetation cover, PST taxa declined and taxa indicative of dwarf-shrub tundra (DST; Rubus chamaemorus and Lycopodium annotinum) increased between 10 000 and 7500 cal years BP. 3. We hypothesize that between the early and middle Holocene the fine-textured soils and smooth topography of Sagavanirktok surfaces led to increased soil moisture, greater vegetation cover, permafrost aggradation, anoxic and acidic soil conditions, slower decomposition and the development of a thick organic layer. In contrast, soil moisture remained low on the better-drained Itkillik II surface, and vegetational changes were minor. 4. Landscape-scale substrate variations have an effect on how tundra responds to climate change, suggesting that the response of arctic ecosystems to future variability may be spatially heterogeneous.",40,Journal,ar,Article,100,4,4,Alaska | North Slope | Palaeoecology | Palynology | Toolik Lake,29602,undefined,0,FALSE,all,All Open Access,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347382788,SCOPUS_ID:0347382788,2-s2.0-0347382788,"Interactive effects of soil moisture, vegetation canopy, plant litter and seed addition on plant diversity in a wetland community",Xiong S.,Journal of Ecology,00220477,91,6,976-986,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00827.x,"1. We carried out a factorial experiment to examine how groundwater availability (low and high sites with intermediate or rare flooding), vegetation canopy, leaf litter and seed availability interacted to determine the species richness of a productive wet grassland community in Wicken Fen National Nature Reserve, Cambridgeshire, UK. Seeds of 18 species were added to half the plots in each of eight combinations of elevation, canopy and litter, and seedling emergence was observed for two growing seasons. 2. Both individual and interactive effects on plant diversity and colonization were determined for all four examined factors. Interactive effects explained 41-63% of the total variation in both species richness and numbers of individuals growing from added seeds. 3. Neither elevation nor vegetation canopy had significant individual effects on total species richness, but their interaction was significant. Litter addition limited seedling emergence at the low elevation but favoured it at the high elevation. 4. The relative importance of vegetation canopy and plant litter in affecting plant community composition varied with the community parameter considered (species richness or number of seedlings), elevation and stage of vegetation development. In general, plant litter was more important in determining species richness, whereas the vegetation canopy was more important in determining seed germination and seedling emergence. Plant litter was also more important than vegetation canopy at an early stage of vegetation development and at low elevation. 5. Seed availability was the most important factor in determining overall species richness in the studied community. The influence of the local seed bank was very limited. Seedling emergence and seedling species richness were generally enhanced by lower elevation and seed addition, but depressed by vegetation and litter addition. 6. The complex relationships observed have considerable implications for ecological modelling and ecosystem restoration. Manipulation of one factor may produce unexpected effects on other factors, which may induce a series of consequences for the whole community. Further knowledge on how natural communities are organized and maintained is needed to guide the management of ecosystems.",106,Journal,ar,Article,100,6,6,Leaf litter | Plant community | Seed addition | Species interactions | Species richness | Vegetation canopy | Water availability | Wetland,29602,undefined,0,FALSE,NA,NA,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347382762,SCOPUS_ID:0347382762,2-s2.0-0347382762,A test of the indirect facilitation model in a temperate hardwood forest of the northern French Alps,Pages J.P.,Journal of Ecology,00220477,91,6,932-940,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00825.x,"1. We tested the hypothesis that the more frequent occurrence of tree seedlings below the adult trees than in canopy openings might be explained by indirect facilitation. In a temperate hardwood forest, we compared the performance of five target tree seedlings (Picea abies, Abies alba, Fagus sylvatica, Acer pseudoplatanus and Quercus petraea), transplanted with or without a herbaceous competitor (Molinia caerulea), either within the forest or into experimentally created gaps. 2. We quantified changes in understorey biomass, light penetration and available forms of soil nitrogen during three growing seasons. 3. Photosynthetic photon flux density and total biomass of Molinia were significantly higher in the gap treatment than within the forest. Total available nitrogen was higher in the gaps in the absence of Molinia, but higher in the forest in the presence of Molinia. 4. Quercus survival was very low within the forest because of fungal infection, whereas survival was very high for the four other tree species in all combinations of the two treatments. 5. Although the competitive effect of Molinia on the growth of the tree seedlings was much greater in the gap treatment, seedling growth was lower within the forest. We conclude that the tree canopy imposed strong light competition, and that this direct negative influence was much greater than any indirect positive effect of increased availability of nutrients to tree seedlings, due to reduced nutrient uptake by Molinia. 6. Target species responses to treatments were similar, despite strong differences in nitrogen requirements between species. This may be due to the overwhelming negative influence of the tree canopy in our experiment.",50,Journal,ar,Article,100,2,2,Competition intensity | Indirect effects | Light | Molinia caerulea | Nitrogen | Regeneration,29602,undefined,1,TRUE,all,All Open Access,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347382761,SCOPUS_ID:0347382761,2-s2.0-0347382761,"Role of soil seed banks and newly dispersed seeds in population dynamics of the annual sunflower, Helianthus annuus",Alexander H.M.,Journal of Ecology,00220477,91,6,987-998,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00824.x,"1. We explored the role of the seed bank in population dynamics of the summer annual Helianthus annuus. First, we determined seed survival under field conditions. Secondly, we conducted an experiment in which a dispersal treatment (plants allowed/not allowed to disperse seeds) was crossed with a soil disturbance treatment that was predicted to increase seed bank recruitment. Our goal was to evaluate the relative importance of the previous year's seed production vs. the remainder of the seed bank to numbers of plants. 2. Yearly seed survival was variable, ranging from 46 to 83% when seeds were buried in mesh packets and from 12 to 76% for seeds placed on the soil surface. Survival was higher for plots established in 1999 than in 2000. Survival was often higher in later years but was unaffected by the presence of litter. 3. By comparing seedling establishment between dispersal treatments, we inferred that approximately 10-23% of the seedlings were from the seed bank, independent of soil disturbance. 4. Although seed dispersal the previous year led to increased numbers of seedlings by at least 4.5 times, the number of adults only increased 2.5 times and head production only increased 1.5 times because of density-dependent processes. 5. Patches of seedlings emerging only from the seed bank (often at low densities) may have a disproportionate contribution to the next generation. Average head production/ seedling was 3.6 for such seedlings vs. 0.8 for seedlings from both the previous year's seed set and the seed bank. Emergence of seeds from the seed bank in high-density seedling areas may, however, have little effect on patch reproduction as reproductive output was asymptotically related to the number of seedlings initially present. Studies of seed survival and seedling biology should therefore be done with consideration of the entire life cycle.",42,Journal,ar,Article,100,2,2,Buried seed | Density dependence | Seed dormancy | Seed rain | Seedling recruitment,29602,undefined,0,FALSE,NA,NA,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347382760,SCOPUS_ID:0347382760,2-s2.0-0347382760,"Mass tree mortality leads to mangrove peat collapse at Bay Islands, Honduras after Hurricane Mitch",Cahoon D.R.,Journal of Ecology,00220477,91,6,1093-1105,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00841.x,"1. We measured sediment elevation and accretion dynamics in mangrove forests on the islands of Guanaja and Roatan, Honduras, impacted by Hurricane Mitch in 1998 to determine if collapse of underlying peat was occurring as a result of mass tree mortality. Little is known about the balance between production and decomposition of soil organic matter in the maintenance of sediment elevation of mangrove forests with biogenic soils. 2. Sediment elevation change measured with the rod surface elevation table from 18 months to 33 months after the storm differed significantly among low, medium and high wind impact sites. Mangrove forests suffering minimal to partial mortality gained elevation at a rate (5 mm year-1) greater than vertical accretion (2 mm year-1) measured from artificial soil marker horizons, suggesting that root production contributed to sediment elevation. Basin forests that suffered mass tree mortality experienced peat collapse of about 11 mm year-1 as a result of decomposition of dead root material and sediment compaction. Low soil shear strength and lack of root growth accompanied elevation decreases. 3. Model simulations using the Relative Elevation Model indicate that peat collapse in the high impact basin mangrove forest would be 37 mm year-1 for the 2 years immediately after the storm, as root material decomposed. In the absence of renewed root growth, the model predicts that peat collapse will continue for at least 8 more years at a rate (7 mm year-1) similar to that measured (11 mm year -1). 4. Mass tree mortality caused rapid elevation loss. Few trees survived and recovery of the high impact forest will thus depend primarily on seedling recruitment. Because seedling establishment is controlled in large part by sediment elevation in relation to tide height, continued peat collapse could further impair recovery rates.",291,Journal,ar,Article,100,6,6,Mangrove forest | Rod surface elevation table | Sediment elevation | Subsidence | Vertical accretion,29602,undefined,0,FALSE,NA,NA,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0347252323,SCOPUS_ID:0347252323,2-s2.0-0347252323,"Pollen-vegetation calibration for tundra communities in the Arctic Foothills, northern Alaska",Oswald W.,Journal of Ecology,00220477,91,6,1022-1033,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00823.x,"1. Palynology has been portrayed as a 'blunt' tool for reconstructing variations in arctic tundra vegetation. We tested this characterization in the Arctic Foothills of northern Alaska by analysing 56 modern pollen assemblages from lakes on contrasting glaciated surfaces. The two surfaces, which date to the Sagavanirktok (> 125 000 years BP) and Itkillik II (c. 11 500 years BP) ice advances from the Brooks Range, have considerably different geomorphology, soil characteristics and plant communities. Sagavanirktok surfaces are dominated by dwarf-shrub tundra (DST), and Itkillik II surfaces by prostrateshrub tundra (PST). 2. We used two multivariate approaches, dissimilarity metrics (squared chord distance and Canberra metric distance) and discriminant analysis, to assess the ability of the pollen data to distinguish between the Sagavanirktok and Itkillik II landscapes, and to identify the taxa most strongly associated with one surface or the other. Receiver operating characteristic (ROC) analysis was used to evaluate the performance of the dissimilarity metrics and to determine their 'critical values' for distinguishing between assemblages from like and unlike plant communities. 3. According to the discriminant analysis, taxa indicative of the Sagavanirktok surface include Rubus chamaemorus, Sphagnum and Ericales, whereas Equisetum, Thalictrum and Polypodiaceae were faithful to the Itkillik II surface. These differences between the pollen assemblages make it possible to differentiate between the two landscapes using Canberra metric distance comparisons. The ROC analysis demonstrated that the Canberra metric distance is more effective than squared chord distance for distinguishing between the two surfaces. This study illustrates that palynology can be used to explore questions regarding the landscape-scale heterogeneity of past tundra vegetation.",38,Journal,ar,Article,100,4,4,Alaska | Modern pollen | North Slope | Palaeoecology | Palynology,29602,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0346752486,SCOPUS_ID:0346752486,2-s2.0-0346752486,Changes in light and nitrogen availability under pioneer trees may indirectly facilitate tree invasions of grasslands,Siemann E.,Journal of Ecology,00220477,91,6,923-931,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00822.x,"1. The first trees establishing in grasslands may indirectly favour their seedlings in competition with neighbouring herbaceous vegetation by increasing soil fertility with nitrogen-rich litter and by reducing light levels under their canopies. It is predicted that increasing soil nitrogen availability will accelerate invasion of trees by stimulating their growth more than that of herbaceous species. Decreasing light availability is predicted to increase tree invasion by limiting the growth of herbaceous vegetation more than that of trees (competitive release). 2. We tested these predictions using Chinese tallow tree (Sapium sebiferum), which is an aggressive alien invader of grasslands in the southern USA, and Hackberry (Celtis laevigata), which is a native tree common in these grasslands. 3. Nitrogen and light were manipulated in two factorial field experiments in grasslands in Texas, USA. In the first, nitrogen was increased and light was decreased in plots with planted Celtis or Sapium seedlings. In the second experiment, light availability to planted Celtis or Sapium seedlings was increased by holding back prairie vegetation. 4. In the first experiment, growth of Celtis and Sapium seedlings increased with nitrogen fertilization while the above-ground biomass of prairie vegetation did not change. Prairie vegetation biomass decreased and tree seedling growth increased under shading. Sapium's growth increased dramatically in the treatment with combined nitrogen and shade. Sapium survival decreased when shade was applied. 5. In the second experiment, Sapium growth increased with increased light. Thus, increased Sapium growth at low light levels in the shade experiment was probably a consequence of decreased competitive interference from prairie vegetation, rather than better absolute performance of Sapium in low light levels. 6. These results provide evidence for facilitation as a mechanism involved in tree invasions of grasslands. Changes in resource levels, perhaps in combination with other factors, may explain rapid conversion of grassland communities to woodlands after the first pioneer trees are established. The marked response of Sapium to the combination of nitrogen and shade suggests that these positive feedbacks may be particularly strong for this alien plant species.",140,Journal,ar,Article,100,2,2,Chinese tallow tree | Facilitation | Light | Nitrogen | Sapium sebiferum,29602,undefined,0,FALSE,all,All Open Access,10,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0346752440,SCOPUS_ID:0346752440,2-s2.0-0346752440,Seed limitation and the regulation of community structure in oak savanna grassland,Foster B.L.,Journal of Ecology,00220477,91,6,999-1007,2003-12-01,December 2003,10.1046/j.1365-2745.2003.00830.x,"1. We present results from a long-term sowing experiment conducted in nutrient-poor savanna grassland in eastern Minnesota. We examine the effects of a one-time seed addition of 23 grassland species on plant community dynamics and structure over eight growing seasons. 2. Our goals were to: (i) test the importance of seed availability in regulating plant colonization dynamics and species richness; (ii) assess both the initial effects of sowing on species diversity and community structure and whether these effects increased, persisted or dissipated over the long-term; and (iii) determine the long-term impacts of sown species on the structure and dynamics of the existing community, including effects on species diversity, the abundance of existing (non-sown) species, extinction rate and abundance hierarchy. 3. Sowing led to the successful establishment of several plant species that had not been present in the plots and to increased abundance of other species that were already present. 4. Sowing led to sustained, significant changes in community structure, including increased species richness, increased community evenness, and decreased absolute and relative abundance of non-sown species. Effects of sowing were large and significant 8 years after sowing, revealing the role of seed limitation in these grassland communities. 5. In total, the results suggest that dispersal limitations, species pools and local biotic processes interact to regulate plant community structure.",158,Journal,ar,Article,100,2,2,Community structure | Diversity | Grassland | Oak savanna | Seed limitation | Species coexistence | Species richness,29602,undefined,1,TRUE,all,All Open Access,11,NA,NA
