@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84976104315,SCOPUS_ID:84976104315,2-s2.0-84976104315,Migrant abundance in a costa rican lowland forest canopy,Loiselle B.,Journal of Tropical Ecology,02664674,14697831,3,2,163-168,1987-01-01,May 1987,10.1017/S0266467400001929,9,Journal,ar,Article,100,1,1,Costa Rica | forest canopy | migrant birds,23435,"NAS",undefined,National Academy of Sciences,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84976104267,SCOPUS_ID:84976104267,2-s2.0-84976104267,Introduced vespids paravespula pensylvanica prey on maui's endemic arthropod fauna,Medeiros A.,Journal of Tropical Ecology,02664674,14697831,3,2,169-170,1987-01-01,May 1987,10.1017/S0266467400001942,13,Journal,ar,Article,100,3,3,endemic arthropods | exotic pests | Haleakala | Hawaii | Hymenoptera | Maui | Paravespula pensylvanica | predation | Vespidae,23435,NA,undefined,NA,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84976088246,SCOPUS_ID:84976088246,2-s2.0-84976088246,Probable rnutualistic association between staphylinid beetles (Amblyopinus) and their rodent hosts,Ashe J.,Journal of Tropical Ecology,02664674,14697831,3,2,177-181,1987-01-01,May 1987,10.1017/S0266467400001978,18,Journal,ar,Article,100,1,1,Amblyopinus | beetle | Coleoptera | mammal | mutualism Peromyscus | rodent,23435,AMNH,undefined,American Museum of Natural History,0,FALSE,3,"The nature of the relationship between amblyopinine staphylinid beetles and the mammals upon which they are found has been an enigma since the group was first described in 1875 (Solsky 1875). The Amblyopinini include some forty species placed in five genera, and have been found almost exclusively in the für of small mammals in the Neotropics and Australia (Seevers 1955). This habit differs significantly from that of other members of the large and diverse family Staphylinidae, most of which are free-living predators. As a result of this, and reports of epidermal damage to the host, amblyopinines have been accepted to be obligate blood-feeding ectoparasités (Seevers 1955, Marshall 1981, Kim & Adler 1985). However, many reported behavioural facets appear to be inconsistent with this conclusion. For example, it has been reported that hosts ignore both the presence and movements of these beetles through their für and across highly sensitive areas such as the eyes and vibrissae (P. Hershkovitz, quoted in Seevers 1955). This suggests that the interaction between amblyopinines and their hosts cannot be simply interpreted as adversarial. © 1987, Cambridge University Press. All rights reserved.",all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84975994888,SCOPUS_ID:84975994888,2-s2.0-84975994888,Tent construction and social organization in Vampyressa nymphaea (Chiroptera: Phyllostomidae) in Costa Rica,Brooke A.,Journal of Tropical Ecology,02664674,14697831,3,2,171-175,1987-01-01,May 1987,10.1017/S0266467400001954,29,Journal,ar,Article,100,1,1,Chiroptera | Costa Rica | Pentagonia | Phyllostomidae tent bats | Vampyressa nymphaea,23435,NA,undefined,NA,0,FALSE,4,"In this paper I report on a harem mating system and tent use by Vampyressa nymphaea Thomas 1909 (Chiroptera: Phyllostomidae) in the leaves of Pentagonia donnell-smithii (Rubiaceae). There are no previously published reports of roosting behaviour or social organization in this species or of the social organization of bats which make tents. The eleven species of phyllostomid bats which are known to use tents are all in the subfamily Stenoderminae (reviewed in Kunz 1982; see also Choe & Timm 1985, Koepcke 1984, Timm in press). Each bat species seems to use a specific pattern of cuts and to prefer certain plants. © 1987, Cambridge University Press. All rights reserved.",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84975987832,SCOPUS_ID:84975987832,2-s2.0-84975987832,Dispersal of miconia seeds by the rat bolomys lasiurus,Magnusson W.,Journal of Tropical Ecology,02664674,14697831,3,3,277-278,1987-01-01,August 1987,10.1017/S0266467400002169,32,Journal,ar,Article,100,2,2,Bolomys | Brazil | Miconia | rodent | seed dispersal,23435,INPA,40.8064/84 ZO,Instituto Nacional de Pesquisas da Amazônia,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972481913,SCOPUS_ID:84972481913,2-s2.0-84972481913,Literature cited,NA,Journal of Tropical Ecology,02664674,14697831,3,4,367-369,1987-01-01,November 1987,10.1017/S0266467400002340,0,Journal,ar,Article,100,0,NA,NA,23435,NA,undefined,NA,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972457325,SCOPUS_ID:84972457325,2-s2.0-84972457325,Introduction,NA,Journal of Tropical Ecology,02664674,14697831,3,4,289-290,1987-01-01,November 1987,10.1017/S0266467400002285,1,Journal,ar,Article,100,0,NA,NA,23435,NA,undefined,NA,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972271572,SCOPUS_ID:84972271572,2-s2.0-84972271572,Notice to contributors,NA,Journal of Tropical Ecology,02664674,14697831,3,1,95-96,1987-01-01,February 1987,10.1017/S0266467400001152,0,Journal,no,Note,100,0,NA,NA,23435,NA,undefined,NA,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972265978,SCOPUS_ID:84972265978,2-s2.0-84972265978,Foreword,Wyatt-Smith J.,Journal of Tropical Ecology,02664674,14697831,3,4,iv,1987-01-01,November 1987,10.1017/S0266467400002273,0,Journal,ar,Article,100,1,1,NA,23435,NA,undefined,NA,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84972201658,SCOPUS_ID:84972201658,2-s2.0-84972201658,‘Rain forest’ or ‘rainforest’?,Whitmore T.C.,Journal of Tropical Ecology,02664674,14697831,3,1,24,1987-01-01,February 1987,10.1017/S0266467400001085,0,Journal,no,Note,100,1,1,NA,23435,NA,undefined,NA,0,FALSE,10,NA,NA,NA
