@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,author-count.$,authkeywords,fund-acr,fund-sponsor,dc:description
true,https://api.elsevier.com/content/abstract/scopus_id/84972343211,SCOPUS_ID:84972343211,2-s2.0-84972343211,Instructions to authors,Journal of Tropical Ecology,02664674,14697831,6,1,127-129,1990-01-01,February 1990,10.1017/S026646740000420X,0,Journal,ar,Article,100,0,23435,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971815048,SCOPUS_ID:84971815048,2-s2.0-84971815048,Observations on the relationships between meat ants and termites in tropical Australia,Journal of Tropical Ecology,02664674,14697831,6,3,379-382,1990-01-01,1990,10.1017/S0266467400004697,12,Journal,ar,Article,100,1,23435,undefined,0,FALSE,2,Holt J.,1,Australia | meat ants | termites | tropics,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971768429,SCOPUS_ID:84971768429,2-s2.0-84971768429,The amazonian root holoparasite lophophytum mirabile (Balanophoraceae) and its pollinators and herbivores,Journal of Tropical Ecology,02664674,14697831,6,4,501-505,1990-01-01,1990,10.1017/S0266467400004922,19,Journal,ar,Article,100,2,23435,undefined,0,FALSE,3,Borchsenius F.,2,Amazonas | Balanophoraceae | beetle pollination | Ecuador | Lophophytum | mirabile | Neotropics | rain forest,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971761933,SCOPUS_ID:84971761933,2-s2.0-84971761933,Notes on an army ant (Eciton Burchelli) raid on a social wasp colony (Agelaia Yepocapa) in costa rica,Journal of Tropical Ecology,02664674,14697831,6,4,507-509,1990-01-01,1990,10.1017/S0266467400004958,25,Journal,ar,Article,100,2,23435,BNS-8517519,0,FALSE,4,O’Donnell S.,2,Agelaia yepocapa | army ant raid | Costa Rica | Echiton burchelli | social wasp colony,NSF,National Science Foundation,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971758071,SCOPUS_ID:84971758071,2-s2.0-84971758071,Annual mortality patterns of a mammal community in central Panama,Journal of Tropical Ecology,02664674,14697831,6,4,493-499,1990-01-01,November 1990,10.1017/S0266467400004909,22,Journal,ar,Article,100,1,23435,85-12634,0,FALSE,5,Milton K.,1,mammals | mortality | Neotropics | Panama,NSF,National Science Foundation,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971736646,SCOPUS_ID:84971736646,2-s2.0-84971736646,Thirty million arthropod species - too many or too few?,Journal of Tropical Ecology,02664674,14697831,6,1,115-118,1990-01-01,1990,10.1017/S0266467400004107,22,Journal,ar,Article,100,1,23435,undefined,0,FALSE,6,Adis J.,1,arthropods | Brazil | insect diversity | Neomachilellus scandens | taxonomy,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84971683092,SCOPUS_ID:84971683092,2-s2.0-84971683092,Habitat selection by the queens of the leaf-cutting ant Atta sexdens L. in Brazil,Journal of Tropical Ecology,02664674,14697831,6,2,249-252,1990-01-01,1990,10.1017/S0266467400004405,33,Journal,ar,Article,100,1,23435,INPA/ WWF-US,0,FALSE,7,De Vasconcelos H.,1,Amazon | ant dispersion | Atta sexdens | Brazil | habitat selection | leaf-cutting ants | pastures | rain forest | reproductive behaviour | tree fall clearings,TFI,Tinker Foundation,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0025686576,SCOPUS_ID:0025686576,2-s2.0-0025686576,Survival and growth of juvenile Virola surinamensis in Panama: Effects of herbivory and canopy closure,Journal of Tropical Ecology,02664674,14697831,6,3,259-280,1990-01-01,September 1990,10.1017/S0266467400004508,123,Journal,ar,Article,100,1,23435,BSR 84-00083,0,FALSE,8,Howe H.,1,climate change | gap dynamics | herbivory | Myristicaceae | Panama | seasonality | seed size | tree recruitment | tropical ecology | Virola surinamensis,NSF,National Science Foundation,"Effects of mammalian herbivory and seasonal drought were studied for Virola surinamensis (Myristicaceae) juveniles on Barro Colorado Island, Panama. Seedlings were planted at three months of age and the juveniles were monitored for two years. Treatments included: intact plants protected from mammals by cages, defoliated plants similarly protected, and unprotected plants, each planted in treefall gaps, on gap edges, and in the shaded understorey. Juveniles planted in treefall gaps survived seasonal drought far better than those planted on gap edges or in shaded understorey. Two years after establishment, juveniles protected from mammalian herbivory showed a 78% survival in gaps (mean 6.8% skylight), 50% survival on gap edges (mean 3.0% skylight), and 33% survival in shaded understorey (1.4% skylight). This advantage was due to accelerated growth in gaps. Juveniles in gaps increased 616% in height, 1075% in leaf number, and 1800% in total leaf area. Comparable numbers in edges were 247%, 378% and 690%; in understorey 33%, 222% and 289%. Accelerated growth in gaps permitted yearlings to survive drought that killed suppressed yearlings in understorey. Mean light differentials as small as 0.6% and 0.3% skylight significantly influenced survival on edges and in shaded understorey, respectively. Mammalian herbivory killed juveniles directly, and defoliation by mammals strongly accentuated drought mortality by suppressing root development. Natural defoliation was not attributable to gap conditions. Demographic projections from experimental data suggest that mammalian herbivory kills at least 48% of the juveniles of this species over two years, and contributes to the death of 32% more that actually die of drought stress. These projections suggest that 14% of the juveniles of this species die of drought mortality, independent of herbivory, during the first two years. Herbivory most strongly affects plants < 0.5 m in height, and is a continuing source of mortality among suppressed juveniles in the understorey. Steep slopes and large seed size each enhanced juvenile growth and survival in the intermediate conditions of gap edges, but not under the extreme conditions of gaps or shaded understorey. The context of establishment determines the ‘shade tolerance’ of this conspicuous canopy tree. Without serious mammalian herbivory or extreme dry seasons, V, surinamensis can easily recruit as a shade tolerant plant in the understorey. Under present conditions on Barro Colorado Island, it cannot. Persistence involves both the chances of arrival in different microhabitats, and survival therein. Projections that include both the forest area represented by gaps, gap edges, and understorey and the experimental results from this study indicate that juvenile V. surinamensis can survive for two years in gaps, edges, and understorey, but that the higher proportions of vigorous individuals survive in edges, gaps and understorey, respectively. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025685759,SCOPUS_ID:0025685759,2-s2.0-0025685759,"Preliminary Studies on Forest Structure and Floristics on Volcan Barva, Costa Rica",Journal of Tropical Ecology,02664674,14697831,6,3,307-320,1990-01-01,August 1990,10.1017/S0266467400004557,54,Journal,ar,Article,100,2,23435,undefined,0,FALSE,9,Heaney A.,2,altitudinal zonation | Costa Rica | lowland rain forest | montane rain forest,BES,Leverhulme Trust,"Volcan Barva, Costa Rica, has on its northern slope an unbroken sequence of rain forest on volcanic parent materials from near sea level at La Selva Field Station up to its summit at 2906 m. It provides a good area to study forest changes with altitude and their causes. In the present paper we describe the forests as a background for soil and litterfall studies from 1 ha plots at each of the following altitudes: 100 m, 500 m, 1000 m, 1500 m, 2000 m and 2600 m. The canopy heights (with height of the highest emergent in parentheses) ranged from 35-40 m (45 m) at 100 m to 20–23 m (32 m) at 2600 m; basal area was least (22.7 m2) at 100 m and highest (51.2 ma) at 2600 m; the tree (>10 cm dbh) density ranged from 391 ha-1at 500 m to 617 ha-1at 2600 m. Most trees were identified and on samples of them we recorded presence of buttresses, lianes, skiophytic climbers, vascular epiphytes and bryophytes; and drew profile diagrams. In the classification of Whitmore (1984) the two lower plots are evergreen lowland rain forests; the other four are lower montane rain forest. Species richness was highest in the plot at 500 m, with at least 135 species of tree, and least at 2600 m, with at least 35 species. The Volcan Barva forest altitudinal sequence is briefly compared with those elsewhere. © 1990, Cambridge University Press. All rights reserved."
true,https://api.elsevier.com/content/abstract/scopus_id/0025682592,SCOPUS_ID:0025682592,2-s2.0-0025682592,Seed-dispersal of vouacapoua americana (caesalpiniaceae) by caviomorph rodents in french guiana,Journal of Tropical Ecology,02664674,14697831,6,4,459-468,1990-01-01,November 1990,10.1017/S0266467400004867,165,Journal,ar,Article,100,1,23435,undefined,0,FALSE,10,Forget P.,1,caviomorph rodents | dispersal | mutualism | Myoprocta exilis | scatter-hoarding | seed | tropical rain forest | Vouacapoua americana,MNHN,Muséum National d'Histoire Naturelle,"A possible mutualistic dispersal system between a large-seeded tree of French Guiana, Vouacapoua americana (Caesalpiniaceae), and caviomorph rodents, Myoprocta exilis and Dasyprocta leporina is described. Mast fruiting of Vouacapoua at the beginning of the wet season coincides with scatter-hoarding seed dispersal. During the wet season, almost 100% of marked seeds on three sites were removed: nearly 70% were buried and the rest were eaten by mammals. Unburied seeds were attacked by insects and/or lost their ability to germinate. Rodents preferred ungerminated seeds, and had no interest in germinated seeds. Seeds were buried individually near natural objects such as palms, branches, logs, lianas, roots and trees. After predation by rodents, seedling distribution did not differ from seed distribution. Most seeds were transported less than 5 m from the feeding plots but some were carried as far as 22.4 m. Between 40 and 85% of dispersed seeds were retrieved during the following month by rodents and eaten. The disinterest of caviomorph rodents in germinated seeds, because of rapid exhaustion of endosperm reserves, prevents feeding from hoarded Vouacapoua during the long dry season when resources are scarce. Seedlings emerging from forgotten or abandoned cached seeds appear to increase the recruitment of Vouacapoua americana. © 1990, Cambridge University Press. All rights reserved."
