@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0026313568,SCOPUS_ID:0026313568,2-s2.0-0026313568,"A case study of a plant-animal relationship: Cola lizae and lowland gorillas in the Lope Reserve, Gabon",Tutin C.E.G.,Journal of Tropical Ecology,02664674,14697831,7,2,181-199,1991-05-01,1 May 1991,10.1017/S0266467400005320,"The fruits of Cola lizae, an endemic tree with a limited geographical distribution, have been a major food source for lowland gorillas in the Lope Reserve during part of each year over a six-year period. Faecal analysis indicated that 11,000-18,000 Cola seeds km -2 were deposited by gorillas during the 4-month season in 1989. Gorillas are the only important dispersers of this species: other primates consume the succulent mesocarp, but do not swallow the large seed; elephants do not eat Cola fruits. Observations of Cola seeds in gorilla faeces showed a very high germination rate and, despite initial high mortality, 18% of seedlings still survived six months after deposition. Survival of seedlings was significantly better in faeces left at nest-sites than in other areas of the forest: 40% of seedlings were viable at nest-sites six months after deposition. This suggests that the open areas of forest, preferred by gorillas as nest-sites, are advantageous to the propagation of this species. © 1991, Cambridge University Press. All rights reserved.",75,Journal,ar,Article,100,4,4,Cola | frugivory | Gabon | Gorilla g. gorilla | lowland gorilla | plant-animal interactions | seed dispersal | seedling survival,23435,WGF,undefined,Wenner-Gren Foundation,0,FALSE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/84959613357,SCOPUS_ID:84959613357,2-s2.0-84959613357,Instruction to authors,NA,Journal of Tropical Ecology,02664674,14697831,7,1,158-160,1991-01-01,February 1991,10.1017/S0266467400005289,NA,0,Journal,ar,Article,100,0,NA,NA,23435,NA,undefined,NA,1,TRUE,all,All Open Access,2
true,https://api.elsevier.com/content/abstract/scopus_id/1842343874,SCOPUS_ID:1842343874,2-s2.0-1842343874,Nematode populations at three forest sites in new caledonia,Yeates G.W.,Journal of Tropical Ecology,02664674,14697831,7,3,411-413,1991-01-01,August 1991,10.1017/S0266467400005745,NA,5,Journal,ar,Article,100,1,1,nematodes New Caledonia | Nothofagus | ultrabasic,23435,NA,undefined,NA,0,FALSE,NA,NA,3
true,https://api.elsevier.com/content/abstract/scopus_id/0242530208,SCOPUS_ID:0242530208,2-s2.0-0242530208,Notes on mimicry between two tropical beetles in south-eastern brazil,Del-Claro K.,Journal of Tropical Ecology,02664674,14697831,7,3,407-410,1991-01-01,August 1991,10.1017/S0266467400005733,NA,5,Journal,ar,Article,100,2,2,Alticinae | aposematism | behaviour | Brazil | flea-beetle | mimicry,23435,CAPES,02802/89,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,0,FALSE,NA,NA,4
true,https://api.elsevier.com/content/abstract/scopus_id/0242499830,SCOPUS_ID:0242499830,2-s2.0-0242499830,"Ecology Of The Hoolock Gibbon (Hylobates Hoolock), A Lesser Ape In The Tropical Forests Of North Eastern India",Choudhury A.,Journal of Tropical Ecology,02664674,14697831,7,1,147-153,1991-01-01,February 1991,10.1017/S0266467400005228,NA,11,Journal,ar,Article,100,1,1,ecology | family group size | hoolock gibbon | Hylobates hoolock | India | tropical forests,23435,NA,undefined,NA,0,FALSE,NA,NA,5
true,https://api.elsevier.com/content/abstract/scopus_id/0026352424,SCOPUS_ID:0026352424,2-s2.0-0026352424,Responses of Amazonian rain forest birds to habitat modification,Johns A.,Journal of Tropical Ecology,02664674,14697831,7,4,417-437,1991-01-01,November 1991,10.1017/S0266467400005812,"Bird species were surveyed in a variety of habitat types in a lightly populated area of western Brazilian Amazonia. Habitats surveyed were unlogged forest, selectively logged forest, ‘capoeira’ (scrub regenerating on cleared land), cropficlds, and an isolated 35 ha forest ‘island’. All habitats were within a few kilometres of each other. Many bird species were found to occur in all or most habitats, although the similarlity of the species assemblages dropped with increasing levels of disturbance of the natural vegetation. Certain understorcy insectivorcs common in unlogged forest were rarely observed in other habitats; disturbed areas contained higher numbers of flycatching insectivorcs or birds feeding on both insects and fruit, some of which were open-country rather than forest species. The avifauna of the forest ‘island’ was more similar to that of regenerating scrub than to that of tall forest, and the persistence of forest species was attributed to their ability to move to and from nearby continuous forest areas. Levantamentos da avifauna de uma variedade de tipos de habitats foram conduzidos numa área de baixa densidade populacional da Amazonia Brasileira ocidental. Habitats levantados incluiram mata primária, meta com corte seletivo, capoeira, agro-mosaicos, e uma ‘ilha’ de mata dc 35-ha, os quais ocuparam uma área de 15 km2. Muitas espécies de aves ocorram na maioria ou todos os tipos de habitats, mas a semelhan^a do conjunto, dc espécies diminuiu com o aumento do nivel dc perturbaçãfio da vegetação. Certos insertívoros dc sub-bosque comuns em mala primária foram raramente observados em outros habitats; areas perturbadas continham um ntimero maior de espccies predando cm insetos alados ou alimentando-se de frutos c insetos, algumas das quais cram tipicas de habitats abertos ao inves de mata. A avifauna da ilha de mata foi mais scmclhante a dc capoeira do que a de mata alta, e a persistencia das espccies dc mata foi atribuida a capacidadc dessas especies de se deslocar da mata continua a habitats adjaccntes a vice-e-versa. © 1991, Cambridge University Press. All rights reserved.",132,Journal,ar,Article,100,1,1,Amazonia | avifauna | ecology | habitat disturbance | rain forest,23435,WWF,undefined,WWF International,0,FALSE,NA,NA,6
true,https://api.elsevier.com/content/abstract/scopus_id/0026351715,SCOPUS_ID:0026351715,2-s2.0-0026351715,Population dynamics of pioneer (Macaranga) trees and understorey (Mallotus) trees (Euphorbiaceae) in primary and selectively logged Bornean rain forests,Primack R.,Journal of Tropical Ecology,02664674,14697831,7,4,439-457,1991-01-01,November 1991,10.1017/S0266467400005836,"Using data from forest sites in Sarawak, East Malaysia, a demographic comparison is made of pioneer species in the genus Macaranga with understorey trees of the primary forest in the closely related genus Mallotus. In primary forest, saplings and trees of these genera arc uncommon and have low growth rates. For the six years following disturbance by logging, a Macaranga population was characterized by high rates of diameter growth and recruitment. Eleven years after disturbance, seedling and sapling abundance had declined sharply. In contrast, the Mallotus population was stable in size class distribution and increased slightly in total population size during the 11 years after logging. Growth rates of Mallotus trees increased after logging but were still much less than Macaranga trees. A morphological comparison shows that most Macaranga species, in contrast with Mallotus species, have large hollow twigs that are occupied by ants and have larger, hairier, thicker, more toothed leaves with longer petioles, axillary inflorescences with more flowers, infructescences with more fruit, fruits that are smaller in size and smaller seeds. © 1991, Cambridge University Press. All rights reserved.",36,Journal,ar,Article,100,1,1,Borneo | demography | disturbance | logging | Macaranga | Malaysia | Mallotus | pioneer | rain forest | understorey trees,23435,NSF,BSR-8516972,National Science Foundation,0,FALSE,NA,NA,7
true,https://api.elsevier.com/content/abstract/scopus_id/0026351714,SCOPUS_ID:0026351714,2-s2.0-0026351714,"Howler monkeys (Alouatta palliata), dung beetles (Scarabaeidae) and seed dispersal: Ecological interactions in the tropical rain forest of Los Tuxtlas, Mexico",Estrada A.,Journal of Tropical Ecology,02664674,14697831,7,4,459-474,1991-01-01,November 1991,10.1017/S026646740000585X,"The dispersal of seeds by howler monkeys (Alouatta balliata) and the activity of dune beetles in modulating the fate of the dispersed seed were studied at Los Tuxtlas, Mexico. Howlers consumed the fruits of 35 species of plants. The seeds of 28 of these were dispersed by the monkeys. The majority (≥90%) of the seeds dispersed by monkeys were destroyed by rodents. Rapid relocation and burial of dung by dung beetles resulted in accidental relocation and burial of large numbers of seeds shortly after deposition. Faecal clumps (20 mg) remained on the ground for an average of only 2.5 h (range 1–3 h). Ball rolling beetles transported balls up to 5.0m from the site of deposition (range 1–5 m). Burrowing and ball-rolling dung beetles buried seeds at depths ranging from 2.5 to > 12.0cm. The deeper a seed is buried, the less likely it is to be found and eaten by rodents. Eighty percent of the species used by Alouatta as sources of fruit at Los Tuxtlas benefited by the dispersal and post dispersal service provided by howlers and dung beetles respectively. Seasonality in dung beetles abundance in the forest may influence the number of seeds per species escaping post-dispersal predation during the year. Dung beetles play not only an important ecological role in the recycling of matter and energy in the ecosystem, but also in the process of rain forest regeneration. La dispersion de semillas por monos aulladores (Alouatta balliata) y el impacto de la actividad de lorrajeo y nidificación de escarabajos coprólagos sobre el destino de las semillas dispersadas fueron estudiados en la selva de Los Tuxtlas, México. La mayoría (≥90%) de las semillas (28 especies de plantas) dispersadas por los monos son depredadas por roedores. El aprovechamiento de materia faecal por escarabajos en el suelo de la selva resulta en la relocalización y enterramiento accidental de un gran número de semillas poco despues de ser expulsadas por los monos a través de sus heces. Los escarabajos entierran las semillas a profundidades que van desde 2.5 a > 12.0cm disminuyendo así la cficiencia con la que los rcodores pueden localizarlas. Ochenta porciento de las especies de plantas usadas por lo monos como fuentes de frutos en Los Tuxtlas reciben los beneficios de dispersión y postdispersión aportados por aulladores y escarabajos coprófagos respectivamente. La estacionalidad en la abundancia relativa de escarabajos coprófagos en la selva de Los Tuxtlas podría determinar el número de semillas que escapan a la fuerte depredación postdispersión en el ano. Los escarabajos coprófagos son componentes importantes no solo en reciclaje de materia y energía en el ecosistema pero también en el proceso natural de regencración de la selva. © 1991, Cambridge University Press. All rights reserved.",149,Journal,ar,Article,100,2,2,Alouatta palliata | dung beetles | howlers | Mexico | predation | Scarabaeidae | seed | seed dispersal | tropical rain lorest,23435,NA,undefined,NA,0,FALSE,NA,NA,8
true,https://api.elsevier.com/content/abstract/scopus_id/0026342340,SCOPUS_ID:0026342340,2-s2.0-0026342340,"A plot study of forest floor litter frogs, Central Amazon, Brazil",Allmon W.,Journal of Tropical Ecology,02664674,14697831,7,4,503-522,1991-01-01,November 1991,10.1017/S0266467400005885,"Abundance and distribution of frogs inhabiting the litter layer of an area of primary lowland rain forest in Central Amazonia were studied over a period of 15 months by sampling 498 plots each 5m x 5m. The litter frog fauna of the area consists of 23 species, but only 12 of these were encountered in the plots, and 84% of the frogs encountered belonged to only six species. Total abundance and diversity within the plot data are strongly seasonal and peak in the late wet season. Both are positively correlated with litter volume and moisture. Most of this variation is due to seasonality of reproduction, as indicated by patterns of occurrence of juveniles of the most abundant species. These results indicate that the plot sampling method does not sample the entire fauna adequately. Since this technique has been used to study other tropical forest litter herpetofaunas, however, comparison with other studies may be useful. Species diversity of litter frogs appears to be approximately the same in lowland primary forest sites studied, averaging around 20 ‘regular’ species. Abundances, however, vary widely. Central American communities contain 14–15 frogs (100m)-2, African 9–10, South American 4–6, and South-east Asian 1–2. These differences may be due to differential nutrient availability in forests of different ages and/or on different soils. © 1991, Cambridge University Press. All rights reserved.",83,Journal,ar,Article,100,1,1,Amazonia | amphibians | Brazil | frogs | litter herpetofauna | rain forest,23435,NA,undefined,NA,0,FALSE,NA,NA,9
true,https://api.elsevier.com/content/abstract/scopus_id/0026342336,SCOPUS_ID:0026342336,2-s2.0-0026342336,Pattern in a derived savanna in Nigeria,Greig-Smith P.,Journal of Tropical Ecology,02664674,14697831,7,4,491-502,1991-01-01,November 1991,10.1017/S0266467400005873,"All woody growth was enumerated in three transects, each 960m x 20m, in derived savanna in the Olokemeji Forest Reserve in south-west Nigeria. The data for species density, species basal area and stem girth classes were analysed by nested-block analysis of variance and covariance. The use of‘total covariance’, the sum of all covariances at a block size, contributes to understanding of the pattern present. Three scales of pattern were evident. Patchiness at 160–320m is interpreted as a response to soil differences or to the pattern of previous farming, which may itself have been determined by soil differences. Patchiness at 20–40m is attributable to varying intensity of burning. At the smallest scale, of 10 m, there is evidence of regularity of distribution resulting from interference between individuals, possibly due to competition for water. © 1991, Cambridge University Press. All rights reserved.",7,Journal,ar,Article,100,1,1,competition | fire | interference | Nigeria | pattern | savanna | total covariance,23435,NA,undefined,NA,0,FALSE,NA,NA,10
