@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0028164614,SCOPUS_ID:0028164614,2-s2.0-0028164614,"Mineral nutrient status of coastal hill dipterocarp forest and adinandra belukar in Singapore: Analysis of soil, leaves and litter",Grubb P.,Journal of Tropical Ecology,02664674,14697831,10,4,559-577,1994-11-01,1 November 1994,10.1017/S0266467400008233,"The soil of remnant primary rainforest on granite in Singapore is very acidic (pH mostly 3.5-4.2 at 0-10 cm) and has unusually low total concentrations of nitrogen and phosphorus, but the mean concentrations of N and P in the living leaves and freshly fallen leaves of the more shade-tolerant species are within the ranges found for other lowland forests on infertile oxisols and ultisols. The concentration of Ca in freshly fallen leaves is very low. The soil under secondary Forest (belukar) on sandstone dominated by Adinandra dumosa (Theaceae) was degraded during use for agriculture. It has the same pH range but even lower values of total N and P. The mean concentrations of N, P, K, Ca and Mg in the living leaves are slightly higher than in leaves of the more shade-tolerant trees of primary forest, but lower than in the leaves of the species which require canopy gaps for establishment or early onward growth. The few species sampled in both primary forest and belukar show no consistent trend in foliar concentrations. The degraded soil has selected species with inherently lower foliar concentrations. © 1994, Cambridge University Press. All rights reserved.",52,Journal,ar,Article,100,3,3,leaves | litter | lowland rainforest | Malesia | nutrients | secondary forest | soil,23435,NERC,RP 890339,Natural Environment Research Council,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161867,SCOPUS_ID:0028161867,2-s2.0-0028161867,"Structure, density and rarity in an Amazonian rainforest bird community",Thiollay J.M.,Journal of Tropical Ecology,02664674,14697831,10,4,449-481,1994-11-01,1 November 1994,10.1017/S0266467400008154,"A 100-ha quadrat of primary rainforest in French Guiana was censused over two consecutive years by the mapping method, and a 24-ha core area was intensively mistnetted at the same time. More extensive surveys were conducted in successively larger areas including up to a large part of the forested interior of the country. From a total of 441 resident species found in the rainforest zone, 248 were regularly recorded within the 100-ha plot, 157 of which had mean densities of more than 1 pair km-2. The total estimated density of birds was at least 829 pairs km#x007E; Only two dominant species exceeded 20 pairs km#x201D;2, while 52#x0025; of all the species were represented by less than 2 pairs km-*. The distribution of body masses and niche characteristics among the bird community is given as well as the sample bias of the mistnet captures. Rare species were a key component of this primary rainforest community. Several patterns of rarity were described and no marked and constant relationships were found between rarity and body size, habitat, diet, foraging behaviour or social system. Among a wide set of environmental constraints, the population of each species may be limited by a different combination of factors. Habitat heterogeneity, low, irregular and seasonal food availability, interspecific competition or heavy predation pressure were prominent and likely causes of the low density of most species which in turn facilitated the high species richness. © 1994, Cambridge University Press. All rights reserved.",137,Journal,ar,Article,100,1,1,Amazonia birds | community structure | density | French Guiana | rainforest | rarity | species richness,23435,NA,undefined,NA,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161763,SCOPUS_ID:0028161763,2-s2.0-0028161763,Effects of soils and topography on the distribution of tree species in a tropical riverine forest in south–eastern Brazil,Oliveira-Filho A.T.,Journal of Tropical Ecology,02664674,14697831,10,4,483-508,1994-11-01,1 November 1994,10.1017/S0266467400008178,"The relationships between soil properties, topography and tree species distribution were analysed in a tropical riverine forest at the margins of the Rio Grande, in Bom Sucesso, state of Minas Gerais, south–eastern Brazil. The forest was sampled by three 0.18 ha plots, with each plot made up of eight contiguous 15m X 15m quadrats, four of which were placed at the river margin and the remaining four in the forest interior. A canonical correspondence analysis indicated that the species density distribution was significantly correlated with some soil chemical characteristics and topographical features. The soils of the three sample plots showed statistically significant differences for the levels of Ca, Mg, K and pH, with the fertility (expressed by the cation exchange capacity) increasing from Plot I to Plot III. These variations were mainly explained by the first canonical axis while the second was strongly correlated with topographical variables, separating the quadrats into two groups: those of the higher and steeper sites from those of the lower sites. The only soil property that was significantly different in lower and upper sites was the concentration of phosphorus. No significant difference in tree species distribution was found between river margin and interior quadrats, certainly because this forest sector lies on the outer side of a curve of the river where erosion is currently building high and steep river banks and forcing the forest to retreat. A tentative ecological classification of the 30 most abundant species according to their habitat preference in terms of soil fertility and topographical sites, and to their growth strategy in the forest dynamics, is presented. It is suggested that these factors play an important role in promoting the coexistence of tree species in this type of forest. © 1994, Cambridge University Press. All rights reserved.",120,Journal,ar,Article,100,4,4,canonical correspondence analysis | ordination | soil-vegetation relationships | topography-vegetation relationships | tropical riverine forest,23435,CNPq,201995/91-3,Conselho Nacional de Desenvolvimento Científico e Tecnológico,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161749,SCOPUS_ID:0028161749,2-s2.0-0028161749,Mineral–nutrient status of coastal hill dipterocarp forest and adinandra belukar in Singapore: Bioassays of nutrient limitation,Burslem D.,Journal of Tropical Ecology,02664674,14697831,10,4,579-599,1994-11-01,1 November 1994,10.1017/S0266467400008257,"Bioassays of nutrient limitation were carried out for Melastoma malabathricum growing on soil from primary lowland dipterocarp rainforest in Singapore, and for Dillenia suffruticosa on soil from adinandra belukar, a nutrient-poor secondary forest type dominated by Adinandra dumosa. Three questions were addressed. 1. What is the nutrient most limiting to growth in primary forest? 2. What is the nature of nutrient limitation under conditions of adequate P supply? 3. Is there a qualitative difference in the nature of nutrient limitation under primary forest and adinandra belukar? Results showed that there was a strong limitation by P availability in both primary forest and adinandra belukar under the experimental conditions used. Once plants had an adequate P supply, all other nutrients became limiting to growth in primary forest soil. These findings are interpreted as support for the hypothesis that P availability would limit the productivity of moist tropical forests in general in the absence of mycorrhizas; tentative conclusions are drawn on the assumption that most woody tropical plants are mycorrhizal. It is argued that limitation by major cations may be common on old, highly leached tropical rainforest soils. © 1994, Cambridge University Press. All rights reserved.",47,Journal,ar,Article,100,3,3,adinandra belukar | Dillenia suffruticosa | Melastoma malabathricum | nutrients | second–ary forest | Singapore | tropical rainforest,23435,NERC,RP 890339,Natural Environment Research Council,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161131,SCOPUS_ID:0028161131,2-s2.0-0028161131,Nitrogen cycling in a Venezuelan tropical seasonally flooded forest: Soil nitrogen mineralization and nitrification,Barrios E.,Journal of Tropical Ecology,02664674,14697831,10,3,399-416,1994-08-01,1 August 1994,10.1017/S0266467400008075,"Seasonally flooded forests represent a transition between terrestrial and aquatic ecosystems. The Mapire river, a tributary of the Orinoco river, floods its surrounding forests during the wet season (May-December). The soils are very acid and the total nitrogen concentration (0.1#x0025;) is only half that found in nearby soils flooded by Orinoco waters. Ammonium-nitrogen predominates in the soil during the flooded period while nitrate-nitrogen concentrations are higher in the dry period. Wide fluctuations in the inorganic nitrogen fractions did not considerably affect the annual course of soil nitrogen. The predominance of mineralization versus nitrification (36 and 5 g Ninot1(g#x005F;l soil month-1 respectively) and possibly the synchronization of nitrogen availability with plant demand could be considered as nitrogen conserving mechanisms. In synchrony with the hydrologic cycle, the seasonally flooded forest studied shows a nitrogen-cycle where inputs and accumulation are maximized when the system is under minimum stress (dry season). During flooding, the system enters a period of dormancy making minimal use of nutrient and energy to avoid or tolerate anaerobiosis. © 1994, Cambridge University Press. All rights reserved.",28,Journal,ar,Article,100,2,2,nitrification | Orinoco basin | seasonally inundated soils | soil nitrogen mineralization | tropical seasonally flooded forest | Venezuela,23435,NA,undefined,NA,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028160068,SCOPUS_ID:0028160068,2-s2.0-0028160068,"Vegetation and gap dynamics of a tropical wet evergreen forest in the Western Ghats of Kerala, India",Chandrashekara U.,Journal of Tropical Ecology,02664674,14697831,10,3,337-354,1994-08-01,1 August 1994,10.1017/S0266467400008014,"The wet evergreen forest of Nelliampathy.in the Western Ghats of Kerala in India is a mixed forest with a high species diversity and basal cover. In this relatively undisturbed ecosystem, canopy gaps are largely formed through single tree fall, but gaps through branch fall, crown fall, standing dead trees or multiple tree fall also occur. Canopy gap formation is more (over 82#x0025; of the total gaps created) during the monsoon season. The mean number of gaps formed in this forest is 1.13 ha-1 y”1 and the turnover rate is 83 years. The majority of the gaps created (over 70#x0025;) are of smaller size (100 m2). In this forest, while some top canopy tree species (those capable of exceeding 25m in height at maturity) such as Palaquium ellipticum and Mesua nagassarium are well represented in seedling, sapling and mature tree stages, others like Aglaia exstipulata and Mastixia arborea are observed only as saplings and/or mature trees with no seedling populations. The possible reasons for these two types of regeneration behaviour by top canopy tree species in the context of canopy gap size and seasonality in gap formation are discussed. © 1994, Cambridge University Press. All rights reserved.",65,Journal,ar,Article,100,2,2,forest gap dynamics | forest species diversity | India Western Ghats | rainforest regeneration | vegetation structure | wet evergreen forest,23435,NA,undefined,NA,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028160046,SCOPUS_ID:0028160046,2-s2.0-0028160046,"Patterns of fruit-fall phenology in the Lopé Reserve, Gabon",White L.J.T.,Journal of Tropical Ecology,02664674,14697831,10,3,289-312,1994-08-01,1 August 1994,10.1017/S0266467400007975,"Patterns of fruit production were monitored over a 1-year period, from June 1990 May 1991, by counting the numbers of freshly fallen ripe and unripe fruits on five 5-km line transects located within 35 km of one another, in lowland tropical rainforest in the Lope Reserve, central Gabon. A total of 195 species of fruit were found, representing at least 45 taxonomic families. The majority of fruits came from trees. Fruits were assigned to one of six categories which reflected their dispersal syndrome: succulent, arillate, dehiscent, fleshy pods, wind-dispersed, others. About three-quarters of all species had fruits characteristic of those dispersed by animals. There was a marked seasonal pattern to fruit production, with both the diversity and number of ripe fruits available peaking in January, and lowest immediately before and during the major dry season. The only climatic variable that showed a significant statistical correlation with fruit production was insolation. Candidates for the role of keyStone fruit species were identified from species which fruited during the major dry season, and patterns of fruit production compared with other areas. © 1994, Cambridge University Press. All rights reserved.",64,Journal,ar,Article,100,1,1,disnersal | fruit characters | Gabon | keyStone species | phenology | rainforest | seasonality | seed,23435,ED,undefined,New York Zoological Society,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165763,SCOPUS_ID:0028165763,2-s2.0-0028165763,The distribution of leaf litter invertebrates along a Neotropical altitudinal gradient,Olson D.M.,Journal of Tropical Ecology,02664674,14697831,10,2,129-150,1994-05-01,1 May 1994,10.1017/S0266467400007793,"Leaf litter invertebrates were sampled at eight sites, approximately 250m apart in elevation, along an altitudinal transect extending from primary lowland rainforest to cloud forest in western Panama. The study focused on several diverse and numerically important litter invertebrate taxa (e.g., ants, spiders, and beetles) that were effectively sampled using a combination of litter sifting and test tube pitfall traps. The mean altitudinal range of species was around 500m (standard deviation 370m) and approximately 50 #x0025; of the species characteristic of a given elevation dropped out after a 500m change in elevation in either direction. There was no evidence for distinct altitudinal zonation in leaf litter assemblages. Both species richness and number of individuals of most taxa showed a pronounced decline in the vicinity of the upward transition to cloud forests. The data also suggest a broad mid-elevation peak in sample species richness for the litter invertebrate fauna. The implications of the results for biodiversity conservation are discussed. © 1994, Cambridge University Press. All rights reserved.",157,Journal,ar,Article,100,1,1,altitudinal gradients | ants | biodiversity conservation | leaf litter invertebrates | Panama | tropical forests,23435,STRI,undefined,Smithsonian Tropical Research Institute,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162729,SCOPUS_ID:0028162729,2-s2.0-0028162729,"Effects of tree species heterogeneity on leaf fall in primary and logged dipterocarp forest in the Ulu Segama Forest Reserve, Sabah, Malaysia",Burghouts T.,Journal of Tropical Ecology,02664674,14697831,10,1,1-26,1994-02-01,1 February 1994,10.1017/S0266467400007677,"Effects of tree species heterogeneity on leaf fall were studied in a primary (4 ha) and in a selectively logged forest plot (2.5 ha) in the Ulu Segama Forest Reserve, Sabah, Malaysia, from April 1988 to December 1989. Leaf fall was collected at 30 sampling points in each plot, and identified to species. Dipterocarpaceae, Euphorbiaceae, Lauraceae, Fagaceae and Meliaceae are important tree families in both plots with regard to their contribution to, total basal area, tree density and annual leaf fall. The total number of tree species was higher in the primary forest plot (267) than in the logged forest plot (218), although the number of climber species was higher in the logged forest (44) than in the primary forest plot (33). The overlap in species composition between the two forest plots was relatively small (49#x0025;) compared with that in family composition (88#x0025;). In the primary forest plot, the Dipterocarpaceae contributed 29#x0025; of the total basal area and 34#x0025; of the annual leaf fall. In the logged forest plot these contributions were much lower, 11#x0025; and 15#x0025;. The contribution to annual leaf fall made by climbers and pioneer trees was higher in the logged forest plot (34#x0025;) than in the primary forest plot (8#x0025;). In the primary forest plot, leaf fall was dominated by large emergent and main canopy trees, mainly dipterocarps, and occurred as regular large peaks. In the logged forest leaf fall was dominated by climbers and many, relatively small trees of pioneer species, such as Macaranga hypoleuca, and was more evenly distributed in time. © 1994, Cambridge University Press. All rights reserved.",24,Journal,ar,Article,100,3,3,climbers | decomposition | dipterocaros | heterogeneity | leaf fall | Macaranga spp | patchiness | rainforest | Sabah | selective logging,23435,NA,undefined,NA,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162702,SCOPUS_ID:0028162702,2-s2.0-0028162702,A comparative study of the effects of fluctuations in temperature and moisture supply on hard coat dormancy in seeds of coastal tropical legumes in Mexico,Moreno-Casasola P.,Journal of Tropical Ecology,02664674,14697831,10,1,67-86,1994-02-01,1 February 1994,10.1017/S0266467400007720,"The effect of fluctuations in temperature and moisture supply on hard seeds of nine tropical coastal sand dune legumes, including herbs (Schrankia quadrioalvis, Macroptilium atropurpureum and Canavalia rosea), and shrubs (Acacia farnesiana, A. macracantha, Mimosa chaetocarpa, Indigofera suffruticosa, Crotalaria incana and Chamaecrista chamaecristoides), has been studied under laboratory and field conditions. Using a fluctuating temperature gradient bar seeds buried in sand were exposed to various amplitudes of diurnal temperature fluctuation over an extended period of time and seed germinability was examined at intervals. Germination percentage increased considerably in most species as a consequence of treatment with marked effects occurring at temperature fluctuations greater than 20#x00B0;C and becoming detectable after 45 days. In several species the effect of applying wetting and drying cycles was to lower the amplitude of temperature fluctuation necessary to soften the seeds. Species can be grouped into physiological groups on the basis of differences in seed response to temperature fluctuations. It is suggested that these differences may help to explain the mechanisms distinguishing the different colonization patterns observed in tropical sand dune systems. © 1994, Cambridge University Press. All rights reserved.",45,Journal,ar,Article,100,3,3,germination | hard coat seeds | legumes | Mexico | moisture | sand dunes | temperature | tropical,23435,CONACYT,undefined,British Council,0,FALSE,10,NA,NA
