@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0342682065,SCOPUS_ID:0342682065,2-s2.0-0342682065,"Forest and forest succession in Hong Kong, China",Zhuang X.,Journal of Tropical Ecology,02664674,13,6,857-866,1997-01-01,November 1997,10.1017/S0266467400011032,"Hong Kong is on the northern margin of the Asian tropics. The original forest cover was cleared centuries ago but secondary forest has developed since 1945 at many sites protected from fire and cutting. There are also older forest patches maintained behind villages for reasons of 'feng shui', the Chinese system of geomancy. All plants >2 cm dbh were identified and measured in forty-four 400-m2 plots. Detrended correspondence analysis showed a floristic continuum, with the montane sites (>500 m) most distinct and some overlap between lowland post-1945 secondary forest and the feng shui woods. The 30-40 year-old secondary forest is dominated by Persea spp. Montane forest is similar but lacks several common lowland taxa of tropical genera and includes more subtropical taxa. The feng shui woods have the most complex structure and contain some tree species not found in other forest types. Their origin and history is obscure but we suggest that both planting and selective harvesting have had a role in their current species composition.",76,Journal,ar,Article,100,2,2,China | Forest | Hong Kong | Secondary forest | Succession | Vegetation,23435,RBF,undefined,Rockefeller Brothers Fund,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031431349,SCOPUS_ID:0031431349,2-s2.0-0031431349,"Seed production by Gilbertiodendron dewevrei in the Nouabale-Ndoki National Park, Congo, and its implications for large mammals",Blake S.,Journal of Tropical Ecology,02664674,13,6,885-891,1997-01-01,November 1997,10.1017/S0266467400011056,NA,20,Journal,ar,Article,100,2,2,Congo | Gilbertiodendron | Mast fruiting | Seed predation | Seed production,23435,NA,undefined,NA,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031426732,SCOPUS_ID:0031426732,2-s2.0-0031426732,Germination ecology of forest species from the highlands of Ethiopia,Teketay D.,Journal of Tropical Ecology,02664674,13,6,805-829,1997-01-01,1997,10.1017/s0266467400011019,"A comparative study of seed germination was performed on 25 species of trees, shrubs, woody climbers and herbs from the dry Afromontane forest zone of Ethiopia. Despite the restricted geographical range of the species tested, the optimum constant temperature for germination varied considerably. For 17 of the species studied, it was between 20 and 25 °C while for three, germination was highest at 30 °C. Germination was virtually inhibited (<20%) for eight of the species at 10 °C and eight of the species at 30 °C. There was no clear division in temperature response between plants differing in habitat. For four out of 12 species tested, fluctuating temperatures (20/12 °C) resulted in significantly higher germination than the constant temperature treatment (20 °C), suggesting that field-germination would be favoured by disturbance to the canopy or soil. Speed of germination was negatively correlated with the logarithum of seed size. Most species lay in the range 3-15 d to reach 50% of final germination at their optimum temperature for germination. Germination was significantly suppressed in darkness for a large number of species, particularly for those with seed size less than c. 3 mg. When these were incubated under leaf-filtered light, germination was in most cases even more effectively suppressed. Most of these species are known to have large soil seed banks. Mechanical scarification improved germination over the control in nine species. Five of these also responded to heat or sulphuric acid scarification. Circumstantial evidence suggests that the species showing heat-induced germination may be fire adapted, although fire is probably a rare natural phenomenon in the Afromontane forest proper. Only one species, Bersama abyssinica, showed a classic recalcitrant behaviour. Germination dropped from 88% when the seeds were fresh to less than 20% after 1 mo of dry storage and 0% after 3 mo. Germinability of seeds of Ekebergia capensis also declined significantly with increasing storage time, although less rapidly; after 24 mo of dry storage, germination was 4%. In contrast, germinability of Juniperus procera was not significantly altered during 54 mo of storage. The results indicate that dormancy plays a major role in regulating germination in dry Afromontane species. Out of the 25 species studied, 15 (60%) showed some degree of initial dormancy. In most of the species with initially non-dormant seeds, dormancy would evidently be induced if the seeds are dispersed under a closed forest canopy or buried in the soil. These patterns of dormancy may have evolved in response to a highly unpredictable climate and small-scale disturbances, and should make the Afromontane forest flora relatively resilent also to anthropogenic disturbances.",19,Journal,ar,Article,100,2,2,Dry storage | Light | Regeneration | Scarification | Speed of germination | Temperature,23435,NA,undefined,NA,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031425483,SCOPUS_ID:0031425483,2-s2.0-0031425483,Paleoecological evidence of Raphia in the pre-columbian Neptropics,Urquhart G.R.,Journal of Tropical Ecology,02664674,13,6,783-791,1997-01-01,November 1997,10.1017/s0266467400010993,"Disjunctions between Africa and the Neotropics present a puzzle that is key to understanding the biogeography of the diverse floras and faunas of both continents. Many authors have proposed that Raphia taedigera Maur., the sole Neotropical representative of an otherwise African genus, has been introduced to the New World. Paleoecological data from a freshwater swamp in Nicaragua, which yielded R. taedigera pollen dating to 2800 ± 90 y before present (BP) and Raphia seed fragments from 2040 ± 60 BP are presented. These illustrate that Raphia taedigera arrived in the New World before trans-Atlantic trade by humans and thus arrived as a result of a natural phenomenon. The lack of differentiation of R. taedigera from the African sister taxon, R. vinifera, suggests recent separation of the two species (i.e. after the creation of the southern Atlantic Ocean by the splitting of West Gondwana). Other evidence supports dispersal of Raphia by ocean currents. The palm probably arrived from Africa by floating as an individual fruit or on a raft of vegetation. Thus, R. taedigera represents another example of trans-Atlantic dispersal, strengthening the link between the flora and fauna of Africa and the Neotropics.",6,Journal,ar,Article,100,1,1,Africa | Arecaceae | Biogeography | Introduced species | Neotropics | Nicaragua | Paleoecology | Palmae | Palynology | Raphia taedigera,23435,NA,undefined,NA,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031416726,SCOPUS_ID:0031416726,2-s2.0-0031416726,Estimating the ages of successional stands of tropical trees from growth increments,Terborgh J.,Journal of Tropical Ecology,02664674,13,6,833-856,1997-01-01,November 1997,10.1017/S0266467400011020,"Inability to age tropical trees has imposed major limitations on the basic and applied science of tropical forests. Here advantage was taken of even-aged stands present in successional chronosequences found on Amazonian whitewater river meanders to simplify the assumptions needed to estimate tree ages from growth measurements. Growth increments of eight common early successional species were measured in 21 0.5-ha plots evenly distributed over chronosequences from the earliest post-pioneer stage to mature Ficus-Cedrela stands representing approximately the mid-point of primary succession. Increment measurements, based on 4 or 5 y of growth, were arrayed in scatter diagrams against the midpoints of the growth intervals. A loess regression of the points, weighted for the higher mortality of slow-growing individuals, was then conducted to generate a 'best estimate lifetime growth trajectory' (BELGT) of a 'typical' individual surviving to maturity. The BELGT curves were integrated to generate a set of derived curves describing the time required by a 'typical' surviving individual to attain any given size up to the maximum for the species. Predictions of the ages of particular stands were derived from these latter curves and found to agree within 3 to 20% of ages independently estimated from the rate of point bar accretion.",51,Journal,ar,Article,100,4,4,Ages of trees | Amazon | Primary succession | Succession | Tree growth | Tropical trees,23435,NA,undefined,John D. and Catherine T. MacArthur Foundation,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031416725,SCOPUS_ID:0031416725,2-s2.0-0031416725,Plant establishment on flooded and unflooded patches of a freshwater swamp forest in southeastern Brazil,Scarano F.,Journal of Tropical Ecology,02664674,13,6,793-803,1997-01-01,November 1997,10.1017/S0266467400011007,"Plant establishment was studied in a swamp forest in the lowland Atlantic rainforest in southeastern Brazil. A topographic gradient allowed a clear distinction between a periodically flooded and a permanently flooded site in the study area. Both sites were mosaics of patches: the former showed soil patches of varying sizes subject to distinct flooding durations (from 0 to 300 d per year) and in the latter, the tank bromeliads which densely occupied the understorey, trap litter and provided 'suspended soil' patches. In the periodically flooded site, the occurrence of regenerants (< 1.0 m tall) of the actively regenerating tree populations of Calophyllum brasiliense, Symphonia globulifera and Tovomitopsis paniculata (all Clusiaceae), originating from seed or vegetative organs, was recorded for 1 m2 quadrats placed in flooded (n = 82) and unflooded (n = 103) patches. In the permanently flooded site, dominated by Tabebuia cassinoides (Bignoniaceae), the presence of germinated seedlings was counted for 400 rosettes of the terrestrial tank bromeliad Nidularium procerum. The results showed that unflooded patches, including tank bromeliads, favoured seedling establishment. However, T. paniculata and T. cassinoides colonize patches where flooding lasts longer or is permanent mostly by reproducing vegetatively, while the seeds of C. brasiliense, which showed no form of vegetative reproduction, and S. globulifera are successful in colonizing flooded patches. Germination tests and field observations indicated that, for C. brasiliense, pre- and post-dispersal seed dormancy, a two-phase seed dispersal (water and bats) and seedling tolerance to flooding accounted for this pattern.",85,Journal,ar,Article,100,4,4,Atlantic forest | Bromeliacea | Clusiaceae | Flooding | Germination | Patchiness | Seed dormancy | Seedling establishment | Tabebuia cassinoides,23435,CNPq,301056-92.7,University of St Andrews,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031404664,SCOPUS_ID:0031404664,2-s2.0-0031404664,Genetic diversity of Philippine Rubus moluccanus L. (Rosaceae) populations examined with VNTR DNA probes,Busemeyer D.T.,Journal of Tropical Ecology,02664674,13,6,867-884,1997-01-01,November 1997,10.1017/S0266467400011044,"Two synthetic DNA probes composed of tandemly repeated 'core' sequences (GACA and GATA) were used to examine genetic diversity at multiple variable-number-tandem-repeat (VNTR) loci within and among four spatially isolated Philippine populations of Rubus moluccanus L. (Rosaceae), an uncultivated bramble widely distributed throughout southeast Asia - Malesia. Central goals were to determine whether apomictic propagation was detectable in R. moluccanus and to examine whether populations isolated on separate islands, or on mountain tops on a single island, were genetically differentiated. Sampling 22 individuals per population, the findings include: (1) no two individuals shared identical VNTR band profiles and thus apomictic propagation was not detected; (2) the mean number of bands scored per individual was 24.3 (SD = 3.91) and the proportion of polymorphic loci within populations ranged from 0.69 to 1.00 (mean = 0.86 ± SD = 0.085); (3) the average proportion of bands shared between individuals within populations ranged from 0.39 to 0.67 (0.50 ± 0.067), while average interpopulation similarity ranged from 0.21 to 0.50 (0.32 ± 0.092); and (4) estimated heterozygosity within populations ranged from 0.42 to 0.79 (0.62 ± 0.083), while interpopulation heterozygosity ran from 0.62 to 0.81 (0.74 ± 0.062). Permutation tests were used to estimate the statistical significance of differences in similarity between populations. A Luzon population isolated by 1200 km was always significantly different in similarity tests when compared with each of the other three populations, all located on Mindanao (and separated by at least 100 km but less than 250 km). Of the latter three, only one population differed significantly from the other two in the degree of VNTR markers shared, possibly reflecting biogeographic partitioning suggested for the island. Across all populations, average estimated Fst was 0.154, although mean inter-island Fst (0.224) was significantly higher than mean intra-island Fst (0.085). These results suggest that, while intra-island gene flow is relatively high, significant differentiation of tropical species may occur even over short distances on individual islands. Preservation of only a limited number of populations may result in a significant loss of genetic diversity in such species.",16,Journal,ar,Article,100,4,4,Conservation biology | DNA fingerprinting | Minisatellite DNA | Population genetics | Rflp analysis,23435,NSF,DEB 9096317,National Science Foundation,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030928099,SCOPUS_ID:0030928099,2-s2.0-0030928099,Survival and growth of Iryanthera hostmannii seedlings and juveniles in the tropical rainforest of French Guyana,Puig H.,Journal of Tropical Ecology,02664674,13,1,139-143,1997-01-01,January 1997,10.1017/S0266467400010324,NA,4,Journal,ar,Article,100,2,2,French Guyuna | Irayanthera hostmannii | Mortality | Recruitment | Seedling demography | Seedling establisment,23435,NA,undefined,NA,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030868560,SCOPUS_ID:0030868560,2-s2.0-0030868560,The role of plumes in Eriotheca pentaphylla (Bombacaceae) seed survival in south-eastern Brazil,Fischer E.,Journal of Tropical Ecology,02664674,13,1,133-138,1997-01-01,January 1997,10.1017/S0266467400010312,NA,10,Journal,ar,Article,100,1,1,Atlantic Forest | Bombacaceae | Diaspore design | Riverbank | Seed germination | Silky fibres | Water dispersal | Wind dispersal,23435,CAPES,undefined,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,0,FALSE,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030868315,SCOPUS_ID:0030868315,2-s2.0-0030868315,Fungus eating by the African tortoise Kinixys spekii,Hailey A.,Journal of Tropical Ecology,02664674,13,3,469-474,1997-01-01,May 1997,10.1017/S0266467400010634,NA,13,Journal,ar,Article,100,3,3,NA,23435,NA,undefined,NA,0,FALSE,10,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030863873,SCOPUS_ID:0030863873,2-s2.0-0030863873,Dynamics of the seedling shadow of a frugivore-dispersed tree species in French Guiana,Forget P.,Journal of Tropical Ecology,02664674,13,5,767-773,1997-01-01,September 1997,10.1017/S0266467400010920,NA,24,Journal,ar,Article,100,2,2,Ateles paniscus | French Guiana | Rainforest | Recruitment | Seedling | Spider monkey | Tree | Virola,23435,ANRT,undefined,Association Nationale de la Recherche et de la Technologie,0,FALSE,11,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030863763,SCOPUS_ID:0030863763,2-s2.0-0030863763,Damage and herbivory tolerance through resprouting as an advantage of large seed size in tropical trees and lianas,Harms K.,Journal of Tropical Ecology,02664674,13,4,617-621,1997-01-01,July 1997,10.1017/S0266467400010750,NA,119,Journal,ar,Article,100,2,2,Barro Colorado Island | Herbivory | PanamA | Resprout | Seed | Seedling | Tolerance | Tropics,23435,Princeton,undefined,Princeton University,0,FALSE,12,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030850191,SCOPUS_ID:0030850191,2-s2.0-0030850191,"Termite species richness in fire-prone and fire-protected dry deciduous dipterocarp forest in Doi Suthep-pui National Park, northern Thailand",Davies R.,Journal of Tropical Ecology,02664674,13,1,153-160,1997-01-01,January 1997,10.1017/S0266467400010348,NA,46,Journal,ar,Article,100,1,1,Dry deciduous dipterocarp forest | Macrotermitinae | Species richness | Termites,23435,NA,undefined,National Council for Scientific Research,0,FALSE,13,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030848784,SCOPUS_ID:0030848784,2-s2.0-0030848784,Root mat depths and surface soil chemistry in Southeastern Venezuela,Kingsbury N.,Journal of Tropical Ecology,02664674,13,3,475-479,1997-01-01,May 1997,10.1017/S0266467400010646,NA,12,Journal,ar,Article,100,2,2,Aluminium | Litter | Nutrients | Root mats,23435,NSERC,undefined,Natural Sciences and Engineering Research Council of Canada,0,FALSE,14,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030845181,SCOPUS_ID:0030845181,2-s2.0-0030845181,Explosive seed dispersal of the rainforest tree Tetraberlinia moreliana (Leguminosae - Caesalpinioideae) in Gabon,Van Der Burgt X.M.,Journal of Tropical Ecology,02664674,13,1,145-151,1997-01-01,January 1997,10.1017/S0266467400010336,NA,26,Journal,ar,Article,100,1,1,Dispersal distance | Explosive dehiscence | Seed dispersal | Seed trajectory,23435,VCI,SFB 317,Verband der Chemischen Industrie,0,FALSE,15,all,All Open Access
