@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,prism:eIssn
true,https://api.elsevier.com/content/abstract/scopus_id/0032442271,SCOPUS_ID:0032442271,2-s2.0-0032442271,"Seasonality of soil termites in a humid tropical forest, Mbalmayo, southern Cameroon",Dibog L.,Journal of Tropical Ecology,02664674,14,6,841-850,1998-11-01,November 1998,10.1017/S0266467498000601,"The effects of wet and dry seasons on soil termites within a humid tropical West African forest are examined. Samples were taken monthly, over a 14-mo period, and termite abundances and species richness were estimated. These estimates were compared with the total cumulative rainfall for 30-d, 7-d and 2-d periods before each sampling. For all these time periods abundances and species richness of termites were significantly negatively correlated with rainfall. However, the strongest correlations were generally found with the 2-d period, suggesting that short-term movement of termites up and down the soil profile may be the most important factor in the observed differences, rather than longer term changes in overall abundance or species composition. This conclusion was supported by a detrended correspondence analysis which showed no significant changes in species composition between dry and wet months.",32,Journal,ar,Article,100,3,3,Abundance | Rainfall | Seasonal fluctuation | Species composition | Species richness,23435,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032439290,SCOPUS_ID:0032439290,2-s2.0-0032439290,"Importance of aquatic invertebrates in the diet of rapids-dwelling fish in the Sinnamary River, French Guiana",Horeau V.,Journal of Tropical Ecology,02664674,14,6,851-864,1998-11-01,November 1998,10.1017/S0266467498000613,"The stomach contents of 683 fishes representing 39 species were examined to determine the diet of fish living in fast-flowing waters (rapids) of the Sinnamary River in French Guiana. Aquatic invertebrates were shown to be an important source of food in the rapids biotopes, in contrast to what has previously been observed for slow-flowing waters. Aquatic insects (e.g., the larval stages of Diptera, Ephemeroptera and Trichoptera) make up 55% of the diet of fish living in rapids. Such prey animals were more common in those biotopes than in slow-flowing waters. Twenty-two species of fish, each represented by at least 10 individuals in all samples, were analyzed for their stomach contents. The spectrum of prey items allowed for an estimation of the similarity of feeding habits. These diets were further compared to those inferred for other rivers of the Amazonian and Guianian regions.",21,Journal,ar,Article,100,4,4,Diet | Fish | French Guiana | Rapids | Sinnamary River,23435,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032425912,SCOPUS_ID:0032425912,2-s2.0-0032425912,"Geophagy by large mammals at natural licks in the rain forest of the Dzanga National Park, Central African Republic",Klaus G.,Journal of Tropical Ecology,02664674,14,6,829-839,1998-11-01,November 1998,10.1017/S0266467498000595,"Geophagy (soil eating) by the forest elephant (Loxodonta africana cyclotis) and other mammal species in the Dzanga National Park, Central African Republic, has led to large treeless licks. The geological and physical properties of these licks were studied and the chemical characteristics and particle sizes of geophagical lick soils were compared with soils from the forest and from licks where evidence of geophagy was absent. Average lick size of 20 licks in the Hokou lick area was 12,900 m2 (SE- 3,400 m2). Licks were situated exclusively in areas of outcropping dolerite intrusions. Physico-chemical analysis of the geophagical lick soil showed significantly higher quantities of sodium, potassium, calcium, magnesium, phosphorus, manganese and clay compared with the other soils. Several samples of the geophagical lick soil had lower nutrient levels than the mean level of forest topsoil, indicating that nutrient supplementation is probably not the only reason for geophagy. The high clay content of the geophagical soil may help absorbing and combating secondary plant compounds. Pronounced geophagy in rainforests may be a sign for poor habitat quality for large mammals living in these ecosystems.",90,Journal,ar,Article,100,3,3,Central African Republic | Clay | Geophagy | Loxodonta africana cyclotis | Mineral nutrients | Natural lick | Rainforest | Secondary plant compounds,23435,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032422801,SCOPUS_ID:0032422801,2-s2.0-0032422801,"Demography of the epiphytic orchid, Dimerandra emarginata",Zotz G.,Journal of Tropical Ecology,02664674,14,6,725-741,1998-11-01,November 1998,10.1017/S0266467498000534,"Vegetative growth, reproductive effort, seedling establishment, and mortality of the bark epiphyte, Dimerandra emarginata (Orchidaceae), were studied over a 3-y period in the moist lowland tropical forest on Barro Colorado Island, Panama. The study included more than 350 individuals growing on 12 branches of five different host tree species. Mortality was highest among small individuals. Most deaths occurred during the dry season and were probably related to drought. Mortality among older individuals, on the other hand, was always related to the instability of the substrate, i.e. flaking bark, breaking branches or falling trees. Vegetative growth was slow. The average increase in size (= height of the most recent, fully developed shoot) was 2.7 cm over S y (not considering 'stemless' seedlings). This increase was negatively correlated with initial plant size. Growth was highly seasonal, with little variation between years. The reproductive effort increased strongly with plant size. Larger individuals produced fruits more frequently, in larger numbers and of larger size. After reproduction, plants showed reduced vegetative growth in the following year (in 1994). There was no negative effect on future reproduction. Compared to seed production, annual recruitment was very low and showed large year-to-year variation. Fewer than 50% of the seedlings survived the first dry season after germination. After 3 y, their average size was 0.5 cm. The results suggest that slow-growing epiphytes such as D. emarginata can attain considerable age and that their longevity - after an initial vulnerable juvenile stage - is almost exclusively limited by substrate durability.",77,Journal,ar,Article,100,1,1,Barro Colorado Island | Demography | Dimerandra emarginata | Epiphytes | Orchidaceae | Panama | Reproductive effort | Resource limitation | Tropical forests,23435,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032412183,SCOPUS_ID:0032412183,2-s2.0-0032412183,Ecological traits of the tropical treeline species Polylepis quadrijuga (Rosaceae) in the Andes of Colombia,Velez V.,Journal of Tropical Ecology,02664674,14,6,771-787,1998-11-01,November 1998,10.1017/S026646749800056X,"Information is presented on the phenology, herbivory, phytochemistry and production of the tree species Polylepis quadrijuga. Leaf production was lower during the dry season than during the wet season, when minimum temperatures also occurred. Flower and fruit phenology were also seasonal. Herbivory was significantly higher for leaves expanded during the wet season (20%) than during the dry season (1%), and was also higher for younger leaves. Flavonoids, compounds known as UV-B protectors, were found in high concentration in leaves of P. quadrijuga. There was a significant positive relationship between monthly rainfall, monthly minimum temperatures and flavonoid concentration, but no relationship was found with leaf age. The annual fine litterfall for the Polylepis forest was estimated to be 3.9 t ha-1 y-1, a high value when compared to other paramo and upper montane rain forests in tropical mountains. High production was associated with high leaf nitrogen concentration (3.0-3.5%), high rates of nitrogen retranslocation (80% dry weight), and relatively low leaf longevity (8.4 mo). High production in P. quadrijuga is probably a key factor in explaining the existence of this large woody species in a paramo environment otherwise dominated by bunch grasses, cushion plants and giant rosettes of the genus Espeletia.",22,Journal,ar,Article,100,3,3,Andes | Colombia | Flavonoids | Herbivory | Leaf longevity | Paramo | Phenology | Phytochemistry | Polylepis | Production,23435,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0032408729,SCOPUS_ID:0032408729,2-s2.0-0032408729,Influence of tree-fall orientation on canopy gap shape in an Ecuadorian rain forest,Salvador-Van Eysenrode D.,Journal of Tropical Ecology,02664674,14,6,865-869,1998-11-01,November 1998,10.1017/S0266467498000625,NA,20,Journal,ar,Article,100,4,4,Hemispherical photographs | Shape index | Terra firme forests | Treefall gap,23435,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031792262,SCOPUS_ID:0031792262,2-s2.0-0031792262,Redefining the ecological niche of a tropical rain forest canopy tree species using airborne imagery: Long-term crown dynamics of Toona ciliata,Herwitz S.R.,Journal of Tropical Ecology,02664674,14,5,683-703,1998-09-01,September 1998,10.1017/S0266467498000480,"Past controlled growth experiments indicate that the seedling and sapling responses of the tropical rainforest canopy tree species Toona ciliata are most consistent with a light-demanding, early successional pioneer. This ecological niche assignment was tested in the mature stage of its life cycle after it achieves a position in the upper canopy. Mortality, survivorship and crown growth rates over the 18-y period 1976-1994 were measured using co-registered repeat airborne stereophotographic coverage of a representative forest stand in northeast Queensland, Australia, where T. ciliata had the fourth highest relative importance in a population of 46 co-occurring canopy tree species. The airborne re-inventory was conducted in a 3.6-ha sample area and limited to only canopy trees. The results were compared with a ground-based inventory of both canopy and subcanopy trees ≥10 cm dbh in a 0.5-ha permanent plot. Over the period 1976-1994, there was no mortality and no evidence of decline among T. ciliata conspecifics having crown areas >60 m2 and trunk diameters >30 cm. In the 3.6-ha airborne sample area, more than 85% of T. ciliata survivors experienced positive crown growth, in contrast to only 57% of the other co-occurring canopy trees. Toona ciliata's crown growth rates were highest in the 60-80-m2 crown size class. Upon reaching an upper canopy position, T. ciliata not only persisted as a dominant canopy tree species, but it also achieved some of the largest crown areas (> 100 m2). Toona ciliata mortality in the ground-based plot involved mainly subcanopy trees of 10-30 cm dbh that had not yet assumed a canopy position and were not detectable in the aerial stereopairs. Both the crown and dbh growth rates of T. ciliata indicate enhanced vigour in the later stage of its life cycle. Its long-term survivorship and growth patterns are indicative of a persistent canopy tree species that fits the niche of a long-lived, shade-intolerant pioneer. These results demonstrate the usefulness of a long-term airborne database on the life-histories of canopy tree crowns for more clearly defining their ecological niches.",20,Journal,ar,Article,100,3,3,Airborne imaging | Canopy trees | Crown growth | Diameter growth | Ecological niches | Mortality | Pioneer species | Survivorship | Toona ciliata,23435,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031785511,SCOPUS_ID:0031785511,2-s2.0-0031785511,A method for censusing the greater white-nosed monkey in northeastern Gabon using the population density gradient in relation to roads,Lahm S.,Journal of Tropical Ecology,02664674,14,5,629-643,1998-09-01,September 1998,10.1017/S0266467498000443,This paper presents a method for estimating monkey numbers in a large area of forest where there is a gradient of monkey densities. The method is illustrated using data collected in the northeastern forests of Gabon during an earlier project. These forests are sparsely populated and there are few roads. The density of Cercopithecus nictitans increases with distance from the nearest road. A geographic information system (GIS) divided the forest into bands of increasing distance from the nearest road. The number of monkeys in each band is the product of the monkey density in that band and the area of the band. Summing across bands gives the population estimate; the standard error can be estimated by bootstrapping. The optimum sample size can be estimated by simulation. Combining estimates of the density gradient with a GIS is a cost-effective method of censusing primates in extensive forests.,17,Journal,ar,Article,100,4,4,Census | Forest | Gabon | Gradient | Methods | Monkeys,23435,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031769181,SCOPUS_ID:0031769181,2-s2.0-0031769181,Studying canopy arthropods in New Caledonia: How to obtain a representative sample,Guilbert E.,Journal of Tropical Ecology,02664674,14,5,665-672,1998-09-01,September 1998,10.1017/S0266467498000467,"Canopy arthropods were sampled by insecticide fogging to study their community structure in two New Caledonian primary rain forests. The representativeness of these samples was analysed by two different methods: the diversity-area relationship and the relationship between the distribution of the taxa and the sample size, using Pielou's method. The results showed that the higher the degree of aggregation, the higher must be the minimum sample size to ensure a stable distribution. In the same way, the higher the diversity index, the higher must be the sample size to ensure a representative sample of the community: In this study, 40 sample units of 1 m2 were used, although, samples of 9 to 25 m2 seem to be sufficient according to the distribution of the taxa sampled. Five to 30 m2 should be sufficient to ensure representative samples of the whole community for estimating diversity.",8,Journal,ar,Article,100,1,1,Biodiversity | Canopy arthropods | Distribution index | Diversity index | Fogging | New Caledonia | Representative sample | Sample size,23435,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0031760839,SCOPUS_ID:0031760839,2-s2.0-0031760839,Factors limiting fecundity of the tropical tree Ipomoea wolcottiana (Convolvulaceae) in a mexican tropical dry forest,Parra-Tabla V.,Journal of Tropical Ecology,02664674,14,5,615-627,1998-09-01,September 1998,10.1017/S0266467498000431,"To explain very low fruit production in the tropical tree Ipomoea wolcottiana (Convolvulaceae), experiments and observations are presented regarding hypotheses that fecundity is limited by foliar herbivory, low soil phosphorus, inadequate cross-pollination, low rates of pollinator visitors, and parasitism of flower buds. A 2 x 2 factorial experiment was undertaken in two consecutive years which included control of herbivores with contact and systemic insecticides and addition of phosphorus. Phosphorus application in the second year increased the number of inflorescences and flowers by 200%, and the initiation of fruits by 400%. No response was observed for the number of mature fruits. Herbivore control and the addition of phosphorus increased seed weight by 22% in the first year, but could not be measured in the second year. Hand-pollination experiments increased the fruit set by 58% in the first year and by 75% in the second. Observations on visits to the flowers showed a six-fold difference between years in rates of pollinator visits. Parasitism of flower buds was 18% in the first year and 33% in the second. Several of the differences between years probably resulted from lesser and desynchronized flowering, due to heavy unseasonal rains in the second year. The differences in floral visitation and predation of floral buds were reflected in open fruit production: 16% in the first year and 6% in the second. All the factors investigated have important effects on the fecundity of I. wolcottiana. From the evolutionary point of view, the results suggest a complex interaction among selective forces which interact with the reproductive system. The theories of sexual selection and bet-hedging are the most plausible alternatives for explaining high levels of floral abortion in this species.",19,Journal,ar,Article,100,2,2,Bet-hedging | Herbivory | Mexico | Pollination | Reproductive success | Resource limitation | Sexual selection | Tropical trees,23435,undefined,0,FALSE,10,NA,NA,NA
