@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0343416146,SCOPUS_ID:0343416146,2-s2.0-0343416146,<sup>14</sup>C dating of tree falls on Barro Colorado Island (Panama): A new method to study tropical rain forest gap dynamics,Horvitz C.,Journal of Tropical Ecology,02664674,15,6,723-735,1999-11-01,November 1999,10.1017/S0266467499001133,"A new method for investigating the age structure of the patch mosaic of a tropical forest by utilizing radiocarbon dating techniques on fallen trees is proposed. Aboveground nuclear explosions in the early 1960s, before the nuclear test ban treaty, created a spike in the 14C concentration content of the atmosphere. The amount of radiocarbon in the outer layers of wood collected from trunks of trees that had died in known years (1970-1989) on Barro Colorado Island (BCI) and Gigante Peninsula (Panama) was analysed to test the hypothesis that radiocarbon concentration was predictive of year of tree death. The date of tree death was negatively related to the level of 14C, following a trend similar to published data on tree rings from German and Amazonian trees. Combining our data with these data in a statistical analysis revealed a significant predictive effect of radiocarbon on year. Analysis of covariance showed that there was no significant difference among the slopes of the three groups of data, but there was significant heterogeneity among the intercepts. The differences suggest a need for site-specific calibration and refinement of field protocols. The technique shows promise and suggestions are made to improve its usefulness for future studies.",5,Journal,ar,Article,100,2,2,Age structure of gaps | Bomb peak | Gap dynamics | Radiocarbon dating of wood | Tropical rain forest dynamics,23435,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033401575,SCOPUS_ID:0033401575,2-s2.0-0033401575,Effects of a litter-disturbing bird species on tree seedling germination and survival in an Australian tropical rain forest,Theimer T.,Journal of Tropical Ecology,02664674,15,6,737-749,1999-11-01,November 1999,10.1017/S0266467499001145,"The spatial and temporal variation in litter disturbance by a medium-sized bird, the chowchilla (Orthonyx spaldingii Ramsay, Orthonychidae) was documented, and its potential impacts on tree seed germination and early seedling survival in an Australian tropical rain forest experimentally investigated. Chowchilla disturbances occurred on ridges, slopes and drainages in all four seasons surveyed. In some areas litter was completely turned over as frequently as every 5 wk. Tethered seeds exposed to disturbance were moved farther and experienced significantly greater variation in litter cover than those protected from disturbance. When seeds of two canopy trees were placed in litter environments simulating those created by chowchillas, the seeds of one species showed significant effects of litter treatment on germination while those of the other showed no significant effects. Seedling cohorts of four tree species were followed for 6 wk soon after germination and all showed higher survival in vertebrate exclosures. The two most abundant species suffered 68% and 35% mortality in six wks, with the majority of that unambiguously due to chowchillas. It is argued that litter-disturbing birds increase litter heterogeneity and significantly impact early seedling mortality. These effects could be important in maintaining evenness and diversity of the seedling community.",15,Journal,ar,Article,100,2,2,Chowchilla | Disturbance | Germination | Leaf litter | Rain forest | Seedling,23435,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033401162,SCOPUS_ID:0033401162,2-s2.0-0033401162,Amazonian ant-plant interactions and the nesting space limitation hypothesis,Fonseca C.R.,Journal of Tropical Ecology,02664674,15,6,807-825,1999-11-01,November 1999,10.1017/S0266467499001194,"Throughout the tropics there are a few hundred ant species that nest exclusively inside myrmecophytes (i.e. ant-domatia bearing plants). For these ants, nesting space is an essential resource that must be shared among them, therefore opening the possibility for strong intraspecific and interspecific competition. Several ant-myrmecophyte systems from Central Amazonia were investigated to test the relevance and generality of the nesting space limitation hypothesis for plantants. Empirical patterns were drawn at four organizational levels: (a) individual levelant species with small-bodied queens were the most frequent partners of myrmecophyte species offering small-sized domatia, while ants with large-bodied queens dominated host species with large-sized domatia, suggesting that host choice by inseminated queens and interspecific conflicts over host dominance seem to be influenced by space limitation; (b) colony level - in eight independent antmyrmecophyte systems, ant colony size was positively correlated to the number of domatia provided by the host, and the mean occupancy level of the domatia by ants was 92%, suggesting that space can be limiting to colony growth; (c) population levelant colony number and distribution was determined by the local availability and distribution of its plant partners; and (d) community level - across ant-myrmecophyte systems, the commonness of ant species were largely determined by the commonness of their specialized host partners. Within antmyrmecophyte systems, rarity of ants seems to be defined by interspecific conflicts over host dominance. The ecological and evolutionary consequences of those patterns are discussed.",82,Journal,ar,Article,100,1,1,Body size | Colony size | Community structure | Competition | Insect-plant interaction | Limiting factor | Mutualism | Myrmecophyte | Nesting site | Population size,23435,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033383503,SCOPUS_ID:0033383503,2-s2.0-0033383503,Distribution and abundance of colonies of selected meliponine species in a Costa Rican tropical wet forest,Breed M.,Journal of Tropical Ecology,02664674,15,6,765-777,1999-11-01,November 1999,10.1017/S0266467499001169,"The goal of this study was to assess territoriality and foraging home ranges for stingless bee species; and to develop methods for censusing stingless bee colonies. Colonies of two meliponine bee species, Trigona corvina Cockerell and Trigona amalthea Vachal, were censused using carrion and honey baits. Trigona corvina and Trigona amalthea are dispersed in a Costa Rican tropical wet forest (La Selva) so that foraging ranges of the colonies are non-overlapping. The nest density was c. 0.25 ha-1 for T. amalthea and 1.0 ha-1 for T. corvina. T. corvina visited carrion baits exclusively, while T. amalthea visited both carrion and honey baits. The identities of T. amalthea colonies were confirmed using a nestmate recognition assay. Partamona peckolti Friese, Plebeia frontalis Friese, and T. fulviventris Guerin also appeared at the baits. The reliability of baiting to determine colony abundance and distribution is assessed.",16,Journal,ar,Article,100,5,5,Agonistic behaviour | Carrion | Competitive interactions | Distribution | Feeding preferences | Nectar | Trigona,23435,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033379635,SCOPUS_ID:0033379635,2-s2.0-0033379635,"A commensalism between Piper marginatum Jacq. (Piperaceae) and a coccinellid beetle at Barro Colorado Island, Panama",Dyer L.,Journal of Tropical Ecology,02664674,15,6,841-846,1999-11-01,November 1999,10.1017/S0266467499001212,NA,5,Journal,ar,Article,100,4,4,Ant-plant mutualisms | Coccinellidae | Herbivory | Induction | Piper | Secondary compounds,23435,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033379634,SCOPUS_ID:0033379634,2-s2.0-0033379634,Growth responses of seedlings of two neotropical pioneer species to simulated forest gap environments,Dalling J.,Journal of Tropical Ecology,02664674,15,6,827-839,1999-11-01,November 1999,10.1017/S0266467499001200,"Traditional shade house experiments that expose plants to relatively uniform irradiance and light quality are inadequate to characterize the morphological, allocational and physiological plasticity that seedlings show to different gap environments. Here the design of a pot experiment is described that simulates the daily time course of irradiance and light quality in idealized gaps of six different sizes. Differences in response to gap size are illustrated using data from two pioneer species, Ochroma pyramidale, which recruits exclusively in large gaps and clearings, and Luehea seemannii, which colonizes small branchfall gaps as well as large gaps. Ochroma outperformed Luehea in relative growth rate in all except the smallest simulated gap size. Ochroma's superior performance in the larger gaps could be attributed to a larger proportional investment in leaf biomass (i.e. a higher leaf area ratio, LAR), and higher photosynthetic rates both on a leaf area and leaf mass basis. In the smallest simulated gaps LAR was not significantly different between the species, but Ochroma maintained a higher net assimilation rate. These results fail to support the suggestion that gap partitioning among pioneer species arises directly from morphological and biochemical specialization to particular gap light environments. Instead, it is suggested that partitioning may result from a trade-off between seedling growth and mortality determined by species allocational patterns and mediated by interactions with herbivores and pathogens.",33,Journal,ar,Article,100,3,3,Allocation patterns | Gap partitioning | Growth analysis | Light quality | Luehea | Ochroma | Pioneer | Simulated gap | Tropical rain forest,23435,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033379298,SCOPUS_ID:0033379298,2-s2.0-0033379298,Partitioning of the understorey light environment by two Amazonian treelets,Terborgh J.,Journal of Tropical Ecology,02664674,15,6,751-763,1999-11-01,November 1999,10.1017/S0266467499001157,"Primary tropical forests comprise a mosaic of mature, gap and building phase patches, resulting in great spatial variation in the distribution of foliage. Light may consequently penetrate into the forest interior over a wide range of angles. It thus seems possible that understorey tree species might be adapted for distinct understorey light conditions. At the Cocha Cashu Biological Station in Madre de Dios, Peru, there are two understorey treelets distinguished by contrasting crown architectures. One, Neea chlorantha (Nyctaginaceae), possesses a much-branched superstructure and displays a smoothly contoured shell of drooping elliptical leaves. The other, Rinorea viridifolia (Violaceae), displays planar arrays of horizontally-oriented obovate leaves held on whorls of stiffly radiating horizontal branches. With the aid of hemispherical photography and the program CANOPY, the light environment at large within a 2.25-ha permanent tree plot, and above and below the crowns of Neea and Rinorea treelets, was investigated. Available light (measured as uncorrected indirect site factor (ISFU) in CANOPY) at control points showed a log-linear increase with height from 2.1 to 14.2 m. The relative amount of lateral illumination also increased with height. Photographs were taken just above and below the crowns of 50 Neea and 50 Rinorea treelets. Neea crowns were more effective at intercepting light from overhead sources, whereas Rinorea crowns were more effective at intercepting light from lateral sources. Adult Neea and Rinorea treelets occurred at locations in the forest where they were exposed to differing angular distributions of incident light, suggesting that the two species were engaged in a form of resource partitioning, a conclusion that is in conflict with the nonequilibrium model of tropical forest tree species diversity. It is suggested that tropical tree species diversity is, at least in part, a product of adaptive specialization to a spatially heterogeneous light environment.",20,Journal,ar,Article,100,2,2,Amazon | CANOPY | Crown architecture | Forest understorey | Hemispherical photography | Light environment | Neea | Resource partitioning | Rinorea,23435,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033374413,SCOPUS_ID:0033374413,2-s2.0-0033374413,"Frugivorous butterflies in Venezuelan forest fragments: Abundance, diversity and the effects of isolation",Shahabuddin G.,Journal of Tropical Ecology,02664674,15,6,703-722,1999-11-01,November 1999,10.1017/S0266467499001121,"Frugivorous butterflies were studied in a set of forested islands (0.1 to 1.15 ha) in a reservoir in eastern Venezuela to investigate the effects of fragmentation and the resulting isolation on their abundance, diversity and species composition. While some islands showed reduced abundance and species diversity in comparison to unfragmented (or control) sites, others did not. Isolation status affected both butterfly abundance and diversity. Islands located close to their colonizing sources (0.1-1 km) tended to support similar densities of butterflies but lower numbers of species in comparison to control sites. Far fragments (1-3 km from their colonizing sources) tended to harbour lower butterfly densities in comparison to control sites but undiminished numbers of species. Species composition varied significantly between control sites and islands and amongst control sites, near islands and far islands. Interspecific differences were observed in species' responses to fragmentation. Charaxines, medium-sized satyrines, morphines and brassolines may be vulnerable to extinction after habitat fragmentation while small-sized satyrines may be relatively resistant. Observations during the dry season indicate that butterfly species may exist as mainland-island metapopulations in Lago Guri, in which small habitat fragments require recolonization every year from source populations in large islands and mainland habitat.",56,Journal,ar,Article,100,2,2,Dry forest | Fragmentation | Lepidoptera | Nymphalidae | Species composition | Tropical,23435,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033369773,SCOPUS_ID:0033369773,2-s2.0-0033369773,Consumption of arbuscular mycorrhizal fungi by spiny rats (Proechimys semispinosus) in eight isolated populations,Mangan S.,Journal of Tropical Ecology,02664674,15,6,779-790,1999-11-01,November 1999,10.1017/S0266467499001170,"The consumption of arbuscular mycorrhizal fungi (AMF) by Proechimys semispinosus (Central American spiny rat) was assessed via microscopic examination of faecal material for the presence of AMF spores. Mycophagy (indicated by the presence of spores) was compared among individual spiny rats residing on eight isolated islands in Gatun Lake, Panama during January and July 1996. Spores and sporocarps of Sclerocystis coremioides and spores from at least four species of Glomus were present in 77% of the 231 faecal samples examined. The proportion of faecal samples that contained AMF spores did not differ between spiny rat sex, age classes or months of sampling or with island area. However, there was a positive relationship between the proportion of samples containing spores and rodent density in January, and a marginally significant positive trend in July. Increased consumption of AMF on islands that supported high densities of spiny rats may have resulted from increased competition for primary food resources (fruits and seeds).",15,Journal,ar,Article,100,2,2,Glomalean fungi | Mycophagy | Panama | Spore dispersal | Tropical rodent,23435,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0033368372,SCOPUS_ID:0033368372,2-s2.0-0033368372,Control of Avicennia germinans recruitment and survival by Junonia evarete larvae in a disturbed mangrove forest in Colombia,Elster C.,Journal of Tropical Ecology,02664674,15,6,791-805,1999-11-01,November 1999,10.1017/S0266467499001182,"In the Cienaga Grande de Santa Marta, a brackish lagoon system on the Caribbean coast of Colombia, about 60% of the mangrove forests died from hypersalinization. The die-back was first encountered in 1964 and mass mortality started in the late 1960s. Although efforts are being made to reestablish the destroyed areas, regeneration is slow, which may be partly due to Junonia evarete caterpillars defoliating Avicennia germinans seedlings. The interaction between insects and seedlings was studied. Both J. evarete butterflies and caterpillars were abundant during the main rainy season, the time of highest fruit production in A. germinans. During the dry season the herbivore disappeared. The caterpillars fed exclusively on A. germinans propagules, seedlings, and pneumatophores. They preferred young seedlings to older plants and did not feed on trees. At some sites, 100% of the A. germinans seedlings died due to the caterpillar attack. Seedlings at open, disturbed sites were attacked more than seedlings protected by small roofs and trenches or those under a closed canopy. Only seedlings protected by insect nets or seedlings germinating at the beginning of the dry season had good chances of survival. The results suggest that in the highly disturbed areas of the Cienaga Grande regeneration of A. germinans is strongly inhibited by the feeding behaviour of J. evarete caterpillars.",18,Journal,ar,Article,100,4,4,Avicennia germinans | Colombia | Herbivory | Junonia evarete | Mangrove | Plant-animal interaction | Regeneration | Seedlings,23435,undefined,0,FALSE,10,NA,NA,NA,NA
