@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0022805334,SCOPUS_ID:0022805334,2-s2.0-0022805334,Collateral vessels of the aortic arch of the guinea pig Cavia porcellus (Rodentia),Quesada R.,Revista de biología tropical,00347744,34,2,303-304,1986-01-01,Nov 1986,The distribution of the principle arteries of the aortic arch in male and female guinea pigs is highly variable.,1,3423338,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0022804938,SCOPUS_ID:0022804938,2-s2.0-0022804938,Scanning electron microscopy in gastric adenocarcinoma and intestinal metaplasia,Tuk B.,Revista de biología tropical,00347744,34,2,167-170,1986-01-01,Nov 1986,"In recent years scanning electron microscopy has been used in gastric biopsy studies, contributing to better recognition of intestinal metaplasia and carcinoma, as a complement to light and transmission electron microscopy. During the second half of 1983, 53 cases of gastric carcinoma were diagnosed at the Department of Pathology of Hospital Mexico, of which six were studied ultrastructurally. A pattern similar to that of intestinal epithelium was found in cases of intestinal metaplasia. Well differentiated adenocarcinomas showed marked tumor cell proliferation with irregular ""projections"". In poorly differentiated carcinomas, changes were limited to areas where tumor cells invaded the epithelial surface. In summary, scanning electron microscopy is of great help in research and diagnosis of pathologic changes occurring in mucosal surfaces.",0,3423334,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0022804888,SCOPUS_ID:0022804888,2-s2.0-0022804888,Inflammatory infiltrate in skeletal muscle injected with Bothrops asper venom.,Gutiérrez J.,Revista de biología tropical,00347744,34,2,209-214,1986-01-01,Nov 1986,"The time-course and composition of inflammatory infiltrate in mouse gastrocnemius injected with Bothrops asper venom was studied. The venom induced myonecrosis, and a prominent decrease in muscle levels of creatine kinase (CK) as early as 3 hr after envenomation. Inflammatory infiltrate was scarce by 6 hr. but increased markedly at 24, 48 and 72 hr. Samples of infiltrate obtained at 6 and 24 hr contained polymorphonuclear leucocytes as the predominant cell type, whereas at 48 hr and 72 hr the relative number of macrophages increased. Inflammatory cells were located within necrotic muscle cells, as well as in the interstitial space, but there were some necrotic areas devoid of inflammatory cells even one week after envenomation. When correlating the presence of inflammatory cells with degradation of myofibrillar proteins, it was observed that at 6 hr there was little muscle protein degradation. By 48 hr a decrease in ""non collagen"" proteins was observed, together with a reduction in some myofibrillar components, as judged by electrophoresis. Proteolytic enzymes of inflammatory cells may play an important role in myofibrillar protein degradation after myonecrosis induced by B. asper venom.",50,3423335,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/0022804539,SCOPUS_ID:0022804539,2-s2.0-0022804539,Coronary vascularization of the marine turtle Chelonia mydas,Quesada R.,Revista de biología tropical,00347744,34,2,253-258,1986-01-01,Nov 1986,The irrigation of the heart of the green turtle (Chelonia mydas) was studied through the clearing and disection techniques. Five coronary new irrigation patterns were found. The presence of anastomoses is discussed along with the number and position of the colateral vessels.,1,3423337,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0022803527,SCOPUS_ID:0022803527,2-s2.0-0022803527,Morphology of hair of two- and three- toed sloths (Edentata: Bradypodidae).,Wujek D.,Revista de biología tropical,00347744,34,2,243-246,1986-01-01,Nov 1986,Micromorphological differences between hairs of the two-toed sloth (Choloepus hoffmanni) and of the three-toed sloth (Bradypus variegatus) were observed by means of scanning electron microscopy. Hairs of the two-toed had longitudinal grooves which exposed a uniform cortex when viewed in cross section. Hairs of the three-toed sloth have irregular transverse fissures and a cortex that contains scattered fusi. These morphological differences support the placement of the two sloth genera into separate families. Hairs of four other xenarthran species are also illustrated.,4,3423336,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0022724607,SCOPUS_ID:0022724607,2-s2.0-0022724607,Morphological changes induced by ampicillin in Campylobacter,Hernández F.,Revista de biología tropical,00347744,34,1,99-104,1986-01-01,Jun 1986,"Morphologic changes in Campylobacter fetus ssp. jejuni were evaluated as cultivated on thioglycollute broth, containing minimum of 0.1, 1.3 and 10 Ampicillin minimal inhibitory concentration (MIC). During the first four hours of incubation, no changes occurred in the presence of 0.1 MIC; but with the rest of the ampicillin doses, even at the first hour, a proportion larger than 5% of filament-policurved forms was found, and it increased with the incubation time. The greatest number of altered bacteria was found with the use of 10 MIC. No other morphologic changes were observed.",1,3671809,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0022724606,SCOPUS_ID:0022724606,2-s2.0-0022724606,Ultrastructure of the Ranvier's nodes in myelinated nerve fibers of the shrimp Penaeus,Günther Nonell J.,Revista de biología tropical,00347744,34,1,115-121,1986-01-01,Jun 1986,From a comparative point of view the axonal cytology and the ultrastructure of Ranvier nodes in non-giant myelinated fibers of the shrimp Penaeus are described.,1,3671806,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0022724520,SCOPUS_ID:0022724520,2-s2.0-0022724520,Ultrastructure of rotavirus,Hernández F.,Revista de biología tropical,00347744,34,1,89-97,1986-01-01,Jun 1986,"The human rotavirus is an icosadeltahedral structure, with a characteristic pattern of a triangulation number (T) of 13 with a skew symmetry. The inner layer of the rotavirus has 132 morphological units, with 260 structural units of trimetric structure. It is possible that the outer layer is a smooth geodesic shell.",3,2823323,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/0022724519,SCOPUS_ID:0022724519,2-s2.0-0022724519,Effect of Eimeria falciformis infection on the development of toxoplasmosis in mice,Misael Chinchilla C.,Revista de biología tropical,00347744,34,1,1-6,1986-01-01,Jun 1986,"White mice previously infected with 10(2), 10(3) or 10(4) Eimeria falciformis oocysts on days 0, 5, 10 or 30 were inoculated per os with 10(1), 10(2), 10(3) or 10(4) Toxoplasma oocysts. While the results obtained for mice with higher Toxoplasma inocula were consistent, animals with 10(1) and 10(2) oocysts previous inoculation with Eimeria showed important differences related with those infected only with Toxoplasma. For example, survival time was higher in animals infected with both parasites, especially if inoculated with Eimeria 30 days before Toxoplasma infection. Furthermore the number of T. gondii cysts found in the animals previously infected with Eimeria was lower compared with mice inoculated with Toxoplasma only. Body weight of mice infected with Toxoplasma previous infection with Eimeria was almost normal in relation to those infected only with Toxoplasma, indicating a probable pathological effect due to the parasite, more evident in ""non immunized"" mice.",2,3671805,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0022724467,SCOPUS_ID:0022724467,2-s2.0-0022724467,Rat macrophage activity against Toxoplasma gondii studied by electron microscopy.,Chinchilla M.,Revista de biología tropical,00347744,34,1,83-88,1986-01-01,Jun 1986,"An electron microscope model was used to study the effect of rat peritoneal macrophages on Toxoplasma gondii. 10(7) tachyzoites were injected i.p. in 30 days-old rats. After 1, 2, 4, 8 and 24 h peritoneal exudate was withdrawn and infected phagocytic cells were prepared for electronic microscope studies. Toxoplasma organisms inside of rat macrophages showed remarkable lesions such as vacuolization and organisms were totally lysed inside of macrophages of more than 8 h infection rats. The results confirm at molecular level, the importance of rat macrophages in the natural adaptation of this rodent to T. gondii.",4,3671808,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,10
