@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/18544397131,SCOPUS_ID:18544397131,2-s2.0-18544397131,A new conductivity staining method for tissue analysis under scanning electron microscope.,Manzo L.,Revista de biología tropical,00347744,42 Suppl 2,183-186,1994-01-01,Aug 1994,"A conductivity staining method for tissue samples were developed using a solution of 10 ml of 5% carbolic acid solution, 2 g of tannic acid, and 10 ml of saturated aluminium sulfate 12-hydrated after fixation with osmium. Specimens of kidney (mouse) with the above treatment can be analyzed under a scanning electron microscopy without the charging phenomenon.",2,7535470,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/17044461266,SCOPUS_ID:17044461266,2-s2.0-17044461266,Ultrastructure of the bacteria Campylobacter and Helicobacter: implications for the phylogeny of mammal gastric bacteria.,Hernández F.,Revista de biología tropical,00347744,42 Suppl 2,85-92,1994-01-01,Aug 1994,"Negative staining, thin sections, and surface replica methods were used to produce ultrastructural descriptions of curved-shaped, flagelated bacteria Campylobacter jejuni, Helicobacter pylori, and H. muridarum, the last one from the ileon of mice. The former has nude monotrichous flagella, the others have the sheated lobotrichous type. H. muridarum presents 10-12 periplasmic fibers. A cladogram of some gastric bacteria, based on the evolutionary history of the mammal hosts, hypothesizes that (1) the genus Helicobacter evolved about 65 million years ago and that (2) primate parasites such as H. pylori and H. nemestrinae are close relatives, as are parasites of carnivores which include H. mustelae, H. felis and H. acynonyx.",3,7701086,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,2,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028680189,SCOPUS_ID:0028680189,2-s2.0-0028680189,Food habits of the rainbow trout Oncorhynchus mykiss (Salmoniformes: Salmonidae) in an Andean creek of Venezuela,Bastardo H.,Revista de biología tropical,00347744,42,685-693,1994-01-01,Dec 1994,"Monthly stomach context samples of rainbow trout from Mucunután stream (Mérida, Venezuela), were collected from, March 1987 to February 1988 (n = 306). The major dietary components were Ephemeroptera, Trichoptera and Diptera. Baetodes sp. was the most important food item based on numerical composition (43%) and frequency of occurrence (88%). When the gravimetric method was used Leptonema sp. was the major dietary component. The diet was not a function of sex. The consumed fauna was more similar to the drift invertebrate fauna than to that of benthos (p < 0.01). The fluctuations on the stomach content paralleled changes of food availability in the environment.",3,7501873,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,3,3
true,https://api.elsevier.com/content/abstract/scopus_id/0028680167,SCOPUS_ID:0028680167,2-s2.0-0028680167,Occurrence of the bacteria Listeria spp. in raw milk in Costa Rica.,Arias M.,Revista de biología tropical,00347744,42,711-713,1994-01-01,Dec 1994,NA,3,7501874,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,4,3
true,https://api.elsevier.com/content/abstract/scopus_id/0028680028,SCOPUS_ID:0028680028,2-s2.0-0028680028,Extinction of Vibrio cholerae in acidic substrata: contaminated cabbage and lettuce treated with lime juice.,Mata L.,Revista de biología tropical,00347744,42,487-492,1994-01-01,Dec 1994,"Lime juice killed millions of Vibrio cholerae O1, El Tor, Inaba, present on cabbage and lettuce contaminated in the laboratory. The lethal effect was evident within 5 min of exposure to lime juice. No vibrios could be recovered at dilution 1:10 using alkaline peptone water (APW) and thiosulfate-citrate-bile salts-saccharose agar (TCBS). More than 99.9% of the initial inoculum was effectively destroyed. The number of vibrios killed by lime juice was 2 to 6 logarithms greater than the maximum infecting dose, and 4 to 8 logs greater than the minimum infecting dose for cholera El Tor. The time interval needed for killing was smaller than the usual waiting time for serving food in homes and restaurants. The addition of lime juice to non-acidic foods, beverages and water, is strongly recommended to prevent infection with cholera vibrios and other acid-sensitive microorganisms. This measure is particularly important for rural and slum populations in the tropics and subtropics.",9,7501870,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,5,3
true,https://api.elsevier.com/content/abstract/scopus_id/0028679874,SCOPUS_ID:0028679874,2-s2.0-0028679874,Seasonal incidence and hemoparasite infection rates of Ixodid ticks (Acari: Ixodidae) detached from cattle in Costa Rica.,Hermans P.,Revista de biología tropical,00347744,42,623-632,1994-01-01,Dec 1994,"To determine the tick species hindering the cattle industry in Costa Rica and to assess infection rates of ticks with three important hemoparasite species, cattle were monitored during a period of six months (October 1992-March 1993). Four farms were located in the dry pacific region of the canton of Tilarán and a fifth farm on the slopes of the Poás volcano in a cool tropical cloud-forest ecosystem. On each farm 3 to 5 animals of 6 to 24 months of age were selected at random. All ticks were removed on a monthly basis from the right half side of each animal, while the site of attachment was recorded. Ticks were counted and differentiated according to species, developmental stage and sex. Moreover, engorged female ticks were assayed for the presence of Babesia bigemina, Babesia bovis and Anaplasma marginale using the polymerase chain reaction (PCR) multiplex system. Two species of ticks, Amblyomma cajennense and Boophilus microplus, were encountered on the cattle in the Tilarán region and one species, B. microplus, was detected in the Poás region. Two to ten times as many ticks were encountered in the Tilarán region than in the Poás region, which is in accordance with a stable enzootic protozoan disease situation in the former region and an unstable epizootic situation in the latter region. Nymphal and adult stages of both tick species were present in largest numbers on the ventral parts of the animals. PCR analysis of entire ticks indicated very high infection rates with hemoparasites of veterinary importance. This was in accordance with high seroprevalence rates in the hosts.",22,7501871,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,6,3
true,https://api.elsevier.com/content/abstract/scopus_id/0028679860,SCOPUS_ID:0028679860,2-s2.0-0028679860,Extinction of Vibrio cholerae in acidic substrata: contaminated fish marinated with lime juice (ceviche).,Mata L.,Revista de biología tropical,00347744,42,479-485,1994-01-01,Dec 1994,"Millions of Vibrio cholerae O1 El Tor were rapidly eliminated when added to commercial ceviche prepared by marination of mahi-mahi fish in lime juice. Likewise, large masses of viable vibrios present in laboratory contaminated fish, were readily eliminated after immersion in lime juice, during the preparation of ceviche. The killing effect was evident within 5 min of exposure of vibrios to lime juice, with reductions of more than 99.9% of the initial bacterial mass. After 2 h of marination of fish with lime juice (the minimum recommended), no vibrios were detected in the lowest working dilutions (1:10, 1:100). The Vibrio mass eliminated by lime juice was 2 to 6 logarithms greater than the maximum infectious dose, and 4 to 8 logs greater than the minimum infectious dose to induce cholera El Tor. Also, the killing time was shorter than the elapsing time between preparing and serving food in homes or restaurants. The traditional marination of fish with lime juice or its addition to seafood and meals immediately before consumption, should be protected and promoted to prevent infection with cholera vibrios. In the face of an epidemic of cholera, consumption of ceviche prepared with lime juice would be one of the safest ways to avoid infection with V. cholerae.",12,7501869,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,7,3
true,https://api.elsevier.com/content/abstract/scopus_id/0028679829,SCOPUS_ID:0028679829,2-s2.0-0028679829,Phylogeny of lice (Insecta: Anoplura) of the Old World Monkey (Catarrhina),Retana Salazar A.,Revista de biología tropical,00347744,42,633-638,1994-01-01,Dec 1994,"The genera Pediculus and Pthirus were studied cladistically, although the genus Pedicinus was also taken into account. Morphological characters from the literature, and some established through direct study were analyzed. Using five methods of cladistic analysis, one most parsimonious tree with a c.i. = 0.84 and a length of 38 was obtained ((Pedicinus)+(Paenipediculus+(Parapediculus+(Pedicu lus humanus capitis+Pediculus humanus humanus). A novelty of this study is the inclusion of the subgenus.",4,7501872,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,8,3
true,https://api.elsevier.com/content/abstract/scopus_id/0028492840,SCOPUS_ID:0028492840,2-s2.0-0028492840,"Identification of the corn mosaic virus, a rhabdovirus, in Costa Rica",Rivera C.,Revista de biología tropical,00347744,42 Suppl 2,105-109,1994-01-01,Aug 1994,"Maize mosaic virus (MMV), a rhabdovirus, was identified associated to maize field plants, showing stunting and continuous chlorotic stripes uniformly distributed over the leaf blade. The virus was detected in field samples by agar-gel immunodifussion. Enveloped, bacilliform virus particles were observed by electron microscopy in thin sections of naturally infected leaf tissue.",1,7701083,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,9,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028491677,SCOPUS_ID:0028491677,2-s2.0-0028491677,Electron microscopy analysis of the nasal mucosa in ex-cocaine addict patients,Moreira Carmona L.,Revista de biología tropical,00347744,42 Suppl 2,151-158,1994-01-01,Aug 1994,"Normal and pathological human nasal mucous biopsies were used and obtained surgically. Pathological one were taken from cocaine addicted patients who had been using this drug during many years mainly by snorting via. From the clinical point of view all patients presented similar symptoms among which the most common were acute and chronic rhinitis, sneeze and bleeding. All cases include showed evident tissue disorganization that ultrastructurally present partial or total lost of cillia as well as disruption between epithelia and basal lamina. Although, normal tissue was substituted by abundant fibrous tissue explaining why this tissue lost its normal function. All described alterations were analyzed by transmission electron microscope and scanning electron microscope.",1,7701084,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,10,NA
