@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id,prism:eIssn
true,https://api.elsevier.com/content/abstract/scopus_id/7044242875,SCOPUS_ID:7044242875,2-s2.0-7044242875,Patron reproductivo en Dendrobates pumilio (Anura: Dendrobatidae),Pröhl H.,Revista de Biologia Tropical,00347744,45,4,1669-1674,1997-12-01,December 1997,"The reproductive activity of the diurnal poison frog Dendrobates pumilio was studied from July to December 1993 in a tropical lowland rainforest of Costa Rica: Hitoy Cerere. The author visited the study area for 143 days. The study area of 748 m2 was divided into squares of 4 m2 in order to report the spacial distribution of the frogs. All adult frogs were toeclipped for identification. Each hour of observation all males were located and activity (calling and mating) was recorded. Temperature was controlled every hour of observation and precipitation was measured daily. Furthermore, during 4 days the author followed one male and recorded the temporal distribution of its behaviors: 1. calling, 2. displacement (movement), 3. feeding, 4. mating, 5. parental care. A total of 20 males and 29 females was found, of which 14 males defended a territory for more than 10 days. Calling activity (calling territorial males in proportion to all territorial males) was highest in the morning with a peak activity between 8.00 and 10.00 hours and mating activity was highest between 9.00 and 10.00 hours. At 7.00 and 8.00 hours the calling activity showed a slight correlation with the temperature. Optimal temperature for calling was between 23.5°C and 25.0°C. Precipitation had a positive influence on calling and mating activity. Dendrobates pumilio showed continous reproduction during the investigation period, however, mating activity was highest in September and October, with a daily average of 0.58 and 0.56 matings. Activity declined considerably towards the end of the year. The observations of one males' behaviour matched the general activity patterns. Feeding took place during and after calling and territory control, but was not consistent with mating. Displacement was related to calling, mating and feeding activity. As in some other dendrobatids, D. pumilio's reproductive activity is uncyclical and dependent on rainfall. Mating activity reached its peak before months of highest precipitation (November, December), which could be an adaptation to provide water containing plant axils for tadpole development. Physiological constraints should prevent activity during hot and dry periods in most frogs. Apparently, the optimal temperature range for reproductive activity in D. pumilio is around 24°C and narrow. Consequently, if global climatic changes cause increasing temperatures and alter precipitations, shifts in activity patterns and geografical distribution could be expected.",16,Journal,ar,Article,100,1,1,Climatic factors | Costa Rica | Dendrobates pumilio | Hitoy Cerere | Poison frogs | Reproduction activity | Vocalization,13567,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4243909021,SCOPUS_ID:4243909021,2-s2.0-4243909021,"Redescription of Tityus blaseri (Scorpiones: Buthidae) from Goiás, Brazil",Lourenço W.,Revista de Biologia Tropical,00347744,45,4,1579-1582,1997-12-01,December 1997,"The scorpion Tityus blaseri Mello-Leitão, 1931, is redescribed from new adult specimens, confirming the validity of this enigmatic species. The new material is from caves in the area of Niquelândia, Goïás, Brazil. Moreover, Tityus blaseri does not belong to the «Tityus clathratus group» of species, but is more closely related to Tityus fasciolatus Pessôa and Tityus charreyroni Vellard, which belong to the «Tityus bahiensis group» of species.",3,Journal,ar,Article,100,3,3,Geographic distribution | Redescription | Scorpion | Taxonomy,13567,undefined,0,FALSE,2,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4243627235,SCOPUS_ID:4243627235,2-s2.0-4243627235,"Copépodos (Crustacea) de aguas superficiales del Mar Caribe Mexicano (mayo, 1991)",Suárez-Morales E.,Revista de Biologia Tropical,00347744,45,4,1523-1529,1997-12-01,December 1997,"Zooplankton samples (May, 1991) from neritic and oceanic waters off the eastern coast of the Yucatan Peninsula, produced 70 species of pelagic copepods, Undinula vulgaris, Farranula gracilis, Calanus minor and Temora turbinata were dominant (more than 60% of individuals). Mean diversity was moderate (2.48 bits/ind.). Clustering with the Bray Curtis Index suggests absence of a definite gradient in the local copepod community; coastal species were recorded well inside the oceanic zone and vice versa. This may result from mixing of coastal and shelf water with oceanic water because of (1) the narrowness of the platform and (2) the effect of the local mesoscale circulation patterns.",10,Journal,ar,Article,100,2,2,Caribbean Sea | Checklist | Copepoda | Diversity | Mexico | Plankton,13567,undefined,0,FALSE,3,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4243515173,SCOPUS_ID:4243515173,2-s2.0-4243515173,Eunícidos (Polychaeta) del Caribe mexicano con claves para las especies del Gran Caribe: Eunice,Carrera-Parra L.,Revista de Biologia Tropical,00347744,45,4,1499-1521,1997-12-01,December 1997,"Twenty eunicid species from the Mexican Caribbean coasts are characterized. The species included are Eunice antennata (Lamarck, 1818), E. antillensis Ehlers, 1887, E. bucciensis (Treadwell, 1921), E. cariboea Grube, 1856, E. denticulata Webster, 1884, E. donathi Carrera-Parra & Salazar-Vallejo, 1998, E. edwinlinkae Carrera-Parra & Salazar-Vallejo, 1998, E. filamentosa Grube, 1856, E. floridana (Pourtalès, 1867), E. fucata Ehlers, 1887, E. guildingi Baird, 1869, E. hartmanae Carrera-Parra & Salazar-Vallejo, 1998, E. hernandezi Carrera-Parra & Salazar-Vallejo, 1998, E. ibarzabalae Carrera-Parra & Salazar-Vallejo, 1998, E. lanai Carrera-Parra & Salazar-Vallejo, 1998, E. mikeli Carrera-Parra & Salazar-Vallejo, 1998, E. miurai Carrera-Parra & Salazar-Vallejo, 1998, E. nonatoi Carrera-Parra & Salazar-Vallejo, 1998, E. Sebastiani Nonato, 1965, E. unifrons (Verrill, 1900); E. aphroditois (Pallas, 1788) from the Campeche Bank is also included and E. riojai de Léon-González, 1988 is regarded as a junior synonym of E. sebastiani Nonato, 1965. A key for the identification of Eunice in the Grand Caribbean region is also included.",11,Journal,ar,Article,100,2,2,Caribbean Sea | Eunicids | Keys | Polychaetes | Taxonomy,13567,undefined,0,FALSE,4,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4243513509,SCOPUS_ID:4243513509,2-s2.0-4243513509,"Clave para las Pogonomyrmex (Hymenoptera: Formicidae) del Norte de Suramérica, con la descripción de una nueva especie",Fernando Fernández C.,Revista de Biologia Tropical,00347744,45,4,1649-1661,1997-12-01,December 1997,"A new ant Pogonomyrmex striatinodus Fernández & Palacio from the Andean humid forest of southwestern Colombia is described. This ant exhibits a character mosaic between Pogonomyrmex Mayr and Ephebomyrmex Wheeler that reinforces the recent synonimization of this last one under Pogonomyrmex Mayr proposed by Lattke in 1990. The new species is easily separated from all others in the genus by the abscence of psamophore, the size of the inferior propodeal teeth and the sculpture and length of the petiolar node. The systematic position of this new species in the group of Northern South American species is discussed, with a key for these species. Pogonomyrmex is mainly a xerophitic genus, with some mesic species postulated as primitive. Two explanations about the history of this genus has been proposed. For Wheeler and Creighton the genus originated in North America, with subsequent migration to South America. But Kusnezov suggested an South American origin for Pogonomyrmex, with successive migration to the north. Geologic and paleoclimatic evidences suggest that faunal migrations were more probable in the south-north direction than the opposite. The recent discovery of P. sylvestris and striatinodus, endemic to northern South America, and with mesic habits, tend to support the South American origin hypothesis.",7,Journal,ar,Article,100,2,2,Andean forest | Ant taxonomy | Northern South America | Pogonomyrmex,13567,undefined,0,FALSE,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/4243501003,SCOPUS_ID:4243501003,2-s2.0-4243501003,Variación diurna de la materia orgánica particulada en una laguna costera del Golfo de California,Martínez López A.,Revista de Biologia Tropical,00347744,45,4,1421-1428,1997-12-01,December 1997,"Three diel cycles of sampling were carried out in February, May, and October 1991 at the mouth of Bahía Concepción. This was done to describe the diurnal variability of size-fractionated phytoplankton abundance, species composition, pigments, and particulate organic matter (POM) in two depths. These variables show a very marked monthly variation, with February being the richest period in organic particles. Comparing the results obtained in the three cycles, we can observe that no significant differences (p=0.05%) exist for both sampling levels during February and May. However, temperature, abundance, and species composition show significant differences (p=0.05%) between sampling levels during October. On the other hand, our results show a correlation between the import and export of organic matter particles during the tide phases. The analysis of variance shows significant differences (95% confidence) in the POM concentrations in the February and October months. In February, the highest concentrations were recorded during the high tide. In October, an inverse condition was observed. The results of these cycles display the influence of the Gulf of California waters flowing into Bahía Concepción in February bringing in particulate organic matter. During October, an outflow of particles from the bay to the ocean was observed. In May an intermedian condition was observed.",6,Journal,ar,Article,100,2,2,Concepcion Bay | Diel variation | Gulf of California | Particulate organic matter | Phytoplankton,13567,undefined,0,FALSE,6,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23744488972,SCOPUS_ID:23744488972,2-s2.0-23744488972,Costa Rican gut fungi (Trichomycetes) infecting lotie insect larvae,Lichtwardt R.W.,Revista de Biologia Tropical,00347744,45,4,1349-1383,1997-12-01,December 1997,"Trichomycetes infecting freshwater Ephemeroptera and Diptera (Simuliidae, Chironomidae) in various life zones of Costa Rica were studied. Insect populations in 36 streams were sampled, a few repeatedly, at four different periods of time over seven years. Eleven new species of Harpellales are reported, plus six species known to occur also in nontropical parts of the world. Included are new species of Harpella and Pennella, a new monotypic genus (Graminelloides), and four new species of the previously monotypic genera Spartiella and Genistellospora. Seven new Smittium species, including three that are not named at this time, were cultured axenically. A new Amoebidium (Amoebidiales) was found in a stream polluted with organic matter. In the same polluted stream more species of dipteran larvae and a greater number of gut fungi were present than in stretches of unpolluted water upstream. The overall diversity of Harpellales and their aquatic insect hosts in most Costa Rican streams appeared to be lower than what the author has found in many lotic habitats in more northern and southern regions of the world, and thus this order of fungi may be an exception to the 'latitudinal species diversity gradient' concept as it applies to many other tropical organisms. A key to all 23 Trichomycetes now known to be present in Costa Rica is provided.",38,Journal,ar,Article,100,1,1,Aquatic insects | Diptera | Ephemeroptera | Symbiosis | Trichomycetes | Tropics,13567,undefined,0,FALSE,7,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23744484017,SCOPUS_ID:23744484017,2-s2.0-23744484017,"Basic limnology of Lago Bonilla, a tropical lowland lake",Villalobos G.,Revista de Biologia Tropical,00347744,45,4,1429-1437,1997-12-01,December 1997,"Lago Bonilla, located 370 m above sea level on the Eastern slopes of Volcan Turrialba, Costa Rica, was visited four times during 1990-1991. Basic limonological data were recorded in each visit. It is oligomictic, mixing during the coldest and windiest months sometime between Nov. and Feb. and eutrophic, with low Secchi transparencies, Cyanobacteria dominance and almost permanent anoxic conditions in the deepest portion. A shift in N to P ratio was observed, indicating a variation in the limiting factor during the year; N becomes limiting during the driest months probably as a result of a lower input from the catchment due to lower runoff, coupled with a higher P input from the sediments during deep mixing periods. However, limitation by P was probably stronger than N when it occurred, according to the N/P ratios. Phytoplankton in epilimnetic waters comprised 58 algal species, and was dominated by Cyanobacteria and Chlorophyta. Only a few species dominated the community, mainly Cylindrospermum minimum. and Tetraedron minimum, rendering low diversity values. Zooplankton was also poor: only seven species were found. There were some indications of vertical migrations of some zooplankters.",2,Journal,ar,Article,100,1,1,Costa Rica | Lakes | Limnology | Plankton | Tropics,13567,undefined,0,FALSE,8,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23744465609,SCOPUS_ID:23744465609,2-s2.0-23744465609,Método sencillo para determinar la presencia de Toxoplasma gondii (Eucoccidia: Sarcocystidae) en carne,Chinchilla M.,Revista de Biologia Tropical,00347744,45,4,1559-1561,1997-12-01,December 1997,"Presence of T. gondii in meat from several sources was determined by traditional methods and by a new simplified method in which animals are fed meat directly without any previous treatment with artificial gastric fluid. Tissues are ground and the animals ingest them naturally. Determination of Toxoplasma in lungs or brain (as well as by specific antibody test), showed no statistically significant differences between both methods.",1,Journal,ar,Article,100,4,4,Diagnosis | Epidemiology | Meat | New method | Toxoplasma | Transmission,13567,undefined,0,FALSE,9,9698944,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23744459671,SCOPUS_ID:23744459671,2-s2.0-23744459671,"Efecto de varios agentes, a diferentes niveles de pH, sobre la tasa de filtración de la piangua, Anadara tuberculosa (Mollusca: Arcidae)",Wong E.,Revista de Biologia Tropical,00347744,45,4,1453-1457,1997-12-01,December 1997,"The effect of lemon juice, lactic acid, acetic acid and a citric seed extract, at different pH levels, on the filtration rate of the ""piangua"" (Anadara tuberculosa) was studied. The study is particularly important because it can be helpful to establish the conditions to be used for depuration systems based on the use of acid compounds. Specimens with diameters ranging fron 4.0 to 4.5 cm, were collected fron a harvester at the estuary of Puntarenas, Gulf of Nicoya. Bottles containing 1 1 of saline solution (25g/l) were prepared in triplicates, adjusting the pH to 4.5, 5.0, 5.5, or 6.0 with each one of the following acids: lemon juice(Citrus aurantifolia), acetic acid (4% V/V), lactic acid (85%V/V) and CITREX (a commercial extract of citric seeds). Each bottle was oxigenated to saturation and held at room temeperature. Also in triplicates, control essays were performed at pH 7.0. One animal was added to each bottle, and the filtration rate was determined every 8 hr for 48 hr. Citrex caused the death after 10 minutes of exposure. A neutralization of the initial pH levels was found for the different treatments, slowest for acetic acid, followed by lactic acid and lemon juice. No significant difference was found between filtration rates in presence of the acid compounds and the filtration rate of the control assay. The tendency found for the filtration rate was a cyclic, non decreasing, normal one, showing that the acid compounds, in the range of the observed pH values, caused no affection on the animals' metabolism.",3,Journal,ar,Article,100,4,4,Acetic acid | Anadara | CITREX | Filtration rate | Lactic acid | Lemon juice,13567,undefined,0,FALSE,10,NA,NA
