@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id
true,https://api.elsevier.com/content/abstract/scopus_id/22644447239,SCOPUS_ID:22644447239,2-s2.0-22644447239,Crecimiento de Mytella guyanensis (Bivalvia: Mytilidae) en balsas flotantes,Mora D.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,21-26,1998-12-01,December 1998,"Growth of the mytilid species Mytella guyanensis was studied on a floating raft in Chira Island, inner Gulf of Nicoya, Costa Rica. Natural seed collection was done with 1.5 m long spat collectors suspended from a wooden raft. The collectors produced a total of 3 kg of seed each (2025 seeds per collector) after three months, reaching a mean size of 19.4 mm and 0.79 g per seed. Seed mussels were retubed and resuspended for nine more months and reached a marketable size of 44.4 mm (S.D. 3.43) and 8.5 g (S.D. 1.98). Mean growth rates were 5.7 mm and 0.57 g per month, with a meat yield of 32.7% for the fifth month. As in other mollusks, growth rate was higher during the first six culture months.",2,Journal,ar,Article,100,2,2,Culture | Growth | Mussels | Mytella | Raft system,13567,undefined,0,FALSE,1,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22644445576,SCOPUS_ID:22644445576,2-s2.0-22644445576,"Urotrygon cimar, a new eastern Pacific stingray (Pisces: Urolophidae)",López S M.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,271-277,1998-12-01,December 1998,A new species of Urotrygon is described from the Pacific coast of Costa Rica and Nicaragua. Urotrygon cimar is a large species reaching at least 382 mm total length and is recognized by its dense dorsal covering of pungent denticles and dark spotted coloration. It is found in tide pools and to a depth of 85 m and is usually collected in waters shallower than 10 m.,11,Journal,ar,Article,100,2,2,Eastern Pacific | New species | Pisces | Sting ray | Urolophidae,13567,undefined,0,FALSE,2,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22644441591,SCOPUS_ID:22644441591,2-s2.0-22644441591,"Passive margin sedimentation on Costa Rica's North Caribbean coastal plain, Río Colorado",Parkinson R.W.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,221-236,1998-12-01,December 1998,"Geomorphic, sedimentologic, and stratigraphic data obtained from the north Caribbean region of Costa Rica suggests Rio Colorado is a wave-dominated delta which has formed along a passive continental margin. This coastal setting is significantly different from the south Caribbean and Pacific coastlines, which display geomorphic and lithologic features indicative of seismically active continental margins. The distinct aseismic history and passive margin geomorphology of the north Caribbean coastal plain appears to be controlled by the presence of tectonic features (i.e., East Nicoya Fracture Zone) which decouple the region from adjacent, tectonically active areas. Although the data collected during this pilot study, including two radiocarbon dates from the base of surficial wet forest and palm swamp sediment, were not sufficient to document relative sea-level change, they do confirm the region's aseismic setting. A more complete examination of late Quaternary continental margin stratigraphy will help resolve neotectonic and associated rheological problems, which have remained enigmatic in the absence of a stable datum.",2,Journal,ar,Article,100,3,3,Geology | Sedimentation | Strata | Tectonics,13567,undefined,0,FALSE,3,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22644434888,SCOPUS_ID:22644434888,2-s2.0-22644434888,Crecimiento y reproduction de Strombus galeatus (Gastropoda: Strombidae) en el Pacífico de Costa Rica,Mora D.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,27-36,1998-12-01,December 1998,"Strombus galeatus is a gastropod distributed from the Gulf of California in Mexico to the Galapagos Islands in Ecuador, and as other strombid species, in the costarican coast is a resource of high overfishing with no governmental control or regulations and scarce biological information about the species. Biological studies on this conch natural populations from managed and unmanaged areas were conducted during a four year period (November 1993 to December 1997). Results showed that this conch is found in sandy-gravel bottoms and most of them found in less than 15 meter deep areas. Shell growth is first done in length and Hp formation and afterwards on lip thickness; shell morphology was found different in juvenile and adult stages. The shell represented 80% of total fresh weight, and presented an external brownish and white colors with some spots inside it. This dioecious species, performed a special reproductive behavior: the female genital groove appeared thickned, males seek for females, and conchs used to form groups of more than two individuals (from which one used to be a female); mating is presumed and the female lays an egg mass from which the veliger larvae appears after 3 to 5 days. It is believed that their most important diet is macroalgae. No predation was observed upon the conchs during surveys; no shell damage was observed in adults and little in juveniles; few adult conchs were observed with scars in their foot and other structures. This species seems to have a high regeneration potential in juvenile and adult stages. A parasitic isopod was found attached to the upper right side of the foot in 10 of the 627 conchs observed.",5,Journal,ar,Article,100,1,1,Ethology | Morphology | Reproduction | Strombus galeatus,13567,undefined,0,FALSE,4,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22644434129,SCOPUS_ID:22644434129,2-s2.0-22644434129,"Benthic macroalgae of an unpolluted tropical river (Río Śavegre, Costa Rica)",Silva-Benavides A.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,177-183,1998-12-01,December 1998,"A survey of the benthic macroalgae and physical data was monthly performed in Río Savegre from its headwaters to its lowplain course. The macroalgae were observed with a viewing box at 20 cm intervals following a fixed rope across the stream and microscopical observations were made at laboratory. The species composition of benthic macroalgae found in Río Savegre is characteristic for unpolluted, clear, carbonate poor streams. From the source to the mouth a change from species adapted to cold, fast flowing streams to species adjusted to higher temperatures, lower current velocity and periodic desiccation was observed. There was a replacement of the multilayered, well structured macroalgal community in the upper part of the river by surface films formed by microalgae in the lower part. In addition a high-light community consisting of Spirogyra sp., Nostoc verrucosum and Tetraspora sp. could be distinguished from the dim-light species Prasiola mexicana and Hildenbrandia sp.",0,Journal,ar,Article,100,1,1,Benthic macroalgae composition | Phytobenthos | Río Savegre | Tropical river | Unpolluted,13567,undefined,0,FALSE,5,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22644433070,SCOPUS_ID:22644433070,2-s2.0-22644433070,"Range extension of Nephasoma pellucidum, and new records of Apionsoma (Edmonsius) pectinatum (Sipuncula) and Thalassema steinbecki (Echiura) from the Pacific of Costa Rica",Dean H.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,279-280,1998-12-01,December 1998,NA,4,Journal,ar,Article,100,2,2,Costa Rica | Echiura | Gulf of Nicoya | Sipuncula,13567,undefined,0,FALSE,6,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22644432117,SCOPUS_ID:22644432117,2-s2.0-22644432117,"Estructura de la población del cambute Strombus galeatus (Gastropoda: Strombidae) en Cabo Blanco, Costa Rica",Mora D.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,37-46,1998-12-01,December 1998,"The conch S. galeatus used to be a common gastropod in the Pacific coast of Costa Rica, but high exploitation levels have diminished natural stocks. A natural, unexploited, population was studied at San Miguel tidal pool at Cabo Blanco Absolute Reserve, from December 1993 through December 1997, using the mark-recapture method and biometrics. This population can inmigrate and emigrate from the mostly rocky-bottom pool by its western natural entrance. From a total of 627 marked conchs, 70.3 % were adults, 23.0 % subadults and only 6.7 % were juveniles, and this pattern was constant throughout the survey. Males represented 51.4 % of the population, females 43.7% and undetermined individuals 4.8 %. An average of 74 % of the conchs were recovered during surveys (with a mean recapture index of 14.7 %), and only 26 % of the conchs were observed. Average adult, subadult and juvenile lengths were, respectively 183.2 mm (S.D. 9.5), 162.8 mm (S.D. 5.7) and 132.1 mm (S.D. 15.0). Density was estimated as 500 conch/ha.",4,Journal,ar,Article,100,2,2,Population structure | Protected area | Strombus galeatus,13567,undefined,0,FALSE,7,NA
true,https://api.elsevier.com/content/abstract/scopus_id/22544448331,SCOPUS_ID:22544448331,2-s2.0-22544448331,Metales traza en el pepino de mar Holothuria (Halodeima) mexicana del Caribe de Costa Rica,Rojas M.,Revista de Biologia Tropical,00347744,46,SUPPL. 6,215-220,1998-12-01,December 1998,"The concentrations and in-tissue distributions of six metals, were determined in sea-cucumbers Holothuria (Halodeima) mexicana Ludwig 1875 from the Costa Rican Caribbean sea, by the atomic absorption technique. The samples were taken over a period of 16 months between October 1987 and December 1989, with sizes ranging between 17 and 25 cm long and weights from 280 to 600 g. The metal concentration ranges (mg kg-1, dry weight), were Cd 0.1-2.5; Pb 0.2-26; Mn 4.1-46; Cu 1.3-69; Zn 14-174; Fe 20-1044, and the respiratory tree was the structure that showed in general the higher levels of metals, except for Cu and Pb which were higher in the muscles and the body wall, respectively. This paper constitutes an important data base for future comparisons dealing with activities involving coastal impact, since there is no previous information about trace metal content in similar species from this region of the Caribbean.",8,Journal,ar,Article,100,3,3,Caribbean sea | Coral reefs | Costa Rica | Holothuroidea | Sea cucumber | Trace metals,13567,undefined,0,FALSE,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/19244367336,SCOPUS_ID:19244367336,2-s2.0-19244367336,Monitoreo serológico de anticuerpos (IgG e IgM) contra Babesia bigemina (Haemosporidia: Babesiidae) en becerros del trópico mexicano,Solís-Calderón J.,Revista de Biologia Tropical,00347744,46,4,1125-1130,1998-12-01,December 1998,"Antibody dynamics (IgG and IgM) against Babesia bigemina was studied on 41 under 15 days of age from three ranches (R1, R2 and R3) in Yucatan, Mexico. Blood samples were collected every 30 days, for eight months. Sera were tested by the indirect fluorescent antibody method to detect IgG and IgM. Overall IgM seroprevalence during the calves first eight months of life was 17.1% without relation to age. Overall IgG seroprevalence was 66.8%, increasing with age. Seroprevalence in R1, R2 and R3 were 87.5%, 77.1% and 31.8% respectively. Ranches 1 and 2 were in enzootic stability. In Yucatan, the modification of management factors in ranches with enzootic instability, could increase the risk of clinical babesiosis. Cattle mobilization from ranches with enzootic instability must be strictly controlled.",1,Journal,ar,Article,100,3,3,Babesia bigemina | Cattle | IgG | IgM | Tropics,13567,undefined,0,FALSE,9,10751937
true,https://api.elsevier.com/content/abstract/scopus_id/17144439129,SCOPUS_ID:17144439129,2-s2.0-17144439129,"Variaciones morfométricas de Pseudothelphusa belliana (Decapoda: Pseudothelphusidae) en Michoacán, México",García-Madrigal M.,Revista de Biologia Tropical,00347744,46,4,921-927,1998-12-01,December 1998,"A total of 37 specimens of the freshwater crab Pseudothetphusa belliana were collected from four new localities in the state of Michoacan. Morphometric variation, specially carapace width (x̄ = 48.7, S.D. x̄ = 3.3 for Chucutitán versus x̄ = 33.5, S.D. x̄ = 9.1 for the rest of specimens), shape of chela, coloration in vivo, and differences on gonopods of two geographically separate populations, suggest two subspecies or a cryptospecies complex. Diagnosis, habitat and distributional data are also included.",4,Journal,ar,Article,100,2,2,Cryptospecies complex | Michoacan | Morphometric variation | Pseudothelphusa belliana,13567,undefined,0,FALSE,10,NA
