@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/22944492159,SCOPUS_ID:22944492159,2-s2.0-22944492159,Algunas relaciones entre las zonas de surgencia del Pacífico Centroamericano y los Océanos Pacífico y Atlántico Tropical,Alfaro E.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,185-193,2001-12-01,December 2001,"In order to explore the influence of the surrounding tropical oceans on the Central American Pacific coast, a Transfer Function Model was fixed to Sea Surface Temperature Anomalies (SSTA) of the Gulf of Tehuantepec, Papagayo, Panama and Quepos time series. As independent variables the following were used: Niño 3.4, Tropical North and South Atlantic indices. These models show that Niño 3.4 has the most important influence over the region when compared with the influence of the other indices, having positive correlation with all the SSTA series. It shows an influence of this index on the relative termocline's depth in front of the Central American Pacific Coast.",15,15264533,Journal,ar,Article,100,2,2,Atlantic variability | ENSO | Transfer function models | Tropical North Eastern Pacific | Upwelling,13567,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/22944465147,SCOPUS_ID:22944465147,2-s2.0-22944465147,Caracterización de manglareş de Centroamérica con sensores remotos,Lizano O.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,331-340,2001-12-01,December 2001,"Satellite images were used to study the mangrove distribution patterns in two different climatic regions of Central America: Gulf of Fonseca in Honduras-El Salvador and Sierpe-Térraba in Costa Rica. The Gulf of Fonseca has higher temperature and solar radiation, and lower precipitation, which can explain the higher structural development and species mixing of the Sierpe-Térraba mangrove. In the latter the transition between species or between heights in the same species is clear. The automatic classification made by the Geographic Information System (IDRISI) fits well the field mangrove distribution, but it was necessary to regroup some subdivisions that represent the same land use as identified by transects and an aerial video. Mixed species and clouds produced less satisfactory results in Sierpe-Térraba indicating a need for better satellite image resolution.",8,15264547,Journal,ar,Article,100,3,3,Climate variability | Costa Rica | El Salvador | Golfo de Fonseca | Mangrove | Remote sensing | Sierpe-Térraba,13567,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/22944461805,SCOPUS_ID:22944461805,2-s2.0-22944461805,"Abundancia y morfometria de Anadara tuberculosa y A. similis (Mollusca: Bivalvia) en el Manglar de Purruja, Golfo Dulce, Costa Rica",Benavides A.M.S.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,315-320,2001-12-01,December 2001,"The density, population, length, yield and sex proportion of the mollusks Anadara tuberculosa and A. similis were studied in Bahia de Golfito, Golfo Dulce, Pacific coast of Costa Rica from February 1998 to February 1999. A. tuberculosa was more abundant (0.9 units m-2), than A. similis (0.2 units m-2); the highest abundance was found at the canal mouths. The average lengths were 43.3 mm for A. tuberculosa and 42.8 mm for A. similis (both under the Costa Rican legal minimal length for exploitation: 47 mm). Maximum lengths were measured in the middle and upstream Canal Mayor, respectively: 43.0 mm and 43.4 mm. The correlation between length and fresh weight was 0.81 (Pearson). The average total weights were 26.2 g for A. tuberculosa and 19.1 g for A. similis. The condition index (a meat yield measurement) was higher in A. similis (21.2%) than in A. tuberculosa (17.2%). The maximum yield for both species lies in the 31-35 mm range. The male ratio was 43.7%. A species recovery plan is urgent because these results suggest both a decrease in density and illegal exploitation.",20,15264545,Journal,ar,Article,100,2,2,Anadara similis | Anadara tuberculosa | Bivalvia | Morphometry | Purruja mangrove,13567,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/22944449760,SCOPUS_ID:22944449760,2-s2.0-22944449760,"Biodiversidad marina de Costa Rica, los microcrustáceos: Subclase Copepoda (Crustacea: Maxillopoda)",Morales-Ramírez A.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,115-133,2001-12-01,December 2001,"This report is part of a series that summarizes the species and localities of Costa Rican marine taxa. A review of the literature on copepods, both pelagic and benthic for the Pacific and Caribbean coast of Costa Rica, includes eigthy species. Sixty seven pelagic species have been found, distributed between sixteen calanoid, one cyclopoid, three harparticoid and four poecilostomatoid families. Moreover, thirteen benthonic species distributed into six families, all harparticoids, are reported. Among the pelagic families, Pontellidae has six species, while Paracalanidae and Eucalanidae had five each. Other families, like Calanidae, Pseudodiaptomidae and Acartiidae had four species and most families only one. Forty five species are reported only for the Pacific coast, thirteen for the Caribbean coast, only nine species occurred in both coasts; being a direct consequence of the more intensive research effort in the Pacific. Pelagic copepod biodiversity reflects different oceanographic conditions in both coasts. Typical estuarine species were found in the lower region of the Gulf of Nicoya, while a mixture of estuarine and oceanic species were found in Golfo Dulce. Diversity in the Caribbean, specially at the Cahuita coral reef is lower in comparison with the copepod diversity found in other regions in the Caribbean sea. This may be due to the high sediment resuspension rate characteristic of the Cahuita coral reef, which could affect the reproduction of many holozooplankters, specially copepods. Although sixty seven pelagic copepod species appears to be in low numbers, in terms of specific biodiversity it is as high when compared to numbers found in other tropical areas. Thirteen species are reported in the literature, all harparticoids. Five species, three sub-species and one genera were new to science. Balacopsylla is reported for the first time from a neotropical regions, while the genus Karllangia, represented by two coexisting species in the Caribbean coast, belong to a few circumtropical-subtropical genera. The most diverse family was Tetragonicipitidae. This is the first effort to summarize the available information about the biodiversity of marine copepods for Costa Rica's coasts.",11,15264526,Journal,ar,Article,100,1,1,Benthonic | Biodiversity | Copepods | Costa Rica | Pelagic,13567,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/22944448735,SCOPUS_ID:22944448735,2-s2.0-22944448735,"La comunidad fitoplánctica de Punta Morales, Golfo de Nicoya, Costa Rica",Brugnoli Olivera E.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,11-17,2001-12-01,December 2001,"Three daily samplings of the phytoplankton community were made at two consecutive days in March, April, May, September, October, November and December 1997, at Punta Morales, Golfo de Nicoya, Costa Rica. Samples were collected during each tide at depths of 50 % and 10 % of light penetration using a Niskin bottle. A total of 43 taxa were identified. Centric diatoms, pennates and flagellates represented 90% of total phytoplankton abundance. In the phytoplankton fraction (cells > 30 μm), diatoms were the most abundant group, and Skeletonema costatum (32%) dominated. In nannophytoplankton (cells < 30 μm), Chaetoceros (23.7%) was the most abundant taxon, followed by flagellates (23%) and Cylindrotheca closterium (13.1%). These results agree with previous surveys and suggest that a typical net phytoplankton community persist through time in the Punta Morales zone. The number of nannophytoplankton fraction cells varied seasonally and suggests quantitative changes in species abundance, with possible modifications of cellular size or chain length in filamentous species. The codominance between S. costatum and Chaetoceros spp. during the rainy season suggested the ocurrence of an early ecological sucession, and nutrients could be the factor generating such population changes.",5,15264517,Journal,ar,Article,100,2,2,Costa Rica | Nannophytoplankton | Net phytoplankton | Sucession | Tropical estuaries,13567,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/22944440114,SCOPUS_ID:22944440114,2-s2.0-22944440114,"Variaciones geomorfológicas en los últimos 50 años de la Isla Damas, Quepos, Costa Rica",Lizano R. O.G.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,171-177,2001-12-01,December 2001,"Fifthy years of geomorphologic change in Damas Island, Quepos, Costa Rica, were studied from a photographic record that is available since 1947. Coastal dynamics were accelerated by the El Niño Phenomenon in 1997 which was simultaneous with the August-September astronomical tide, one of the highest in the 4-5 year cycle. Additionally, waves with high energy were present in some periods of these months. Processes were enough to break the island in two blocks and to initialize erosion and transport sediment that continues to date. The frequency of tropical storms and the wave energy will be greater in the next years increasing sediment instability processes in parts of the island. Two topographic profiles have shown that the island is not in equilibrium and that adding all the possible mareographic components it will be prone to continued erosion. The marine habitats around the island should be changing because the fresh and salt water input has been modified, specially because alteration in the Parrita and Paquita hydrological river basins, and its effects on the sediments of this system.",5,15264531,Journal,ar,Article,100,2,2,Coastal erosion | Geomorphology changes | Isla Damas | Mareographic components | Quepos,13567,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/16644399585,SCOPUS_ID:16644399585,2-s2.0-16644399585,"Batimetría de la plataforma insular alrededor de la Isla del Coco, Costa Rica",Lizano R. O.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,163-170,2001-12-01,December 2001,"The bathymetry of Coco's Island (UNESCO Natural and Cultural World Patrimony), located approximately 500 km from the Pacific coast of Costa Rica, is not well known. It has a high marine biodiversity and also represents a meeting site for many species traveling throughout the Pacific Ocean. The insular shelf is irregular in extension and also in bathymetric features. The northeast limit is defined by the 109.8-128.1 m contours (60-70 fathoms) while the 183 m contour (100 fathoms) practically defines the rest of the island, from which the depth gradient is steep. The maximum extension is to the northeast with a longitude of 13 km. In this context the present limits of the marine park (5 km), are insufficient to protect the whole insular shelf. Current regulation should be modified to prevent fishing activities less than 15 km from the Island.",20,15264530,Journal,ar,Article,100,1,1,Bathymetry | Cocos Island | Insular shelf | World Heritage,13567,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/16644394405,SCOPUS_ID:16644394405,2-s2.0-16644394405,"Peces juveniles en una poza de marea, Reserva Forestal Térraba-Sierpe, Puntarenas, Costa Rica",Chicas F.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,307-314,2001-12-01,December 2001,"Juvenile fish were sampled with a 10 m long net in a tide pool (17 000 m2) on the West margin of Boca Guarumal, Térraba-Sierpe Forest Reserve, Puntarenas, Costa Rica, from October 1992 through January 1994. Water temperature and surface salinity were recorded in each visit. The specimens were fixed in 5% formaldehyde and preserved in 70% ethanol. Abundance and size data were pooled based on precipitation, a main ecological influence in the Reserve. A total of 13 494 individuals from 18 species were captured. Eucinostomus currani, Gobionellus sagittula, Diapterus peruvianus, Agonostomus monticola and Atherinella sp. represented more than 97% of the captures. Although many species presented the tendency of concentrating during the dry season, significant differences in temporal abundance were found. The fish entered the estuary when their body length was between 20 and 60 mm.",7,15264544,Journal,ar,Article,100,1,1,Abundance | Composition | Costa Rica | Fish | Structure | Térraba-Sierpe | Tide pool,13567,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/16644388521,SCOPUS_ID:16644388521,2-s2.0-16644388521,"Biomass, productivity and density of the seagrass Thalassia testudinum at three sites in Cahuita National Park, Costa Rica",Paynter C.K.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,265-272,2001-12-01,December 2001,"The basic ecology of seagrass beds was investigated by comparing biomass, productivity and density of Thalassia testudinum (turtle grass) at three sites: Puerto Vargas, Punta Cahuita and Río Perezoso, in Cahuita National Park, Limón, Costa Rica, over a two month period (March-April 1999). Above ground biomass, density, and productivity were highest in the Puerto Vargas site while Punta Cahuita had the least non-green above ground biomass was significantly lower in total biomass than Puerto Vargas. Punta Cahuita was distinguished by the largest grain size, a very hard substrate, and shallower water. Río Perezoso, on the other hand, had extremely fine sediment and lower salinity, while Puerto Vargas was intermediate both in sediment size and environmental conditions. It appears, therefore, that higher biomass and productivity result from a combination of moderate environmental characteristics and an intermediate sediment size.",14,15264540,Journal,ar,Article,100,3,3,Biomass | Cahuita | Costa Rica | Productivity | Reef lagoon | Seagrass | Thalassia,13567,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/16644387394,SCOPUS_ID:16644387394,2-s2.0-16644387394,"El Niño 1997-1998 impact on the plankton dynamics in the Gulf of Nicoya, Pacific coast of Costa Rica",Morales-Ramírez A.,Revista de Biologia Tropical,00347744,49,SUPPL. 2,103-114,2001-12-01,December 2001,"The impact of the El Niño 1997-1998 phenomenom on plankton dynamics was studied during 1997 at the Punta Morales estuary, Gulf of Nicoya, Pacific coast of Costa Rica. The study covered dry season/transition and the rainy season. Phytoplankton (microphytoplankton > 30μm and nanophytoplankton) were collected at two depths (50 and 10% light incidence) using a 5 L Niskin bottle, and samples taken to determine chlorophyll a. Temperature, salinity, oxygen, and Secchi depth were measured. Horizontal sub-surface zooplankton hauls were conducted with a conic zooplankton net of 0.49 m diameter and 280μm mesh width, supplied with a flowmeter. Surface sea water temperature average was 29.9 ± 0.9°C, with a maximum of 31.5°C in April and a minimun of 28°C in March and October. Chlorophyll a concentration (phytoplankton net) averaged 3.1± 1.7 mg/m3, with higher values during the rainy season and lower values during the transition. Nanophytoplankton chlorophyll a concentration averaged 2.5±1.2 mg/m3, with a maximum during the transition season. For both fractions there were significant differences between transition and rainy seasons, and for nanophytoplankton between dry and transition seasons (p < 0.05). In the last case, differences were explained by temperature. Herbivorous copepods dominated the abundance and biomass of zooplankton, with a biomass maximun of 167. 3 in October and a minimun of 7.1 mg DW/m3 in December. These values are higher than those found some years ago in the same zone and those reported for some places in the Caribbean. The El Niño 1997-1998 phenomenon in the plankton dynamics appears to have produced a change in the phytoplankton structure. This is the first attempt to evaluate the possible impact of El Niño on the plankton dynamics of the Pacific coast of Central America.",10,15264525,Journal,re,Review,100,2,2,Copepods | Costa Rica | El Niño | Pacific | Plankton,13567,undefined,0,FALSE,10
