@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/2542602655,SCOPUS_ID:2542602655,2-s2.0-2542602655,A mass collection of Triatoma ryckmani (Hemiptera: Reduviidae) from Stenocereus eichlamii (Cactaceae) in the semiarid region of Guatemala,Marroquín M R.,Revista de Biologia Tropical,00347744,52,4,931-936,2004-12-01,December 2004,"A population of 216 specimens of Stenocereus eichlamii (Cactaceae, Subfamily Cereoideae) was surveyed for Triatoma ryckmani (vector of Chagas disease) in a one hectare plot of semiarid habitat in Guatemala. Out of 44 plants that had dead and dry sections, 24 plants had a total of 103 specimens of T. ryckmani. In comparison with other areas of Guatemala, T. ryckmani is well established in the semiarid ecosystem (Infestation index 54.5, density = 2.3 and crowding index 4.3). The insects were mainly found (52.4%) in the dead portions of S. eichlamii 2.0 to 3.2 m above the ground (X2 = 26.0, P< 0.00001), followed by dry cactus sections between 3.2 and 5.0 m (35.9%). They were less frequent 0.2 to 2.0 m above the ground. A considerable proportion (75.7%) had no aparent blood in their digestive systems. To determine the presence of flagellates, 43 of the bugs were dissected, but none were found. This is the first report on T. ryckmani population dynamics in this habitat.",6,17354404,Journal,ar,Article,100,3,3,Behavior | Guatemala | Semiarid region | Stenocereus eichlamii | Sylvan vectors | Triatoma ryckmani,13567,undefined,0,FALSE,1,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844557536,SCOPUS_ID:23844557536,2-s2.0-23844557536,"Culture of Poecilia reticulata (Pisces: Poecilidae) in tropical water bodies, Veracruz, México",Murillo P.,Revista de Biologia Tropical,00347744,52,4,951-958,2004-12-01,December 2004,"Poecilia reticulata, also known as guppy, is the most popular fish in the aquarium environment. Guppys are viviparous fish with high tolerance to extreme temperatures. The development of the offspring takes between 25 and 30 days. We developed a technology for raising guppys, which outlines infrastructure and devices for reproduction, nursery, feeding, and commercialization, evaluating the financial and technical feasibility of this technology in a case study. The complete reproductive cycle occured in floating cages with 1 mm mesh and the method was tested in a tropical lagoon in Mexico. Water quality was monitored throughout the study period (temperature, dissolved oxygen and pH levels). A marketing survey was carried out at all existing aquarium shops in Veracruz City. Data collected depict quantities demanded and offered for each species by season, place of origin, and resistance to handling. The hydrobiological characteristics were: average temperature 31.4°C, dissolved oxygen 4.5 mgl-1, and pH level 6.8. With these values we built a production function, and used it to evaluate profitability. We estimate a benefit/cost ratio of 1.16, with a net annual income of US$257.67. The system may provide two permanent jobs.",3,17354407,Journal,ar,Article,100,3,3,Aquarium fish | Culture | Mexico | Profitability,13567,undefined,0,FALSE,2,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844551526,SCOPUS_ID:23844551526,2-s2.0-23844551526,A source of almost pure methyl chavicol: Volatile oil from the aerial parts of Tagetes lucida (Asteraceae) cultivated in Costa Rica,Cicció J.,Revista de Biologia Tropical,00347744,52,4,853-857,2004-12-01,December 2004,"The plant Tagetes lucida Cav. (syn. T. florida Sweet, T. schiedeana Less.) is an aromatic herb distributed naturally from Mexico to Honduras, at elevations between 1 000 and 2 000 m. It is used as a spice, for medicine, as insecticide and as ornamental plant. It is cultivated commercially in Costa Rica as a spice herb; it contains an oil having an anise-like odor, and the fresh aerial parts of this plant are sold in the supermarket as a substitute of tarragon (Artemisia dracunculus L.). The essential oils isolated from aerial parts bought, at May and October, in a supermarket in San José (Costa Rica). Fresh flowering aerial parts, flowers and leaves plus stems, were subjected to hydrodistillation for 3 hr using a modified Clevenger-type apparatus. The distilled oils were collected and dried over anhydrous sodium sulphate and stored in a freezer (0-10°C). The light yellow green oil yield was about 0.07% (v/w). GC/MS analyses were performed using a Shimadzu GCMS-QP5050 apparatus and CLASS 5000 software with Wiley 139 computer database. Identification of the components of the oil was performed using the retention indices, which were calculated in relation to a homologous series of hydrocarbons, and by comparison of their mass spectra with those published in the literature or those of our own database. Thirty compounds were identified, of which methyl chavicol (95-97%) was the major constituent. From flower oil, two bithienyls were detected as minor constituents.",30,17354394,Journal,ar,Article,100,1,1,Asteraceae | Bithienyls | Essential oil | Methyl chavicol | Phenylpropanoid | Tagetes lucida,13567,undefined,0,FALSE,3,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844551525,SCOPUS_ID:23844551525,2-s2.0-23844551525,"Size and age structure of the striped marlin Tetrapturus audax (Pisces: Xiphidae), at Cabo San Lucas, Baja California Sur, México",Melo Barrera F.,Revista de Biologia Tropical,00347744,52,4,981-989,2004-12-01,December 2004,"The striped marlin (Tetrapturus audax) is found in temperate and tropical waters of the Pacific and Indian Ocean. It is particularly abundant in the southern tip of the Baja California peninsula. Specimens brought to Cabo San Lucas port (22°53' N y 109°54' W) by the sport fishery fleet that operates withing a radius of 54 km from 1988 to 1993 were sexes, measured and weighed. A total 1030 individuals were sampled. Dorsal fin spines (389) were collected for age estimation. The spines were sectioned and hyaline-opaque bands counted. The relation of length to spine radius was similar for males and females. The fourth dorsal spine reflected the growth of the fish. The rhythm of growth mark formation is yearly and related to the sea surface temperature. Ten age groups were found and the seventh group was the most abundant, followed by groups ""6"" and ""8"". The age structure of the striped marlin was stable in the study period. The observed sizes were 160-280 cm jaw length with 90% of the organisms measuring between 190 and 225 cm. The small individuals recruit to the fishery from June to December.",7,17354410,Journal,ar,Article,100,2,2,Age determination | Spines | Striped marlin | Tetrapturus,13567,undefined,0,FALSE,4,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844543749,SCOPUS_ID:23844543749,2-s2.0-23844543749,"Feeding habits of the fishes Lutjanus peru and Lutjanus guttatus (Pisces: Lutjanidae) of Guerrero, México",Rojas-Herrera A.A.,Revista de Biologia Tropical,00347744,52,4,959-971,2004-12-01,December 2004,"Diet composition of the Pacific snapper (Lutjanus peru) 130-684 mm fork length (FL) and the spotted snapper (Lutjanus guttatus) 120-550 mm FL, was analyzed. Monthly samples were obtained from commercial landings in three regions off the coast of Guerrero, Mexico. Percentage by number (%N), percentage by weight (%W), arid percentage of occurrence (%O) were calculated for each prey and summarized as the index of relative importance. Both species are polyphagous predators feeding on a variety of prey: Sixty-eight prey items, mainly fish (%W = 50.9), crustaceans (%W = 35.6), and mollusks (%W = 7.2), were found in the stomach contents of L. peru, while 88 components were identified in the diet of L. guttatus, the most important prey being fish (%W = 50.8) and crustaceans (%W = 43.4). Diet overlap between species is not significant (p<0.05), indicating that competition for food is unlikely. Based on published values of the relative importance index, the diets of these Lutjanidae were analyzed considering different regions of the Pacific coast of Mexico and Costa Rica, and similarities among sites and species were discussed. The cluster analysis showed that similarities among species inhabiting in the same area are more important than within organisms of the same species living in different zones. Results suggest that prey availability rather than food selectivity, conditions the feeding behavior of these fish species.",19,17354408,Journal,ar,Article,100,3,3,Coast of Guerrero | Diet | Feeding habits | Lutjanidae | Lutjanus guttatus | Lutjanus peru | Mexico,13567,undefined,0,FALSE,5,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844537157,SCOPUS_ID:23844537157,2-s2.0-23844537157,Macrophytes from some high Andean lakes of Ecuador and their low potential as bioindicators of eutrophication,Kiersch B.,Revista de Biologia Tropical,00347744,52,4,829-837,2004-12-01,December 2004,"The occurrence of macrophyte in three high Andean lakes of Ecuador, Lago San Pablo, Laguna La Mica and Lago Cuicocha was recorded in 5-9 transects per lake. The first two lakes are eutrophic, the third is an extremely oligotrophic caldera lake. The dominant species in eutrophic lakes are Ceratophyllum demersum, Myriophyllum quitense, Potamogeton illinoensis, P. striatus and Elodea matthewsii. In the oligotrophic lake P. pectinatus, P. illinoensis, and the Characeae Chara rusbyana, Ch. globularis and Nitella acuminata occur. The maximum depth of the macrophyte's presence can be used as an indicator of the trophic state, ranging from about 5 m in Mica to 35 m in Cuicocha. The bioindication value of the macrophyte species in these high Andean lakes is low, because few species occur and because some of them are not specific to environmental conditions.",12,17354391,Journal,ar,Article,100,3,3,Bioindicator | Ecuador | High mountain lakes | Latin America | Limnology | Macrophyte,13567,undefined,0,FALSE,6,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844535821,SCOPUS_ID:23844535821,2-s2.0-23844535821,"The ""windows"", scales, and bristles of the tropical moth Rothschildia lebeau (Lepidoptera: Saturniidae)",Hernández-Chavarría F.,Revista de Biologia Tropical,00347744,52,4,919-926,2004-12-01,December 2004,"The common Spanish name of the moth Rothschildia lebeau (Saturniidae) is cuatro ventanas (four 'windows'), because it exhibits a transparent oval path in each wing. The scales of the colored areas and the bristles from the ""window"" were analyzed. We developed a simple device to measure transmittance across the ""windows"" with an spectrophotometer. A square section of ""window"" was mounted onto a flat black card and placed onto a clamp that hung in the path of the light - beam of the spectrophotometer. Absorbance was measured at 350 and 550 nm, with the ""window"" positioned perpendicular to the light beam (incidence of 90°); then the measurements were repeated with the ""window"" moved at an angle of 45°. Each measurement was replicated 5 times. Wing color spots were analyzed with a light dissection microscope (stereoscope) and with scanning electron microscopy. The scales have a minimum of 4 morphological types, 3 of them showed the typical appearance of unspecialized scales described for other butterflies; whereas the fourth has features particular to this species. On the ""window"" the scales are transformed in hair-like bristles that do not interfere with light, conferring the transparency that characterizes the ""windows"". However, if the wing is illuminated at an almost grazing-incidence, they reflect the light as a mirror. Two hypothetical functional explanation for the windows are mimicry and interspecies communication.",4,17354402,Journal,ar,Article,100,3,3,Bristles | Interspecies communication | Light reflections | Moth | Rothschildia lebeau | Scales microstructure | Scanning electron microscopy,13567,undefined,0,FALSE,7,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844529922,SCOPUS_ID:23844529922,2-s2.0-23844529922,"Embrionary and larval development of the marine clam Tivela mactroides (Bivalvia: Veneridae) in Zulia State, Venezuela",Reverol Y.M.,Revista de Biologia Tropical,00347744,52,4,903-909,2004-12-01,December 2004,"The marine clam, Tivela mactroides, from Caño Sagua beach, Venezuela, was spawned and reared under laboratory conditions to monitor its early development. Spawning was spontaneous but in some cases it had to be induced by the additon of eggs and sperm. After fertilization, the embryonic development occurred at 5 hr approximately. Trochophore larvae were observed between eight and ten hours later. Straight-hinged veliger stage appeared 15 hr after fertilization. Transition from veliger stage to the umbo stage occurred about eight days after fertilization. Pediveliger stage was observed 22 days after fertilization. Metamorphosis of T. mactroides was not successful under our laboratory conditions; probably the bacterial contamination and subsequent mortalities were important factors constraining the final phase of the larval cycle. However, in a few cases young individuals were observed. We suspect that this was due to unfavorable conditions (e.g. : bacterial contamination, unsuitable food availability, etc.) and the broad variation in developmental times, suggesting that these stages might be particularly sensitive to environmental changes. These results may not necessarily reflect what happens under natural conditions.",6,17354399,Journal,ar,Article,100,4,4,Bivalve mollusk | Embrionary development | Larval development | Tivela mactroides | Venezuela,13567,undefined,0,FALSE,8,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844529918,SCOPUS_ID:23844529918,2-s2.0-23844529918,A twelve-month field study of the West African Thrush Turdus pelios (Passeriformes: Muscicapidae). Part 1: Food and feeding ecology,Akinpelu A.,Revista de Biologia Tropical,00347744,52,4,1001-1007,2004-12-01,December 2004,"The feeding ecology of Turdus pelios was studied from field observations and gizzard contents. Quantitative data on feeding were obtained from repeated standard ""fixed route"" walks and observational points at seven sites from January to December 1998 on 5065ha at the Obafemi Awolowo University campus, Ile-Ife (7°20' N, 4°33' E). Walks (each lasting about two hours) were started at various times of the day between 7.00 and 16.45 h. A total of 100 walks were made and binoculars were used to observe all feeding activities during 10 minutes at each site. Each feeding record included food type, method of feeding and reaction with con-specifics at feeding sites. Gizzards from mist-netted specimens were also studied. These birds fed most commonly twice a day between 06.00-9.30hr in the morning and between 17.00-18.30hr in the evening. Field observations showed that about 62% of the diet consisted of plant matter. The prey items were earthworms and terrestrial arthropods, of which orthopterans alone constituted 45% of the total. The prey size consumed by both sexes overlapped extensively: differences in prey size were significant only for spiders.",5,17354412,Journal,ar,Article,100,2,2,Bill length | Feeding ecology | Gizzard | Nigeria | Plant matter | Prey item | Prey size | Turdus pelios,13567,undefined,0,FALSE,9,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/23844526521,SCOPUS_ID:23844526521,2-s2.0-23844526521,"Abundance and species richness of fish associated to Thalassia testudinum at Cariaco Gulf, Venezuela",Peña T.,Revista de Biologia Tropical,00347744,52,4,973-980,2004-12-01,December 2004,"Fish are among the most abundant and diverse groups in Thalassia testudinum communities, in turn considered among the most productive and important ecosystems in marine environments. Three stations were sampled in the southern shore of Cariaco gulf (northwestern Venezuela) to quantify fish associated with T. testudinum, from December 1996 to November 1997. We used a 50 m long beach net (""chinchorro playero"", height 1.50 m, mesh opening 0.7 cm. A total of 15 509 individuals were collected: 27 families, 38 genera and 44 specie were identified. The most abundant, in descending order, were Haemulon boschmae, Nicholsina usta, Orthopristis ruber, Xenomelaniris brasiliensis and Diplodus argenteus. Thirty three species were occasional visitors (75.0%) and ten were recurrent visitors (22.7%). The permanent resident, N. usta, is a characteristic species that uses T. testudinum throughout its life cycle.",3,17354409,Journal,ar,Article,100,3,3,Abundance | Ecology | Fish | Gulf of Cariaco | Sea grasses | Venezuela,13567,undefined,0,FALSE,10,NA,NA,NA
