@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,pubmed-id,prism:eIssn,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/78651397174,SCOPUS_ID:78651397174,2-s2.0-78651397174,Ophiuroids (Echinodermata: Ophiuroidea) from the Mexican waters of the Gulf of Mexico,Hernández-Herrejón L.A.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,83-167,2008-12-01,December 2008,"We report 68 species of ophiuroids distributed in two orders, 13 families, and 34 genera for the Mexican waters of the Gulf of Mexico. Diagnosis, taxonomic description, type material, type localities, geographic distribution and comments are given for each of the analyzed species. New bathymetric distribution data for 24 species, and new geographic distribution data for 32 species are given. The order Ophiurida is the best represented with nine families, 27 genera and 61 species. The best represented families in the study area are: Ophiuridae and Amphiuridae. Thirteen new records are given for the Mexican waters of the Gulf of Mexico.",10,Journal,ar,Article,100,3,3,Echinodermata | Gulf of Mexico | Ophiuroidea | Taxonomic keys,13567,undefined,0,FALSE,1,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651393084,SCOPUS_ID:78651393084,2-s2.0-78651393084,"Regular sea urchins substrate association (Echinodermata: Echinoidea) on Isla Verde lagoon reef, Veracruz, Mexico",Celaya-Hernández E.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,281-295,2008-12-01,December 2008,"The diversity, abundance, distribution and substrate association of the regular sea urchins found at the South part of Isla Verde lagoon reef, Veracruz, Mexico is presented. Four field sampling trips where made between October, 2000 and October, 2002. One sampling quadrant (23 716 m2) the more representative, where selected in the southwest zone of the lagoon reef, but other sampling sites where choose in order to cover the south part of the reef lagoon. The species found were: Eucidaris tribuloides tribuloides, Diadema antillarum, Centrostephanus longispinus rubicingulus, Echinometra lucunter lucunter, Echinometra viridis, Lytechinus variegatus and Tripneustes ventricosus. The relation analysis between the density of the echinoids species found in the study area and the type of substrate was made using the Canonical Correspondence Analysis (CCA). The substrates types considerate in the analysis where: coral-rocks, rocks, rocks-sand, and sand and Thalassia testudinum. The sand substrate with pieces of shell fragments was omitted from the analysis, since D. antillarum was the only species present in this habitat. During the two sampling climatic seasons the distribution of E. tribuloides tribuloides and C. longispinus rubicingulus was investigated to determine their substrate association on coral-rock and rock. The distribution of D. antillarum, E. lucunter lucunter and E. viridis was mainly associated to coral-rock, rock and sand substrates, while which the distribution of L. variegatus and T. ventricosus was more associated with presence of sea grass. The distribution of sea urchins is associated with the substrate type and their feeding habits which are also intimately linked. The seven species reached their biggest abundance during the raining season. E. lucunter lucunter and D. antillarum are considered in this study as bioindicators of the ecological quality of the coral reef.",5,Journal,ar,Article,100,5,5,Abundance | Diversity | Echinoidea | Isla Verde Reef | Mexico | Veracruz,13567,undefined,0,FALSE,2,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651389490,SCOPUS_ID:78651389490,2-s2.0-78651389490,"Reproductive activity of the sea urchins Lytechinus variegates and Echinometra lucunter (Echinodermata: Echinoidea) in relation to environmental factors at the Gulf of Cariaco, Venezuela",Espinoza G.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,341-350,2008-12-01,December 2008,"We made monthly determinations of gonad development, female:male ratio, and reproductive index (gonad weight as a percentage of total wet weight) of Lytechinus variegatus and Echinometra lucunter during 16 months at Turpialito in the Gulf of Cariaco, Venezuela. The cover of macroalgae and sea grasses in the collection sites was recorded monthly, water temperature was monitored continuously, and salinity, oxygen content and seston concentration were recorded at weekly intervals. For both sea urchin species, there was high variability in the gonad index throughout the study and the male to female ratio was 1:1. The gonad index of L. variegatus tended to be higher from July to November, and there was a high percentage of spawning (phases IV, V) individuals during most of the year. For E. lucunter the gonad index did not show a clear pattern and individuals with immature gonads were observed throughout the study. There was no clear relationship between reproductive events and the environmental factors studied for either L. variegatus or E. lucunter, although, for L. variegatus, gametogenesis may have been related to low temperature and gonad maturation with high temperatures.",8,Journal,ar,Article,100,4,4,Echinometra lucunter | Golfo de Cariaco | Gonad index | Lytechinus variegatus | Reproductive index | Venezuela,13567,undefined,0,FALSE,3,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651383856,SCOPUS_ID:78651383856,2-s2.0-78651383856,Phyllodial pores and the identification of two subspecies of sea urchins in Mexico: Meoma ventricosa grandis (Pacific) and Meoma ventricosa ventricosa (Atlantic),Torres-Martínez M.A.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,13-17,2008-12-01,December 2008,"The genus Meoma inhabits Mexican waters and is represented by the subspecies Meoma ventricosa grandis in the Pacific and Meoma ventricosa ventricosa in the Atlantic. Both subespecies are morphologically similar. We studied the morphological differences between Meoma ventricosa grandis and Meoma ventricosa ventricosa, specifically in the patterns of phyllodial pore pairs and kind of sediments where they live. The number of pores differs among subspecies until M. ventricosa grandis reaches 110 mm of total lenght. The difference in the number of phyllodial pores can be an adaptation to the size of silt grain.",3,Journal,ar,Article,100,4,4,México | Meoma ventricosa grandis | Meoma ventricosa ventricosa | Phyllodial pores | Sea urchins,13567,undefined,0,FALSE,4,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651376717,SCOPUS_ID:78651376717,2-s2.0-78651376717,"Biochemical composition of body compartments during the reproductive cycle of the starfish Allostichaster capensis in Patagonia, Argentina",Rubilar T.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,351-360,2008-12-01,December 2008,"Allostichaster capensis (Perrier, 1875) (= inaequalis) is a fissiparous starfish inhabiting the South Atlantic Ocean coasts. On the Patagonian coast, it displays an annual sexual and asexual reproductive cycle. Fission is most frequent during the austral summer (November-January) and arm regeneration takes place during the rest of the year. In this article, seasonal changes in biochemical composition of body compartments are presented for a population of this fissiparous starfish in Bahia Kaiser, Golfo Nuevo, Chubut, Argentina, from June 2000 to May 2002. During the annual cycle, an inverse relationship between gonad and pyloric caeca indices suggests nutrient transfer. Biochemical analysis revealed that only lipids are translocated from pyloric caeca to gonads at the beginning of gametogenesis.",6,Journal,ar,Article,100,3,3,Allostichaster capensis | Biochemical composition | Fissiparous starfish | Northern Patagonia | Reproductive cycle,13567,undefined,0,FALSE,5,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651376366,SCOPUS_ID:78651376366,2-s2.0-78651376366,Influence of wave exposure and habitat complexity in determining spatial variation of the sea urchin Diadema aff. antillarum (Echinoidea: Diadematidae) populations and macroalgal cover (Canary Islands - Eastern Atlantic Ocean),Clemente S.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,229-254,2008-12-01,December 2008,"Diadema aff. antillarum performs a key role in organizing and structuring rocky macroalgae assemblages in the Canary Islands; increased sea urchin population density can result in the formation of rocky grounds covered with crustose algae. In the Canary Islands this type of system alternates with non-crustose macroalgal systems. However, understanding of the process controlling formation, persistence and alternation between states is still poor. Moreover, knowledge of spatial and temporal variations of this key herbivore populations are scarce. Here an extensive study of D. aff. antillarum populations throughout the Canarian Archipelago were presented, with particular emphasis on two main themes: firstly the influence of sea urchin population on non-crustose macroalgal assemblages. Secondly, the spatial variation of adult sea urchin populations at different scales: both on a large scale (between islands and sites with different wave exposure) and on a medium-small scale (between depths and habitats with different characteristics), and including comments regarding human influence on the observed spatial pattern between the studied islands. The main results were: (1) densities of D. aff. antillarum higher than 4 ind.m-2 drastically reduce non-crustose macroalgal cover to under 30%; (2) Tenerife Island comprises the highest urchin densities while El Hierro has been found to have the lowest; (3) wave exposure is a factor determining sea urchin density: more highly exposed sites present lower urchin density and vice versa; (4) rocky grounds covered with crustose algae can be found at greater depth in more highly exposed sites and at shallower depths in lesser exposed sites; (5) when sand percentage over the rocky substrate exceeds 20%, urchin density is limited to under 1 ind.m-2 and (6) high relief rocky substrate present higher urchin densities and hence a lower non-crustose macroalgal cover.",23,Journal,ar,Article,100,2,2,Canary Islands | Diadema aff. antillarum | Habitat complexity | Non-crustose macroalgae | Wave exposure,13567,undefined,0,FALSE,6,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651375488,SCOPUS_ID:78651375488,2-s2.0-78651375488,"Abundance of the brown sea cucumber Isostichopus fuscus at the National Park Bahia de Loreto, México",Reyes-Bonilla H.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,265-271,2008-12-01,December 2008,"The Natural Protected Area Parque Nacional Bahia de Loreto, including five adjacent islands, was created in 1996. The park presents rocky and sandy shores, mangrove areas and small patches of reef corals, which have been used for fishing and ecotourism activities. The fishery of the brown sea cucumber Isostichopus fuscus is one of the most peculiar in the Gulf of California since early nineties and in the Park the fishery takes place since 2000 under special permits known as UMAS (units for wildlife management). However, little is known on the abundance of the resource in natural populations in México, crucial information to determine total allowable catch. The objective of this study was to assess the abundance of I. fuscus in the National Park Bahia de Loreto, Gulf of California, during the fishing season 2005-2006. Abundance was estimated through belt transects (25 × 2 m). A total of 29 sites or ""banks"" were visited, mostly sites where the fishery occurs. Data were analyzed to determine homoscedasticity and normality using the Levene and Kolmogorov-Smirnoff tests, respectively. To detect differences between the islands we used a one way ANOVA (model II; α=0.05) considering the islands as factors. We used linear regressions to detect geographic clines between population density and geographic location. The average abundance of I. fuscus in the PNBL was 1.41 ± 0.02 individuals/transect, with an average density of 0.028 ± 0.0004 ind/m2. Density was slightly higher in the southern banks. The lowest value was found at isla Montserrat, which is close to the coastline of the Baja California Peninsula, where most of the fishery occurs. No relationship was found between population density and latitudinal gradient, nor with the distance from the coastline. We concluded that even though density levels were low in PNBL, the situation of I. fuscus does not seem critical to populations.",9,Journal,ar,Article,100,5,5,Abundance | Density | Holothurians | Isostichopus fuscus | National Park Bahía de Loreto | UMAS,13567,undefined,0,FALSE,7,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651374719,SCOPUS_ID:78651374719,2-s2.0-78651374719,Seasonal changes in the density and species composition of the epifaunal echinoderms recorded from the southwestern Gulf of Mexico,Vázquez-Bader A.R.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,297-310,2008-12-01,December 2008,"The distribution and relative abundance of epifaunal echinoderms in the Southwestern region of the Gulf of Mexico based on 181 collections by the use of an Otter Trawl during different years are described. A total of 59 species were recorded, and represent the following five classes; Asteroidea 25 species, Ophiuroidea 15 species; Echinoidea 14 species, Crinoidea 4 species, and Holothuroidea 1 species. The most frequently encountered single species was Luidia clathrata found at 68 % of all the stations sampled. Furthermore, Astropecten nitidus Astropecten duplicatus, Mellita quienquiesperforata, Brissopsis atlantica, Brissopsis elongata, Astropecten articulatus, Luidia alternata, Comactinia meridionalis, Astropecten alligator, Astropecten cingulatus, Tethyaster grandis, and Clypeaster ravenelii, were species less abundant and frequent and accounted for 13% of the remaining percentage of the echinoderms collected and identified. The starfish Luidia clathrata was the largest species size collected on the Campeche Bank at 16 m depth. The highest seasonal density of the echinoderms was recorded in Autumn on carbonate substrate, whereas the highest species richness was found in summer.",11,Journal,ar,Article,100,6,6,Density | Echinoderms | Macrobenthic | Seasonal Distribution | Southwestern Gulf of Mexico | Species Composition,13567,undefined,0,FALSE,8,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651372899,SCOPUS_ID:78651372899,2-s2.0-78651372899,Shallow water Asteroidea and Ophiuroidea of Uruguay: Composition and biogeography,Martínez S.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,205-214,2008-12-01,December 2008,"Asteroidea (five species) and Ophiuroidea (18 species) recorded along the Uruguayan littoral (up to 50 m depth) are summarized and their distributional pattern are discussed. Species are gathered into four groups: 1) A. taxa distributed from North/South Carolina, or from the Caribbean Sea, to Southern Buenos Aires Province (Argentina), B. species ranging from North/South Carolina, Florida, São Paulo, to the mouth of Rio de la Plata, 2) species ranging from Rio de Janeiro south to the San Matias Gulf, 3) taxa recorded from Chile or from Antarctic/Subantarctic waters north to Uruguay, 4) a single cosmopolitan species. While ophiuroids are represented in each one of the mentioned groups, asteroids are restricted to the first one. As it happens with other elements of the Uruguayan fauna, this complex pattern is a consequence of the confluence of the warm Brazilian and the cold Malvinas (Falkland) currents, and of the discharge of fresh, muddy waters of the Rio de la Plata.",8,Journal,ar,Article,100,1,1,Asteroidea | Biogeography | Distribution | Ophiuroidea | Rio de la Plata | Uruguay,13567,undefined,0,FALSE,9,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78651354467,SCOPUS_ID:78651354467,2-s2.0-78651354467,"Weight-Length relationship and relative condition of the holothurian Isostichopus fuscus at Espíritu Santo Island, Gulf of California, México",Herrero-Pérezrul M.,Revista de Biologia Tropical,00347744,56,SUPPL. 3,273-280,2008-12-01,December 2008,"Holothurians were heavily exploited worldwide during the last decade. The high prices of the product prompted the opening of new fishing grounds in the west coast of American countries, such as México and Ecuador. In these countries, the target species is Isostichopus fuscus. There is good information regarding the reproductive biology, growth and abundance of this sea cucumber, however, more studies are still needed, especially those which can supply information on the physiological condition of the individuals. The objective of this study was to estimate the relative condition of an exploited population of I. fuscus at Isla Espíritu Santo, in the southern Gulf of California, México. A total of 1 446 individuals were analyzed during 1996-1997. Length and weight were monitored each month. We calculated the weight-length relationship and the index of relative condition (Kn). The mean length and weight were 23.3±0.1 cm and 385.9±3.9 g respectively. The weight-length relationship showed that I. fuscus grew allometrically at the study site. The index of relative condition (Kn) had an average of 1.040 ±0.027, and ranged from 0.123 to 2.816. There were no statistical differences in Kn along the year, although the highest values appeared from November to April. Kn presented a parabolic relationship with total length, and peaked at 21 cm length, the size of first maturity. This pattern may indicate that the condition of individuals is slowly improving with age up to a point and then decreases gradually, a possible evidence of aging and the first indication of senescence in holothurians.",21,Journal,ar,Article,100,2,2,Gulf of California | Holothurians | Isostichopus fuscus | Relative condition | Weight-length relationship,13567,undefined,0,FALSE,10,NA,NA,NA,NA
