@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:description,pubmed-id,authkeywords,fund-acr,fund-sponsor,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/81255211463,SCOPUS_ID:81255211463,2-s2.0-81255211463,Chapter 1. Introduction to the groups of aquatic macroinvertebrates,Hanson P.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,3-37,2010-12-01,2010,19,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/81255197707,SCOPUS_ID:81255197707,2-s2.0-81255197707,Chapter 2. Recollection methods,Ramírez A.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,41-50,2010-12-01,2010,11,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/81255176859,SCOPUS_ID:81255176859,2-s2.0-81255176859,Preface,Sweeney B.W.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,NA,2010-12-01,2010,0,Journal,ed,Editorial,100,1,1,13567,undefined,0,FALSE,3,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/81255176854,SCOPUS_ID:81255176854,2-s2.0-81255176854,Chapter 3. Aquatic biomonitoring,Springer M.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,53-59,2010-12-01,2010,19,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,4,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/81255176853,SCOPUS_ID:81255176853,2-s2.0-81255176853,Chapter 4. Ephemeroptera,Flowers R.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,63-93,2010-12-01,2010,17,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,5,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/81255176827,SCOPUS_ID:81255176827,2-s2.0-81255176827,Chapter 6. Plecoptera,Gutiérrez-Fonseca P.E.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,139-148,2010-12-01,2010,5,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,6,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/81255176810,SCOPUS_ID:81255176810,2-s2.0-81255176810,Chapter 7. Trichoptera,Springer M.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,151-198,2010-12-01,2010,23,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,7,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/81255146513,SCOPUS_ID:81255146513,2-s2.0-81255146513,Chapter 5. Odonata,Ramírez A.,Revista de Biologia Tropical,00347744,58,SUPPL. 4,97-136,2010-12-01,2010,23,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,8,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78751640067,SCOPUS_ID:78751640067,2-s2.0-78751640067,"Structure and dynamics of phytoplankton in an Amazon lake, Brazil",Silva I.d.G.,Revista de Biologia Tropical,00347744,58,4,1421-1436,2010-12-01,December 2010,5,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,9,"Natural lake systems represent important reservoirs for residential water supply, fish production, recreational activities and enjoyment of their natural beauty. Nevertheless, human impacts may affect their health status resulting in degradation and loss of biodiversity. The aim of the present study was to obtain data on the health status of a natural lake located in an indigenous reservation in the Brazilian Amazon, using the phytoplankton community changes along the rainy (June) and dry (November) seasons of 2006. We collected water (temperature, pH, Secchi depth and conductivity) and phytoplankton samples from the subsurface, middle of the water column, and approximately 30cm above the bottom, over 24-hour sampling periods, from a central station in the lake. Samples taken from biotic and abiotic variables were correlated using canonical correspondence analysis (CCA). Results showed that the lake exhibited high temperatures in both seasons, and showed thermal stratification only during the rainy season. Dissolved oxygen exhibited a clinograde pattern in the rainy season and high oxygen in the hypolimnion in the dry season. In the rainy season, the water near the bottom was acidic, turbid and had a greater concentration of phosphorus. Dissolved oxygen, conductivity, pH, nitrite, total phosphorus and total dissolved phosphorus exhibited diel variations in the rainy season, whereas water temperature, dissolved oxygen, total nitrogen and total dissolved phosphorus exhibited significant differences between hours of the day in the dry season. The phytoplankton was represented by 39 taxa, and Chlorophyta showed the greatest species richness, totaling 25 taxa. Among Chlorophyta, desmids were the most diverse, accounting 52%. Bacillariophyta (nine species) was the second most diverse group. Cyanophyta was represented by three species, including Merismopedia tenuissima, the most abundant taxon. Despite the occurrence of taxa that indicate organic pollution, their biomass and frequency indicate that the system is not currently threatened. Lake Caracaranã is an oligotrophic system, with low algal density and isolated blooming episodes due to its shallow depth.",21246997,Brazil | Chlorophyta | Cyanophyta | Diel variation | Oligotrophic system | Seasonal variation | Tropical lake,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/78751632727,SCOPUS_ID:78751632727,2-s2.0-78751632727,"Morphology, anatomy, ontogeny and chemical composition of inflorescences volatile secondary metabolites of Lippia alba (Verbenaceae)",Parra-Garcés M.,Revista de Biologia Tropical,00347744,58,4,1533-1548,2010-12-01,December 2010,8,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,10,"Morphology, anatomy, ontogeny and chemical composition of inflorescences volatile secondary metabolites of Lippia alba (Verbenaceae) at three stages of development. There is an increased interest to know and scientifically validate traditional knowledge of medicinal plants. Lippia alba belongs to Verbenaceae family and has been of interest, not only because of its worldwide extensive distribution, but also for its variable use as antiviral, bactericide, citostatic, analgesic and sedative. To study this, the morphology and ontogeny of Lippia alba inflorescences and the chemical composition of its volatile secondary metabolites were analyzed during three different stages of development. Plants were collected at the experimental crop field in CENIVAM, Bucaramanga, Colombia. The inflorescence's morphology and ontogeny, and the chemical composition of volatile secondary metabolites were analyzed using a stereoscopic microscope and chromatographic and spectroscopic techniques. Fresh material corresponding to each stage was fixed in F.A.A (formol, acetic acid and alcohol), included in paraffin and cutted in transversal and longitudinal sections. Sections were stained with safranine-fastgreen, photographed and decribed. The chemical composition of volatile secondary metabolites at each ontogenic stage, was extracted by solid phase micro-extraction in the headspace mode and analyzed by gas chromatography coupled to mass spectrometry. Stage I showed a meristematic mass of cells in vegetative apex and bracts, with an outline of floral whorls. In Stage III, the stamens were adnate, epipetals and didynamous, bicarpelar and syncarpic gynoecium, with superior ovary and decurrent stigma. The main secondary metabolites detected were the bicyclosesquiphellandrene followed by carvone, limonene and trans-β-farnesene, that constituted the 78% of the total relative amounts of compounds. Other metabolites such as β-copaene, γ-amorphene and cis-β-guaiene, were reported for the first time in this study. When compared to other studies, morphological differences reported in this study are possibly related to adaptation to environmental conditions or pollinators, which let us suggest that there is no specific ontogenic pattern. Similarly, the qualitative and quantitative variations in the detected compounds could be explained because one or more of them are used as precursors of others.",21250484,Anatomy | Floral morphology | Inflorescences | Lippia alba | Ontogeny | Verbenaceae | Volatile secondary metabolites,NA,NA,NA,NA,NA
