@_fa,prism:url,dc:identifier,eid,dc:title,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,source-id,fund-no,openaccess,openaccessFlag,entry_number,dc:creator,dc:description,pubmed-id,author-count.$,authkeywords,fund-acr,fund-sponsor,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84860224546,SCOPUS_ID:84860224546,2-s2.0-84860224546,"Erratum to Paternal behavior and testosterone plasma levels in the Volcano Mouse Neotomodon alstoni (Rodentia: Muridae) (Rev. Biol. Trop, (2009), 57, (433-439))",Revista de Biologia Tropical,00347744,59,4,1949,2011-12-01,December 2011,0,Journal,er,Erratum,100,0,13567,undefined,0,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053365420,SCOPUS_ID:80053365420,2-s2.0-80053365420,Biogeochemical cycles in natural forest and conifer plantations in the high mountains of Colombia,Revista de Biologia Tropical,00347744,59,4,1883-1894,2011-12-01,December 2011,20,Journal,ar,Article,100,3,13567,undefined,0,FALSE,2,León J.D.,"Plant litter production and decomposition are two important processes in forest ecosystems, since they provide the main organic matter input to soil and regulate nutrient cycling. With the aim to study these processes, litterfall, standing litter and nutrient return were studied for three years in an oak forest (Quercus humboldtii), pine (Pinus patula) and cypress (Cupressus lusitanica) plantations, located in highlands of the Central Cordillera of Colombia. Evaluation methods included: fine litter collection at fortnightly intervals using litter traps; the litter layer samples at the end of each sampling year and chemical analyses of both litterfall and standing litter. Fine litter fall observed was similar in oak forest (7.5Mg ha/y) and in pine (7.8Mg ha/y), but very low in cypress (3.5Mg ha/y). Litter standing was 1.76, 1.73 and 1.3Mg ha/y in oak, pine and cypress, respectively. The mean residence time of the standing litter was of 3.3 years for cypress, 2.1 years for pine and 1.8 years for oak forests. In contrast, the total amount of retained elements (N, P, S, Ca, Mg, K, Cu, Fe, Mn and Zn) in the standing litter was higher in pine (115kg/ha), followed by oak (78kg/ha) and cypress (24kg/ha). Oak forests showed the lowest mean residence time of nutrients and the highest nutrients return to the soil as a consequence of a faster decomposition. Thus, a higher nutrient supply to soils from oaks than from tree plantations, seems to be an ecological advantage for recovering and maintaining the main ecosystem functioning features, which needs to be taken into account in restoration programs in this highly degraded Andean mountains.",22208100,3,Litter production | Nutrient return | Quercus humboldtii | Standing litter | Tropical montane forests,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053337531,SCOPUS_ID:80053337531,2-s2.0-80053337531,"Ontogeny of strobili, sporangia development and sporogenesis in Equisetum giganteum (Equisetaceae) from the Colombian Andes",Revista de Biologia Tropical,00347744,59,4,1845-1858,2011-12-01,December 2011,6,Journal,ar,Article,100,5,13567,undefined,0,FALSE,3,Barón E.J.R.,"Studies on the ontogeny of the strobilus, sporangium and reproductive biology of this group of ferns are scarce. Here we describe the ontogeny of the strobilus and sporangia, and the process of sporogenesis using specimens of E. giganteum from Colombia collected along the Rio Frio, Distrito de Sevilla, Piedecuesta, Santander, at 2 200m altitude. The strobili in different stages of development were fixed, dehydrated, embedded in paraffin, sectioned using a rotatory microtome and stained with the safraninO and fast green technique. Observations were made using differential interference contrast microscopy (DIC) or Nomarski microscopy, an optical microscopy illumination technique that enhances the contrast in unstained, transparent. Strobili arise and begin to develop in the apical meristems of the main axis and lateral branches, with no significant differences in the ontogeny of strobili of one or other axis. Successive processes of cell division and differentiation lead to the growth of the strobilus and the formation of sporangiophores. These are formed by the scutellum, the manubrium or pedicel-like, basal part of the sporangiophore, and initial cells of sporangium, which differentiate to form the sporangium wall, the sporocytes and the tapetum. There is not formation of a characteristic arquesporium, as sporocytes quickly undergo meiosis originating tetrads of spores. The tapetum retains its histological integrity, but subsequently the cell walls break down and form a plasmodium that invades the sporangial cavity, partially surrounding the tetrads, and then the spores. Towards the end of the sporogenesis the tapetum disintegrates leaving spores with elaters free within the sporangial cavity. Two layers finally form the sporangium wall: the sporangium wall itself, with thickened, lignified cell walls and an underlying pyknotic layer. The mature spores are chlorofilous, morphologically similar and have exospore, a thin perispore and two elaters. This study of the ontogeny of the spore-producing structures and spores is the first contribution of this type for a tropical species of the genus. Fluorescence microscopy indicates that elaters and the wall of the sporangium are autofluorescent, while other structures induced fluorescence emitted by the fluorescent dye safranin O. The results were also discussed in relation to what is known so far for other species of Equisetum, suggesting that ontogenetic processes and structure of characters sporoderm are relatively constant in Equisetum, which implies important diagnostic value in the taxonomy of the group.",22208097,5,Autofluorescence | Equisetum | Induced fluorescence | Sporangium ontogeny | Spores | Sporogenesis | Strobilous,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053336545,SCOPUS_ID:80053336545,2-s2.0-80053336545,Giant eunicid polychaetes (Annelida) in shallow tropical and temperate seas,Revista de Biologia Tropical,00347744,59,4,1463-1474,2011-12-01,December 2011,10,Journal,ar,Article,100,3,13567,undefined,0,FALSE,4,Salazar-Vallejo S.I.,"Some species of Eunice might reach giant size, often being longer than 2m, and they are known from tropical and temperate seas. Despite their large size and recent internet notoriety, there remain some taxonomic problems in large-sized eunicids, especially since original descriptions were brief and type materials are often missing. As a mean to encourage the solution of this situation, we review the historical progress in the taxonomy of the group, including some comments on generic and specific delineation, and recommend some critical steps to solve the current confusion. These ideally would include collecting in type localities, evaluate ontogenetic morphological changes, and generate some molecular analysis to complement the morphological approach.",22208065,3,Caribbean sea | Eunice | Eunicidae | Indian Ocean | Leodice | Mediterranean | Pacific ocean | Red sea,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053335318,SCOPUS_ID:80053335318,2-s2.0-80053335318,"Age, growth and mortality of clarias gariepinus (Siluriformes: Clariidae) in the mid-cross river-floodplain ecosystem, Nigeria",Revista de Biologia Tropical,00347744,59,4,1707-1716,2011-12-01,December 2011,4,Journal,ar,Article,100,1,13567,undefined,0,FALSE,5,Okogwu O.I.,"Artisanal fishers take advantage of this species annual breeding migration from the lower Cross River to the floodplain lakes in Mid-Cross River during the rainy season, and some migrant stocks are not able to spawn. Since there is a lack of information on this species population dynamics in the Mid-Cross area, this study aimed to evaluate the age, growth and mortality to support the development of effective management plans. For this, monthly overnight gill net catches (from 6 to 72mm mesh sizes) were developed between March 2005 and February 2007. Growth parameters were determined using the FiSAT II length-frequency distribution. A total of 1 421 fish were collected during the survey. The asymptotic growth (L∞) was 80.24cm, growth rate (K) was 0.49/year while the longevity was 6.12years. The annual instantaneous rate of total mortality (Z) was 2.54/year and the natural mortality (M) was 0.88. Fishing mortality (1.66/year) was higher than the biological reference points (Fopt=0.83 and Flimit=1.11) and the exploitation rate (0.66) was higher than the predicted value (Emax=0.64) indicating that C. gariepinus was over exploited in the Mid-Cross River-Floodplain ecosystem. Some recommended immediate management actions are to strengthen the ban of ichthyocide fishing, closure of the floodplain lakes for most of the year, restricted access to the migratory path of the fish during the flood period and vocational training to the fishers. In order to recover and maintain a sustainable harvest, I suggest that a multi-sector stakeholder group should be formed with governmental agents, community leaders, fishers, fisheries scientists and non-governmental organizations. These short and long term measures, if carefully applied, will facilitate recovery of the fishery.",22208087,1,Age | Clarias gariepinus | Cross river | Floodplain | Nigeria | Over exploitation,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053310894,SCOPUS_ID:80053310894,2-s2.0-80053310894,"The orchid community in the Biosphere Reserve Sierra del Rosario, Cuba",Revista de Biologia Tropical,00347744,59,4,1805-1812,2011-12-01,December 2011,10,Journal,ar,Article,100,2,13567,undefined,0,FALSE,6,García-González A.,"The Biosphere Reserve Sierra del Rosario is located in Western Cuba and two different areas can be characterized: one for tourism and forestry activities, El Taburete (ET), and the other for conservation and research, El Salón (ES). With the aim to know the effect of visitation activities on the orchid community in the Reserve, a comparative study between the disturbed area and the preserved one was undertaken. The field work, held between 2004-2005, consisted on four transects in each locality (10x100m, 0.1ha). For each transect, the existing orchid species (terrestrial and epiphytic), kind of phorophytes, and level of occupation were identified. Different analysis were considered: dominance-diversity, Sorensen similarity, the dominance index and the relative abundance of the most abundant species. Our results showed 27 phorophytes species, 20 species in ET (98 phorophytes), and 16 species in ES (76 phorophytes). A total of 22 genus, 26 species and 8 326 individuals of orchids were identified. In ET, 17 genus, 18 species and 5 075 individuals were found, while for ES were 15 genus, 18 species and 3 251 individuals. Both locations have a similarity of species of 57.14%. Oeceoclades maculata, an invasive species, was the most abundant. The most dominant species were Microchilus plantagineus in ES and O. maculata in ET. The dominance in ET was of 81.79%, while in ES of 69.27%. It is important to sketch management plans focused on controlling O. maculata in both areas, and the restoration of the disturbed area.",22208094,2,Diversity index | Epiphytic orchid | Lighting | Oeceoclades maculate | Phorophytes | Similarity index | Terrestrial orchid,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053308304,SCOPUS_ID:80053308304,2-s2.0-80053308304,"Seasonal diet composition of fundulus lima (cyprinodontiformes: Fundulidae) in two oasis systems of Baja California Sur, Mexico",Revista de Biologia Tropical,00347744,59,4,1669-1678,2011-12-01,December 2011,1,Journal,ar,Article,100,4,13567,undefined,0,FALSE,7,Zamorano D.A.,"Fundulus lima inhabits river drainage systems and is threatened after the introduction of cichlids in the area. To support conservation programs, the spatial and temporal variation of the diet composition of this endangered killifish, was determined in two oasis systems of Baja California Sur, Mexico (San Ignacio and La Purisima river drainages), during rainy and dry seasons. F. lima was captured by using passive and active capture techniques. A total of 192 stomach contents of F. lima was analyzed. The contribution of each prey item in the diet composition was quantified by means of the indices of occurrence frequency (% OF), numerical (%N) and volume (%V) percentages. The relative importance of each prey item was determined according to the percentage of the Relative Importance Index (%RII). The similarity of the diet was calculated between hydrological basins (populations combined by basin), seasons (rainy versus dry months), sexes and size classes, by using Schoener's resource overlap index. We used two ecological indices to determine the type of feeding strategy exhibited by the fish: (1) niche breadth of Levins and (2) proportional similarity of Feisinger. Sand was the most abundant item in the stomach content of killifishes from both drainages (39% and 47%, respectively). Diet composition was similar for both drainages (74%) as well as among their respective size classes; however, it was different between sexes. In both drainages, F. lima predated mainly on diatom algae, dipterous and trichopteran larvae, and fish scales during the dry season; while it preferred dipterous larvae, filamentous algae and ostracods in the rainy season. A feeding strategy of opportunist type was exhibited by F. lima during the rainy season, changing to specialist type during the dry season. This information will be the basis for future investigations related to the conservation of this endangered species and its habitat.",22208083,4,Baja California sur | Diet | Feeding strategy | Fundulus lima | Oasis systems,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053292994,SCOPUS_ID:80053292994,2-s2.0-80053292994,The bobbit worm dilemma: A case for DNA,Revista de Biologia Tropical,00347744,59,4,1475-1477,2011-12-01,December 2011,6,Journal,ar,Article,100,1,13567,1036186,0,FALSE,8,Schulze A.,NA,22208066,1,NA,NSF,National Science Foundation,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053292226,SCOPUS_ID:80053292226,2-s2.0-80053292226,Local technicians in long-term research projects: Evaluation of 25 years experience in an active tropical research station,Revista de Biologia Tropical,00347744,59,4,1455-1462,2011-12-01,December 2011,2,Journal,ar,Article,100,2,13567,undefined,0,FALSE,9,Hurtado J.,"Most field ecology is conceived and financed by scientists from urban areas but is actually carried out in rural areas. Field staff can either be imported from urban areas or recruited from local residents. We evaluated the advantages and disadvantages of involving rural residents as local technicians over a 25- year period at active field research site in Costa Rica. We defined ""local technicians"" as local residents with no university education who acquired significant experience in field data collection, data management and/or laboratory work. We analyzed the experiences of incorporating these technicians into field research in developing countries from the points of view of scientist and of the local technicians themselves. Primary data were written responses from to a standardized survey of 19 senior scientists and Ph.D. students, and results from standardized personal interviews with 22 local technicians. Researchers highlighted the advantages of highly-skilled technicians with minimal staff turnover, as well as the technicians' knowledge of local ecological conditions. Local technicians considered the primary advantages of their jobs to be opportunities for continuing education training in science as well as cultural enrichment through interactions with people of different cultures. The main challenges identified by researchers were the lack of long-term funding for projects and extended training required for local technicians. Local technicians can be of great benefit to research projects by providing high-quality data collection at reasonable costs with low staff turnover. Over the last 25 years the research model at the field station we studied has evolved to the point that most long-term projects now depend heavily on local technicians. This model of involving local technicians in long-term research has multiple benefits for the researchers, the technicians and the local community, and could be adapted to a variety of settings in rural areas of developing countries.",22208064,2,Costa rica | La selva biological station | Local technicians | Local training | Long-term tropical research,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/80053289564,SCOPUS_ID:80053289564,2-s2.0-80053289564,"Tradicional use of medicinal plants with diuretic properties at Quemado de Güines Municipality, Cuba",Revista de Biologia Tropical,00347744,59,4,1859-1867,2011-12-01,December 2011,8,Journal,ar,Article,100,7,13567,undefined,0,FALSE,10,Machín M.P.,"Medicinal plants are highly rich in Cuba and an amount of 179 species have been reported to be used by the population for diuretic purposes, nevertheless, no experimental validation has supported this effect. This study presents the relative importance of the medicinal plant species most widely used for diuretic purposes in two communities of Quemado de Guines Municipality, Villa Clara province. The information was obtained through the application of an interview to 85 inhabitants, from which 80 were random surveys to people with a great knowledge of plants, and five to herbalists and doctors practicing natural medicine. The etnopharmacological information was registered (gathered) by means of the ""Tradicional of the Medicine of the Island"" (TRAMIL) methodology and the interesting species were identified by a botanist and deposited in the Herbarium of the Central University ""Marta Abreu"" from Villa Clara, registered in the Index Herbarium, published periodically by the International Association for Plant Taxonomy. The data was analyzed by means of the indexes of use values and significant use level after TRAMIL. From the total of 19 botanical families, 26 medicinal species were identified, and 10 plants resulted with higher significant use and higher indexes of use values. From the plants reported as diuretics, 53.8% have not been experimentally validated in Cuba, the rest of the identified species have been validated at a preclinical level in some centers in the country, but its use have not been authorized as phytochemicals by the Cuban Regulatory Agency. The documentation related to the use of medicinal plants in the studied areas reveals that the traditional knowledge continues deeply rooted in the communities, and popular wisdom is kept through the representative images of the herbalist and people with considerable knowledge about this topic.",22208098,7,Diuretic | Ethnobotanic | Medicinal plant | Quemado de güines | Traditional knowledge,NA,NA,NA,NA,NA
