@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor,prism:doi,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/84885946884,SCOPUS_ID:84885946884,2-s2.0-84885946884,"Fish communities and trophic metrics as measures of ecological degradation: A case study in the tributaries of the river ganga basin, India",Kumar Dubey V.,Revista de Biologia Tropical,00347744,22152075,61,3,1351-1363,2013-09-01,September 2013,"In India, freshwater aquatic resources are suffering from increasing human population, urbanization and shortage of all kind of natural resources like water. To mitigate this, all the major rivers have been planned for a river-interlinking through an interlinking canal system under a huge scheme; yet, the baseline information on ecological conditions of those tropical rivers and their fish communities is lacking at present. In view of that, the present study was undertaken to assess the ecological condition by comparing the trophic metrics of the fish community, conservation status and water chemistry of the two tropical rivers of the Ganga basin, from October 2007 to November 2009. The analysis of trophic niches of the available fish species indicated dominancy of carnivorous (19 species) in river Ken and omnivorous (23 species) in Betwa. The trophic level score of carnivorous species was recorded similar (33.33%) in both rivers, whereas omnivorous species were mostly found in Betwa (36.51%) than Ken (28.07%). Relatively undisturbed sites of Betwa (B1, B2 and B3) and Ken (K2, K3 and K5) were characterized by diverse fish fauna and high richness of threatened species. The higher mean trophic level scores were recorded at B4 of Betwa and K4 of Ken. The Bray-Curtis index for trophic level identified the carnivorous species (>0.32) as an indicator species for pollution. Anthropogenic exposure, reflected in water quality as well as in fish community structure, was found higher especially in the lower stretches of both rivers. Our results suggest the importance of trophic metrics on fish community, for ecological conditions evaluation, which enables predictions on the effect of future morphodynamic changes (in the post-interlinking phases), and provide a framework and reference condition to support restoration efforts of relatively altered fish habitats in tropical rivers of India.",7,24027928,Journal,ar,Article,100,4,4,Fish community | India | River interlinking | Similarity index | Threats | Trophic metrics,13567,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885946854,SCOPUS_ID:84885946854,2-s2.0-84885946854,"Talla de captura y reproducción de la langosta verde panulirus gracilis (decapoda: Palinuridae) en la costa de manabí, Ecuador",Figueroa J.,Revista de Biologia Tropical,00347744,22152075,61,3,1189-1199,2013-09-01,September 2013,"Green spiny lobster Panulirus gracilis is an economical resource of high importance for fishermen populations in the continental coast of Ecuador. Traditionally, this specie is captured using gillnets and semiautonomous diving system (hookah). With the objective to analyze some biological aspects about this fishery in Manabí, we examined lengths of capture (carapace length: CL and abdominal length: AL), sex ratio and reproductive aspects in females between June and September 2010. A total of 415 females and 288 males were captured with gillnets in El Mangle-Puerto Cayo (Central coast, depth: 3-6m), and by diving in Puerto López-Salango (South coast, depth: 7-12m). Sex ratio from males to females was 0.72:1 for gillnets, and 0.63:1 for diving. Lobsters captured by diving were larger (84.1±3.3mm CL) than lobsters captured by gillnets (73.4±2.9mm CL). Percentage of ovigerous females captured by diving was higher than females captured by gillnets. There was a pattern between lengths by sex (relation AL vs. CL); females were larger than males at same CL. Differences found between lengths and the occurrence of ovigerous females could be related with depth where capture methods are used. A total of 98% of landed lobsters were smaller than legal captured length and we recommend the establishment of a monitoring evaluation program during the fishing season, and a ban, in order to evaluate the natural fluctuation in length and reproductive stages of green spiny lobster in the coasts of Manabí.",1,24027917,Journal,ar,Article,100,2,2,Diving | Ecuador | Gillnets | Green spiny lobster | Length of capture | Panulirus gracilis | Reproductive aspects,13567,undefined,0,FALSE,2,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885944955,SCOPUS_ID:84885944955,2-s2.0-84885944955,"State strategy for cycad (zamiaceae) conservation: A proposal for the state of hidalgo, Mexico",Vite A.,Revista de Biologia Tropical,00347744,22152075,61,3,1119-1131,2013-09-01,September 2013,"Mexico has the second largest cycad diversity in the world, and the Sierra Madre Oriental (SMO) is one of the richest biogeographic regions for these plants. Despite there is a general Cycad National Program in the country, there are no state-level cycad conservation strategies or programs. Thus the aim of this study was to propose a cycad conservation strategy for the state of Hidalgo, which is located in the Southern part of the SMO. For this, a cycad species inventory was made in the state, for which three methods were used: review of published literature; consultation in the main Mexican herbaria to verify botanical specimens; and exhaustive field research to compare findings with previously reported species and to recognize new records at the county and state level. The proposed research work strategy combined the following elements: prioritize the county and local areas with greatest cycad species richness; prioritize the species least resistant to environmental change and/or having restricted geographic distribution; and to consider the main uses of these plants by local residents. The results showed that Hidalgo has three genera and eight species of cycads: Ceratozamia fuscoviridis, C. latifolia, C. mex-icana, C. sabatoi, Dioon edule, Zamia fischeri, Z. loddigesii and Z. vazquezii, all of which are considered by the International Union for Conservation of Nature (IUCN). This study added two new species records for Hidalgo and 21 at the county level. The species are distributed in 26 counties, of which Chapulhuacán and Pisaflores are notable for their high species richness. Hidalgo has the fourth-greatest cycad species richness among Mexican states, although its area accounts for only 1.07% of the country. The state's diversity is greater than in other states with larger area, and even than in some other entire countries in Mesoamerica. The presented state cycad conservation strategy proposes that a total of some 11 325ha to be conserved in nine zones, including different vegetation types, distributed in seven counties. The strategy involves a mixed scheme that incorporates conservation in Protected Natural Areas (ANP), Small Farmer Reserves (Reservas Campesinas) and Environmental Management Units (UMA in Spanish). This proposal will be useful for government agencies to take into account in the process of designating land use for the Cloud Forest Biological Corridor (CBBMM in Spanish), a ANP in creation. The state of Hidalgo urgently needs a detailed analysis of trends in changes in vegetation cover and land use, and demographic studies of the cycads. It is recommended that the implementation phase of this state strategy be carried out jointly with local communities, academia, and state and federal agencies responsible for biodiversity conservation.",4,24027912,Journal,ar,Article,100,3,3,Community-based conservation | Cycad | Cycad national program | Sierra madre oriental | UMAS,13567,undefined,0,FALSE,3,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885944038,SCOPUS_ID:84885944038,2-s2.0-84885944038,Growth and biochemical composition of Thalassiosira pseudonana (Thalassiosirales: Thalassiosiraceae) cultivated in semicontinuous system at different culture media and irradiances,Vásquez-Suárez A.,Revista de Biologia Tropical,00347744,22152075,61,3,1003-1013,2013-09-01,September 2013,"Thalassiosira pseudonana is a marine Bacillariophyta commonly used as live feed in mariculture. The growth rate and biochemical composition of microalgae are highly influenced by environmental factors such as, irradi-ance and nutrient availability. The aim of this study was to investigate the influence of three irradiances (60, 120 and 180μE/m2.s) and two culture media (Algal and Humus) on growth and biochemical composition of this diatom. The microalga was grown semicontinuously at a daily renewal rate of fresh media of 30%, 37‰ salinity, 25±1<o<C and constant aeration (200mL/min). The cell densities (cel/mL) and contents of protein, lipid, carbohydrate, chlorophyll a, total carotenoids, and fatty acids, showed significant differences (p<0.05) between treatments. During steady-state phase, the maximal cell density, and lipid and carbohydrate contents were of 4.62x106cel/mL, 20.3±2.28% and 16.6±2.43%, respectively, and were achieved in Humus medium at 180μE/ m2.s. Moreover, highest protein contents (45.0±5.05%) and total carotenoids (0.5±0.01%) were obtained in Algal medium at 180μE/m2.s. Chlorophyll a (0.93±0.04%) was higher at low irradiances in Algal medium. In both media, the fatty acids unsaturation degree was lower with increasing irradiance, being eicosapentaenoic acid, 20:5 n-3 (EPA) most represented (6.20%) in Algal medium at 60μE/m2.s. This strain of T. pseudonana showed multiple physiological responses to changes in culture conditions, and may be cultivated with an alternative medium, which reduced the operating costs and allowed a high nutritional biomass production value for animals under culture.",4,24027903,Journal,ar,Article,100,5,5,Fatty acids | Native | Semicontinuous culture | Thalassiosira pseudonana | Tropical aquaculture,13567,undefined,0,FALSE,4,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885941933,SCOPUS_ID:84885941933,2-s2.0-84885941933,Species composition and bathymetric distribution of gorgonians (Anthozoa: OCTOCORALLIA) on the southern Mexican pacific coast,Abeytia R.,Revista de Biologia Tropical,00347744,22152075,61,3,1157-1166,2013-09-01,September 2013,"Gorgonians are important components of coastal ecosystems, as they provide niches, natural compounds with medical applications and are used as bioindicators. Species composition and assemblage structure of gorgonians (Anthozoa: Octocorallia) were studied along a bathymetric profile in the Southern Mexican Pacific coast. Species composition was based on specimens collected within a depth range of 0-70m in 15 sites. The relative abundance of species was determined in six sites at four depths (5, 10, 20 and 25m) using three 10m2 transects at each depth level. Twenty-seven species of gorgonians belonging to six genera and three families were registered. The species composition varied with depth: 11 species were distributed between 0-25m depth, while 17 species were found between 40-70m depth interval. The shallow zone is characterized by a relatively large abundance of gorgonians, dominated by colonies of Leptogorgia cuspidata and L. ena. In contrast, the deepest zone was characterized by relatively low abundance of gorgonians, dominated by L. alba, the only species observed in both depth intervals. The similarity analysis showed differences in the composition and abundance of species by depth and site, suggesting that the main factor in determining the assemblage structure is depth. Results of this study suggest that the highest richness of gorgonian species in the study area may be located at depths of 40-70m, whereas the highest abundances are found between 5 and 10m depth. This study represents a contribution to the poorly known eastern Pacific gorgonian biota.",7,24027914,Journal,ar,Article,100,3,3,Abundance | Bathymetrical distribution | Diversity | Gorgonians assemblages | Mexican pacific,13567,undefined,0,FALSE,5,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885939653,SCOPUS_ID:84885939653,2-s2.0-84885939653,Individual growth modeling of the penshell atrina maura (bivalvia: Pinnidae) using a multi model inference approach,Aragón-Noriega E.,Revista de Biologia Tropical,00347744,22152075,61,3,1167-1174,2013-09-01,September 2013,"Growth models of marine animals, for fisheries and/or aquaculture purposes, are based on the popular von Bertalanffy model. This tool is mostly used because its parameters are used to evaluate other fisheries models, such as yield per recruit; nevertheless, there are other alternatives (such as Gompertz, Logistic, Schnute) not yet used by fishery scientists, that may result useful depending on the studied species. The penshell Atrina maura, has been studied for fisheries or aquaculture supplies, but its individual growth has not yet been studied before. The aim of this study was to model the absolute growth of the penshell A. maura using length-age data. For this, five models were assessed to obtain growth parameters: von Bertalanffy, Gompertz, Logistic, Schnute case 1 and Schnute and Richards. The criterion used to select the best models was the Akaike information criterion, as well as the residual squared sum and R2 adjusted. To get the average asymptotic length, the multi model inference approach was used. According to Akaike information criteria, the Gompertz model better described the absolute growth of A. maura. Following the multi model inference approach the average asymptotic shell length was 218.9mm (IC 212.3-225.5) of shell length. I concluded that the use of the multi model approach and the Akaike information criteria represented the most robust method for growth parameter estimation of A. maura and the von Bertalanffy growth model should not be selected a priori as the true model to obtain the absolute growth in bivalve mollusks like in the studied species in this paper.",10,24027915,Journal,ar,Article,100,1,1,Akaike information criteria | Atrina maura | Growth models | Multi model inference,13567,undefined,0,FALSE,6,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885938858,SCOPUS_ID:84885938858,2-s2.0-84885938858,"Apparent carbohydrate and lipid digestibility of feeds for whiteleg shrimp, litopenaeus vannamei (decapoda: Penaeidae), cultivated at different salinities",Gucic M.,Revista de Biologia Tropical,00347744,22152075,61,3,1201-1213,2013-09-01,September 2013,"Whiteleg shrimp, Litopenaeus vannamei is one of the most commercially farmed species worldwide because of its fast growth, good survival rate at high farming densities, and osmoregulatory capacity, which makes it an excellent candidate for cultures at different salinities. The knowledge of shrimp nutritional requirements is critical in the formulation of diets to allow optimal growth at different environmental conditions and development stages. The effect of salinity on apparent digestibility of shrimp feed is not well known, and this information is required in shrimp diet formulation. For this purpose, the apparent digestibility coefficients of carbohydrates (ACD) and lipids (ALD) were determined for juvenile whiteleg shrimps under controlled culture conditions. We evaluated the apparent digestibility of six commercial (D1:37CP, D2:38CP, D3:39CP, D4:34CP, D5:35CP, and D6:37CP) and two experimental (E1:33CP and E2:33CP) diets for juvenile whiteleg shrimp cultivated at three salinities (5, 35 and 50psu) in 60L aquariums. ACD and ALD were determined in vivo using chromic oxide as an inert marker. Our results showed that ALD in most cases was over 80%, independent of salinity, except the E1:33CPdiet which had 74.0% at 50psu. Diet D3:39CP showed the highest ALD coefficient (90.1 and 90.6% at 5 and 35psu, respectively). For ACD, differences were detected between commercial and experimental diets at every salinity level, although salinity effect on ACD was not significant. Diet D4:34CP had the highest coefficient (92.4%) at 5psu, and E2:33CP at 35 and 50psu (97.3 and 94.7%). This study demonstrated that there is no significant effect of saline variations on carbohydrate and lipid digestibility by juvenile whiteleg shrimp, under the experimental conditions.",8,24027918,Journal,ar,Article,100,5,5,Diets | Different salinities | Digestibility | Litopenaeus vannamei,13567,undefined,0,FALSE,7,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885938683,SCOPUS_ID:84885938683,2-s2.0-84885938683,"Reproduction of blackfin tuna thunnus atlanticus (perciformes: Scombridae) in saint peter and saint paul archipelago, equatorial atlantic, Brazil",Bezerra N.P.A.,Revista de Biologia Tropical,00347744,22152075,61,3,1327-1339,2013-09-01,September 2013,"The reproduction of Blackfin tuna Thunnus atlanticus has been described for coastal regions, and for a long time, this species was considered to be a strictly continental spawner. Recently, this species was observed around a seamount habitat 500 nautical miles Northeast of Brazil, located between South America and Africa. In this study we describe the reproductive biology of Blackfin tuna at Saint Peter and Saint Paul Archipelago (SPSPA). Male and female gonads were sampled from December 2008 to July 2010, and analyzed macro and microscopically. A total of 361 fish were sampled (247 males and 114 females). Males were more common than females, with a sex ratio of 2.2 ♂:1♀. The fork length (FL) of all sampled specimens ranged from 38 to 98cm, and larger length classes were more frequent in males. It was possible to distinguish six maturity phases for females: immature, developing, spawning capable, actively spawning, regressing and recovering. Five phases were identified for males: immature, developing, spawning capable, actively spawning and recovering. The gonad index (GI) mean monthly values ranged from 6.6 (SD=4.1) to 58.4 (SD=34.7) for females, and from 2.6 (SD=1.3) to 66.2 (SD=30.4) for males. For both sexes, the largest GI values were observed at the beginning of the first semester of the year. Size at first maturity was estimated at 48cm FL and 55cm FL for females and males respectively. Approximately 80% of the specimens were adults and considered to be in reproductive conditions. Histological analysis of the ovaries and testes showed that most of the specimens were sexually mature and were reproductively active during all months of the year. However, females with mature ovaries, with large amounts of hydrated oocytes and post-ovulatory follicles, were mainly found from December to March, thus these months may constitute the main spawning season in SPSPA. Batch fecundity varied between 272 025 and 1 140 584 oocytes for 56 and 68cm FL females respectively. Oocyte development and spawning patterns suggest a multiple spawning behavior. The results revealed that Blackfin tuna is using the SPSPA as a spawning ground, similar to other species commonly observed in the same area during the same reproductive season.",6,24027926,Journal,ar,Article,100,6,6,Gonad index (GI) | Reproduction | Reproductive cycle | Seamounts | Spawning season | T. atlanticus,13567,undefined,0,FALSE,8,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885935585,SCOPUS_ID:84885935585,2-s2.0-84885935585,Sporogenesis and spores of equisetum bogotense (equisetaceae) from mountain areas of colombia,Rincón-Baron E.,Revista de Biologia Tropical,00347744,22152075,61,3,1067-1081,2013-09-01,September 2013,"Sporogenesis and spores of Equisetum bogotense (Equisetaceae) from mountain areas of Colombia. Studies on some reproductive traits in Equisetum species are scarce and valuable to understand species distribution. Therefore, a detailed study of the sporogenesis process and spore development in E. bogotense is presented, with an analysis of the main events during meiosis, maturation of spores, spore wall ultrastructure, orbicules and elaters. Specimens were collected from 500 to 4 500m in Cauca, Colombia. Strobili at different maturation stages were fixed, dehydrated, embedded in resin, and ultra-microtome obtained sections were stained with Toluidine blue. Observations were made with optical microscopy with differential interference contrast illumination technique (DIC), transmission and scanning electron microscopy (TEM and SEM). Ultrathin sections (70-80μm) for TEM observations were stained with uranyl acetate and lead citrate; while samples for SEM observations, were fixed, dehydrated in 2.2-dimethoxypropane and dried at critical point as in standard methods. Strobili have numerous mature sporangiophores, each one with a peltate structure, the scutel-lum, bearing five-six sessile sporangia attached to the axis of strobilus by the manubrium. Immature sporocytes (spore mother cells) are tightly packed within the young sporangia. The sporocytes quickly undergo meiosis, by passing the stage of archesporium and give origin to tetrads of spores. The tapetum loses histological integrity during early stages of sporogenesis, intrudes as a plasmodial mass into the cavity of the sporangium, partially surrounding premeiotic sporocytes, and then, tetrads and adult spores. The tapetum disintegrates towards the end of the sporogenesis, leaving spores free within the sporangial cavity. Spores present several cytological changes that allow them to achieve greater size and increase the number of plastids, before reaching the adult stage. Sporoderm includes three layers external to the cytoplasmic membrane of the spore cell, and they are pseudoen-dospore, exospore and perispore. Viewed with SEM, the exospore is smooth to rugulate, with micro perforations, while the perispore is muriform, rugate, with narrow, delicate, discontinuous, randomly distributed folds delimiting incomplete, irregular areolae, externally covered by of different size, densely distributed orbicules. These orbicules are also found all over the external face and margins of the elaters, while the internal face is smooth and lack orbicules. Viewed with TEM, the exospore is a thick layer of fine granular material, while perispore is a thinner layer of dense, separate orbicules. The elaters are composed by two layers of fibrillar material: an inner layer with longitudinally oriented fibrils and an outer, thicker and less dense layer with fibrils transversely fibrils and abundant, external orbicules. It is suggested that the processes of ontogeny and characters of the sporoderm are relatively constant in Equisetum; however, sporogenesis in E. bogotense is synchronous and this condition has been observed so far only in E. giganteum, a tropical genus also found in Colombia.",3,24027908,Journal,ar,Article,100,3,3,Exospore | Orbicules | Perispore | Spores | Sporoderm ultrastructure | Sporogenesis,13567,undefined,0,FALSE,9,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84885931725,SCOPUS_ID:84885931725,2-s2.0-84885931725,"Altitudinal richness patterns of papilionidae, pieridae and nymphalidae (lepidoptera) in mexican mountain areas",Sabaté D.M.,Revista de Biologia Tropical,00347744,22152075,61,3,1509-1520,2013-09-01,September 2013,"Butterflies constitute an useful group to investigate biodiversity patterns in specific geographic areas. The aim of this study was to describe the altitudinal patterns distribution and to recognize the main grouping factors of these families. We conducted a comparative study between the butterfly fauna (Papilionidae, Pieridae and Nymphalidae) of five Mexican mountain ranges (Sierra de Manantlán, Sierra de Atoyac de Álvarez, Loxicha Region, Teocelo-Xalapa and Sierra de Juárez), that included 34 sites of altitudinal ranges from 100 to 2 820m. Data was obtained from the Zoology Museum of the National University of Mexico, and comprised more than 60 000 butterfly records of 398 taxa (subspecies level) proceeding during the last 35 years. Fauna similarity between localities were analyzed using a cluster analysis by Sorensen similarity coefficient. Species richness showed a general tendency to decrease with altitude; the main difference was found between the locality with higher altitude and the rest of the sites. The principal factors affecting the identified clusters followed this order: the location in Pacific or Atlantic slope, and location on a particular mountain range. Three altitudinal levels (low elevations, up to 1 200m; intermediate elevations, from 1 200 to 1 800m; and high elevations, from 1 800 to 2 500m) were described in accordance to their main characteristic taxa. While Neartic elements were common in the highest altitudinal floor, Neotropical taxa were common in the lowest one. it was more difficult to characterize the intermediate level in which a high number of localities were clustered; this intermediate level was characterized by the presence of some endemic species. The results suggest that historical factors are preeminent in butterfly fauna composition in these areas. Future studies may include other Mexican mountain areas to obtain more information on the different factors (latitude, altitude, slope) influencing biodiversity patterns.",4,24027939,Journal,ar,Article,100,2,2,Altitudinal distribution | Butterflies | Faunistic similarity | Papilionoidea | Sørensen similarity coefficient,13567,undefined,0,FALSE,10,NA,NA,NA,NA,NA
