@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:eIssn,prism:doi,authkeywords,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/85047586126,SCOPUS_ID:85047586126,2-s2.0-85047586126,"Loss of pubescence and their physiological effects on endangered rosette Espeletia paipana (Asteraceae), Boyacá-Colombia",Buitrago S.,Revista de biología tropical,00347744,63,3,845-858,2015-09-01,1 September 2015,"Espeletia paipana is an endangered giant caulescent rosette endemic to (Asteraceae), Boyacdi-Colombia. Espelelia paipana is an endangered giant caulescent rosette endemic to Boyacá department. In order to establish whether a plant disease, characterized by the loss of leaf pubescence (PPF) and attributed to the pathogenic action of endophytic microorganisms, is the cause of the increasing mortality of population, the physiological performance of the species was evaluated with and without PPF. The incidence (% leaves affected in each of the 27 individuals in the current population) and severity (% leaf area affected on 135 leaves) of the PPF were monitored over a period of nine months, in three topographic zones of different heights. During four consecutive days in both dry and wet season, physiological parameters as chlorophyll content index (ICC), stomatal conductance (Gs) and leaf temperature (Tfol) were measured in healthy and affected leaves. The study was complemented with isolations and pathogenicity tests to identify the causal agent of the PPF. Overall, although the disease incidence in E. paipana was constant over time, the severity progressed surpassing 60 % of the leaf area. The increasing of severity in the upper side of leaves was attributed to the photo-oxidative effect of high radiation between 11:00 h and 14:00 h of the day. The reduction of functional leaf area because of the PPF, led to low Gs with serious implications for carbon fixation and thus limiting growth and biomass renewal. The effect of season in Tfol varied according to the topographic zone, while the ICC did not present a defined pattern with respect to the PPF; its low values could be associated with the production of other pigments. Finally, although it is not possible to ensure that Botrytis sp. is the causative of the loss of leaf pubescence, it is postulated as the most probably causal agent due to its high representativeness in the isolates and its infectious potential during the pathogenicity tests. In general, the reduction of healthy leaf biomass and decrease of physiological performance suggest that PPF affect negatively the survival of E. paipana, which means that the use of biological controllers could be a strategy to mitigate its effect on the population.",0,26666137,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,1,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84936818274,SCOPUS_ID:84936818274,2-s2.0-84936818274,Defaunation affects astrocaryum gratum (arecales: Arecaceae) seed survivorship in a sub-montane tropical forest,Aliaga-Rossel E.,Revista de Biologia Tropical,00347744,63,1,57-68,2015-07-07,7 July 2015,"Animal-plant interactions in Neotropical forests are complex processes. Within these processes, mid- to large-sized mammals consume fruits and seeds from several species; however, because of their size these mammals are overhunted, resulting in defaunated forests. Our objective was to evaluate and compare seed removal and survivorship in a forest with no hunting, a forest with moderate or reduced hunting, and a forest with higher hunting pressure. We examined the interaction between Astrocaryum gratum and white lipped peccary (Tayassu pecari) to tease apart the defaunation process. To isolate and evaluate mammal seed removal rates and to identify the causes of mortality on A.gratum, under the three different hunting pressures forests, we used exclosures in each one. In four different forest-patches for each forest, we positioned a block-treatment consisting of three exclosures (total exclusion, peccary exclusion, and control), randomly distributed 5m apart and the block-treatments spaced 50-75m apart from one another. We established 15 treatments in total for each patch (5 blocks per patch). There were 20 blocks within each forest type. For total exclusion, all vertebrates were excluded using galvanized wire mesh exclosures. The second, the peccary exclusion, was designed to stop peccaries from entering treatment units, providing access only to small vertebrates; larger mammals were able to access the treatment unit by reaching over the sides and the open top; finally, the Control allowed full access for all mammals. Fresh A. gratum fruits were collected from the forest floor under different adult trees throughout the study area. In each exclosure treatment, twenty A.gratum seeds were placed, and their removal was recorded. In total, 3 600 seeds were analyzed. Seed survival was lower in unhunted forest compared to areas with moderate hunting and forest with a higher hunt pressure, supporting the hypothesis of the importance of mammals in seed removal. From the initial 400 seeds left for each control exclosure in each type of forest, there was a significant difference between the seed removal; 1.75% seeds in the unhunted forest remained; 43.5% in the moderately hunted forest, and 48.5% in hunted forest. The main cause of seed mortality was white lipped peccaries; while in the forests without them, the main removal was caused by rodents and a higher insect infection was observed in the heavily hunted forest. Our results indicated that defaunation affects seed survivorship.",4,26299115,Journal,ar,Article,100,2,2,13567,undefined,1,TRUE,2,22152075,10.15517/rbt.v63i1.13042,Bolivia | Chonta Palm | Defaunation | Empty Forest | Half-Empty Forest,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936806323,SCOPUS_ID:84936806323,2-s2.0-84936806323,Estimation of the sampling cover for dung beetles (coleoptera: Scarabaeinae) in colombia,Noriega J.A.,Revista de Biologia Tropical,00347744,63,1,97-126,2015-07-07,7 July 2015,"The promotion of biodiversity conservation strategies must address the lack of information and the difficulty of identifying knowledge gaps that may facilitate our knowledge of different taxonomic groups. Dung beetles constitute one of those groups, despite having been proposed as an efficient bioindicator of environmental disturbance processes. In this work, we aimed to prepare a diagnosis on the state of knowledge of the subfamily Scarabaeinae, focusing on the cover sampling degree of this group in Colombia, with the purpose of identifying high-priority areas that will allow the completion of a national inventory. The work consisted of a bibliographical compilation using 12 referential databases and the examination of specimens deposited in 26 national collections. A total of 16 940 individuals were examined, finding registers for 232 species from 386 localities. The respective distribution cover maps were presented, and the cover at a national level was 10.62%. A historical analysis demonstrated a proliferation in the number of studies for the last three decades; nevertheless, a great proportion of unpublished works persists, resulting in only 64 sampled localities with published records. The localities with the greatest sampling efforts were RN La Planada, Lloro, AUN Los Estoraques, PNN Tinigua and Mariquita. Registries for all departments were available, and the best sampled ones were Cundinamarca, Antioquia, Valle del Cauca and Boyaca. The ecosystems with the greatest number of publications are the Andean pre mountain humid forest, followed by the Andean mountain humid forest and the Pacific humid forest. Other ecosystems with few studies included mangroves, desert zones, natural savannahs, palm swamps, paramos, flooding forests and agroforestry systems. The biogeographic region with the greatest number of localities was the Andean region, followed by Choco-Magdalenense and Amazonia. Our results showed that high levels of subsampling persist and that some zones lack registries, as in the case of some parks of the national system of protected areas. It is imperative that the sampling cover is extended at a national level, focusing all possible efforts on collecting in those subsampled regions that have high conservation importance, with the main goal of completing the listing of species and their distribution.",19,26299118,Journal,ar,Article,100,10,10,13567,undefined,1,TRUE,3,22152075,10.15517/rbt.v63i1.13323,Biogeographic regions | Collections | Geographic distribution | Localities | Sampling | Scarabaeidae,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936797458,SCOPUS_ID:84936797458,2-s2.0-84936797458,Anti-toxoplasma activities of methanolic extract of sambucus nigra (caprifoliaceae) fruits and leaves,Daryani A.,Revista de Biologia Tropical,00347744,63,1,7-12,2015-07-07,7 July 2015,"Toxoplasma gondii is an obligatory intracellular parasite that infects a wide range of warm-blooded animals and humans. Considering the severity of toxoplasmosis, side effects of current treatments, and the contribution of the ethnopharmacological knowledge for the treatment of parasitic infections, the aim of the present study was to investigate the efficacy of methanolic extracts from the fruits and leaves of Sambucus nigra against tachyzoite of T. gondii. For this, fruits and leaves of S. nigra were collected from Mazandaran province, Iran, were dried under the shade, and powdered using a commercial electrical blender. For extractions, methanol was used as solvent. virulent RH strain of T. gondii was maintained in mice and macrophages containing tachyzoites were aspirated from the peritoneal cavity. Four concentrations (5, 10, 25 and 50mg/mL) of S. nigra extract were incubated with infected macrophages for 30, 60, 120 and 180 minutes and the viability of the tachyzoites were evaluated by trypan blue staining. Results showed that S. nigra fruit extracts at the concentrations of 5 and 10mg/ mL killed 100% of T. gondii tachyzoites after 60 and 120 minutes, respectively; and concentrations of 25 and 50mg/mL killed 100% of the tachyzoites after 30 minutes. Additionally, extract of S. nigra leaves, at the concentrations of 5, 10 and 25mg/mL after 180 minutes, and concentration of 50mg/mL after 60 minutes, resulted with the highest efficacy. Our results showed that S. nigra has acceptable efficacy in vitro and the parasiticidal effect of fruit extract was significantly better than leaf extract. However, in vivo efficacy of this extract needs further investigation.",18,26299111,Journal,ar,Article,100,7,7,13567,undefined,1,TRUE,4,22152075,10.15517/rbt.v63i1.14545,Anti-Toxoplasma | In Vitro | Methanolic Extract | Sambucus Nigra | Toxoplasma Gondii,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936797436,SCOPUS_ID:84936797436,2-s2.0-84936797436,Contribution of tropical upland forests to carbon storage in colombia,Yepes A.,Revista de Biologia Tropical,00347744,63,1,69-82,2015-07-07,7 July 2015,"The tropical montane forests in the Colombian Andean region are located above 1 500m, and have been heavily deforested. Despite the general presumption that productivity and hence carbon stocks in these ecosystems are low, studies in this regard are scarce. This study aimed to i) to estimate Above Ground Biomass (AGB) in forests located in the South of the Colombian Andean region, ii) to identify the carbon storage potential of tropical montane forests dominated by the black oak Colombobalanus excelsa and to identify the relationship between AGB and altitude, and iii) to analyze the role of tropical mountain forests in conservation mechanisms such as Payment for Environmental Services (PES) and Reducing Emissions from Deforestation and Degradation (REDD+). Twenty six 0.25ha plots were randomly distributed in the forests and all trees with D≥10cm were measured. The results provided important elements for understanding the role of tropical montane forests as carbon sinks. The information produced can be used in subnational initiatives, which seek to mitigate or reduce the effects of deforestation through management or conservation of these ecosystems, like REDD+ or PES. The AGB and carbon stocks results obtained were similar to those reported for lowland tropical forests. These could be explained by the dominance and abundance of C. excelsa, which accounted for over 81% of AGB/carbon. The error associated with the estimates of AGB/carbon was 10.58%. We found a negative and significant relationship between AGB and altitude, but the higher AGB values were in middle altitudes (≈1 700-1 800m), where the environmental conditions could be favorable to their growth. The carbon storage potential of these forests was higher. However, if the historical rate of the deforestation in the study area continues, the gross emissions of CO2e to the atmosphere could turn these forests in to an important emissions source. Nowadays, it is clear that tropical montane forests are vulnerable to deforestation, especially black Oak forests due to their commercial value. Given their high carbon storage potential, the presence of endemic species and the strategic functions of these ecosystems, we recommend that they should be considered relevant during REDD+, PES or any other conservation assessment.",9,26299116,Journal,ar,Article,100,10,10,13567,undefined,1,TRUE,5,22152075,10.15517/rbt.v63i1.14679,Above ground biomass (AGB) | Carbon sink | Carbon stocks | Emissions | Mitigation | Tropical mountain forests,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936797432,SCOPUS_ID:84936797432,2-s2.0-84936797432,Toxicity induced by dieldrin and chlorpyrifos in the freshwater crayfish cambarellus montezumae (cambaridae),Arceo S.D.B.,Revista de Biologia Tropical,00347744,63,1,83-96,2015-07-07,7 July 2015,"The toxicity induced by insecticides in aquatic organisms is of utmost relevance because it may give a clue about the degree of health or damage of the involved ecosystem. In the present report, we determined the effect of dieldrin (DD) and chlorpyrifos (CP) on the freshwater crayfish, Cambarellus montezumae. The organisms (4-6cm in diameter) were collected in the Ignacio Ramírez Reservoir, situated at 50km Northeast of Mexico City, in the Rio Lerma Basin. Initially, we determined the LC50 value with the Probit method, then the DNA damage with single cell gel electrophoresis (comet assay applied at 24, 48, and 72h of exposure) to the brain and hepatopancreas of animals exposed (in reconstituted water) to 0.05 and 0.5mg/L of each insecticide. In the hepatopancreas of the same organisms, we determined the lipid peroxidation by applying the TBARS test. DNA damage and lipid peroxidation were also evaluated with the same methods to organisms exposed in water from the reservoir. In regard to the LC50, at 72h of exposure, we found a value of 5.1mg/L and a value of 5.62mg/L for DD and CP, respectively. The comet assay applied at different exposure times showed significant DNA damage to both organs, with respect to the control level. In the case of DD, statistical significance was observed for the two doses in the whole evaluated schedule. CP was genotoxic in the brain with the high dose at 72h, and in the hepatopancreas with the two tested doses at all evaluated exposure times. Also, a significant lipid peroxidation increase was detected with the two doses of insecticides. In the study with water from the reservoir, a more pronounced DNA damage was detected. Our results showed strong DNA damage induced by both insecticides in the crayfish, as well as a correlation with the lipid peroxidation effect, suggesting that oxida-tive stress is involved in the genotoxic alteration. Our results also showed the usefulness of the studied organism as well as the applied tests for the evaluation of toxicological effects, and suggested the pertinence of applying the comet assay to other freshwater organisms to evaluate the bioaccumulation of insecticides.",13,26299117,Journal,ar,Article,100,5,5,13567,undefined,1,TRUE,6,22152075,10.15517/rbt.v63i1.13665,Chlorpyrifos | Crayfish | Dieldrin | Genotoxicity | Lipoperoxidation,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936777741,SCOPUS_ID:84936777741,2-s2.0-84936777741,Aboveground biomass input of myristicaceae tree species in the amazonian forest in perú,Adrianzén M.U.,Revista de Biologia Tropical,00347744,63,1,263-274,2015-07-07,7 July 2015,"Amazonian forests are a vast storehouse of biodiversity and function as carbon sinks from biomass that accumulates in various tree species. In these forests, the taxa with the greatest contribution of biomass cannot be precisely defined, and the representative distribution of Myristicaceae in the Peruvian Amazon was the starting point for designing the present study, which aimed to quantify the biomass contribution of this family. For this, I analyzed the databases that corresponded to 38 sample units that were previously collected and that were provided by the Team Network and RAINFOR organizations. The analysis consisted in the estimation of biomass using pre-established allometric equations, Kruskal-Wallis sample comparisons, interpolation-analysis maps, and nonparametric multidimensional scaling (NMDS). The results showed that Myristicaceae is the fourth most important biomass contributor with 376.97Mg/ha (9.92Mg/ha in average), mainly due to its abundance. Additionally, the family shows a noticeable habitat preference for certain soil conditions in the physiographic units, such is the case of Virola pavonis in “varillales”, within “floodplain”, or Iryanthera tessmannii and Virola loretensis in sewage flooded areas or “igapó” specifically, and the preference of Virola elongata and Virola surinamensis for white water flooded areas or “várzea” edaphic conditions of the physiographic units taken in the study.",3,26299130,Journal,ar,Article,100,1,1,13567,undefined,1,TRUE,7,22152075,10.15517/rbt.v63i1.14254,Aboveground biomass | Myristicaceae | Peruvian Amazon | Physiographic units | Preferences,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936777564,SCOPUS_ID:84936777564,2-s2.0-84936777564,Osteological development of the vertebral column and caudal complex of lutjanus guttatus (perciformes: Lutjanidae) larvae under rearing conditions,Rodríguez-Ibarra L.E.,Revista de Biologia Tropical,00347744,63,1,155-164,2015-07-07,7 July 2015,"The spotted rose snapper (Lutjanus guttatus) is an important commercial species in Mexico with good culture potential. The osteological study at early stages in this species is an important tool to confirm normal bone structure and for the detection of malformations that may occur during early development. This study was carried out in order to evaluate and describe the normal osteological development of the vertebral column and caudal complex of this species grown under controlled conditions. For this, a total of 540 larvae of L. guttatus, between 2.1 and 17.5mm of total length (TL), were cultured during 36 days; culture conditions were 28ºC, 5.74mg/L oxygen and 32.2ups salinity with standard feeding rates. To detect growth changes, a sample of 15 organisms was daily taken from day one until day 36 of post-hatch (DPH). Samples were processed following standard techniques of clearing, and cartilage (alcian blue) and bone staining (alizarin red). Results showed that the vertebral column is composed of ten vertebrae in the abdominal region, and 14 vertebrae including the urostyle in the caudal region. The development of the axial skeleton starts with the neural arches and haemal arches at 3.8mm TL. Caudal elements such as the hypurals and parahypural began to develop at 4.1mm TL. Pre-flexion and flexion of the notochord and the formation of all hypurals were observed between 5.3 and 5.8mm TL. Ossification of the vertebrae in the abdominal region and in some neural arches initiated at 9.5mm TL. In the caudal region, all the neural and haemal arches ossified at 10.2mm TL. All the abdominal vertebrae and their respective neural arches and parapophyses ossified at 11.2mm TL, while the elements of the caudal complex that ossified were the hypurals, parahypurals and modified haemal spines. All caudal fin rays, 12 neural spines and 3 haemal arches were ossified by 15.5mm. The complete ossification process of this specie under laboratory culture conditions was observed when larvae reached 17.3mm TL on 36 DPH. Detailed analysis of the osteological structures will allow a reference description to evaluate and detect malformations that may occur during the larval culture of the spotted rose snapper.",1,26299121,Journal,ar,Article,100,5,5,13567,undefined,1,TRUE,8,22152075,10.15517/rbt.v63i1.14648,Caudal complex | Larvae | Lutjanus guttatus | Osteology | Vertebral column,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936777211,SCOPUS_ID:84936777211,2-s2.0-84936777211,Growth stanzas in an epinephelidae-lutjanidae complex: Considerations to length-weight relationships,Renán X.,Revista de Biologia Tropical,00347744,63,1,175-188,2015-07-07,7 July 2015,"Growth stanzas or abrupt changes in growth rates are present throughout the life span of fish. Identifying growth stanzas will help to adequately described growth taking into account that fishes are indeterminate growers. In this study, we used length-weight (L-W) relationships to analyze the growth stanzas in the Grouper-Snapper complex of Southern Gulf of Mexico. For this, the type of sexuality, sex and different sexual maturity phase were considered in the analyses of three species of gonochoric Snappers (Lutjanidae) and six species of protogynous hermaphrodite Groupers (Epinephelidae). Welch ANOvA tests were carried out to determine the existence of differences in length and weight between juveniles and adults per sex. According to the observed differences, L-W relationship parameters (a and b), standard error (SE b) and coefficients of determination (R2) were calculated for all species separately by sex and sexual maturity phase. Snappers’ juvenile-females b-value ranged from 2.44-2.77, juvenile-males from 2.16-2.94, adult-females from 2.63-2.80 and adult-males from 2.63-2.98. Groupers’ b-value ranged for juvenile-females 2.66-3.20, adult-females from 2.73-3.31 and for adult-males 2.93-3.29. For each relationship b-value was t-tested (t-Student) to explore differences from the allometric coefficient (b=3), which indicated changes in body form. Hypothesis test, for regression slopes (b) between Snappers’ juvenile-females vs. adult-females and juvenile-males vs. adult-males and Groupers’ juvenile-females vs. adult-females and adult-females vs. adult-males, indicated different growth stanzas related to gonadal development for Snappers, and to gonadal development and sex change in Groupers. The identification of growth stanzas is crucial to avoid an overestimation or misleading growth rate which is used in fisheries management to establish some target reference points, such as maximum sustainable yield or yield-per-recruit.",6,26299123,Journal,ar,Article,100,4,4,13567,undefined,1,TRUE,9,22152075,10.15517/rbt.v63i1.14948,Grouper-Snapper Complex | Growth Stanzas | Gulf Of Mexico | Length-Weight Relationships,all,All Open Access
true,https://api.elsevier.com/content/abstract/scopus_id/84936776892,SCOPUS_ID:84936776892,2-s2.0-84936776892,"Ecology and Evolution of Biotic Interactions by Val E. and Boege K., 2012",Parra-Tabla V.,Revista de Biologia Tropical,00347744,63,1,313-318,2015-07-07,7 July 2015,NA,0,NA,Journal,ar,Article,100,1,1,13567,undefined,1,TRUE,10,22152075,10.15517/rbt.v63i1.16213,NA,all,All Open Access
