@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/85114054599,SCOPUS_ID:85114054599,2-s2.0-85114054599,Abstract: Physiological and molecular response of anadara tuberculosa (arcoida: Arcidae) to salinity stress,Mendoza O.,Revista de Biologia Tropical,00347744,22152075,65,3,1142-1151,2017-01-01,2017,10.15517/RBT.V65I3.29448,"The pustulose ark A. tuberculosa is an emblematic species of mangrove ecosystem that is currently in a vulnerable condition. The development of its aquaculture, to begin with genetic breeding programs, requires the identification of molecular biomarkers, particularly those associated with salinity stress. With this purpose, specimens of A. tuberculosa were collected from the adjacent mangroves of Puerto Pizarro bay (Tumbes, Perú), from January 2015 to February 2016. Different assays (groups of ten animals in triplicate) were undertaken in separated periods of 16 days: hypo-osmotic stress (extreme: 5, 10 ppt); (Moderate: 15, 25 ppt) and no stress (control group: 33 ppt). The presence of salinity stress biomarkers was assessed at the genetic level throughout PCR detection of 19 genes reported to be key actors in osmoregulation, and at the proteomic level with the sequencing of peptides (tandem mass spectrometry MALDI TOF/TOF), expressed in ark tissues exposed to different salinities. None of the tested genetic markers could be amplified by PCR, suggesting that A. tuberculosa has significant genetic differences compared to other mollusks. Proteomic analysis by mass spectrometry on A. tuberculosa gill tissue, allowed to identify 26 peptides expressed in presential and differential forms at different salinities, highlighting possible markers such as HSP70 and trans-membrane chloride channel transportation protein, to be related with salinity adaptation. These amino acid sequences will allow the design of target specific primers for A. tuberculosa, to implement future research in ecophysiology of this important fishery resource. Rev. Biol. Trop. 65 (3): 1142-1151. Epub 2017 September 01.",0,Journal,ar,Article,100,10,10,Adaptation | Anadara tuberculosa | Mangrove | Osmoregulation | Salinity,13567,undefined,1,TRUE,all,All Open Access,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85037605002,SCOPUS_ID:85037605002,2-s2.0-85037605002,Effects of artificial diets with different carotene content on the organoleptic characteristics of the gonads and reproductive condition of loxechinus albus (Echinodermata: Echinoidea),Fraysse C.,Revista de Biologia Tropical,00347744,22152075,65,1,S207-S220,2017-01-01,2017,10.15517/rbt.v65i1-1.31689,"The organoleptic characteristics of sea urchins gonads (size and color, among others) can be improved by artificial diets. Loxechinus albus is considered one of the most economically significant resources from the littoral-benthic systems in the South Pacific Ocean from Peru to Chile. The objective was to determine artificial diets effects on the organoleptic traits of gonads, reproductive condition, body growth and survival of Loxechinus albus. Two types of diets were administrated (low carotene content diet (LC): balanced food with 0.02% β-carotene and high carotene content diet (HC): balanced food with 0.045% β-carotene) for 16 weeks. As a measurement of growth rate, test diameter of sea urchins fed with artificial diets was measured at the beginning and at the end of the experiment. At both times, size (GI) and color (CI) of the gonads were recorded in ten individuals from each treatment and ten from the natural population (NP). Energy density (ED), energy content (EC) and total carotenes (TCC) were determined by calorimetry and spectrophotometry, respectively. Histological sections were examined microscopically and the sex was identified. Each female was assigned to a gametogenic stage (reproductive condition) and determined: number and diameter of the oocytes, gonadal area occupied by oocytes, and relative frequencies of reproductive stages. At the end of the experiment in relation to the NP, it was possible to achieve higher GI values for both artificial diets. The NP showed higher gonadal area occupied by oocytes and larger oocyte diameter at 16 weeks (P<0.01). In addition, individuals fed with both artificial diets, presented “growth” and “advanced growth” gonad stages (both times), while the NP individuals, presented stages of “prematurity”, “maturity” and “partial spawning” at week 16. The data shows the highest CI value for the HC diet at eight weeks (P<0.01). Moreover, TCC values for the NP were significantly higher at week 16 (P<0.01). Loxechinus albus is an appropriate species to be kept in captivity, as their mortality is very low, facilitating the achievement of long-term experiences of gonadal improvement. According to our data the optimal time to improve the organoleptic characteristics is eight weeks with a high carotene artificial diet, since optimal gonad coloration was reached, and GI values did not differ significantly from the ones achieved at the end of the experiment for both diets, or the ones shown in the NP. This is translated into a lower cost by a reduced cultivation time.",2,Journal,ar,Article,100,3,3,Beagle channel | Echinoculture | Gonad histology | Gonad improvement | β-carotene,13567,PIP 0128,1,TRUE,all,All Open Access,2,CONICET,Consejo Nacional de Investigaciones Científicas y Técnicas
true,https://api.elsevier.com/content/abstract/scopus_id/85037604060,SCOPUS_ID:85037604060,2-s2.0-85037604060,Does echinoderm research deserve an ethical consideration?,Rubilar T.,Revista de Biologia Tropical,00347744,22152075,65,1,S11-S22,2017-01-01,2017,10.15517/rbt.v65i1-1.31662,"Traditional ethics reflection centers the discussion in conflicts that affect humans. According to epistemology-based ethics, facts are needed to include other living beings as object of ethical consideration. In this sense, huge efforts have been made to demonstrate that animal suffering is real. However, the ethical reflection only reaches large vertebrates and some species of small ones, excluding invertebrates. However, a different approach (ethic-based epistemology) is equally valid and questions the assumptions of traditional ethics. This new insight does not demand facts to demonstrate that living beings should be considered ethically, since ethics should be first than epistemology (facts). Thus, all living beings should be treated with respect and a relationship based on empathy should be established. In this context, we discuss all the advances made in echinoderm research in the last 3000 years and the different uses humans made of these organisms. Finally we emphasize that, when studying echinoderms, a reflection about our behavior as researchers is necessary, and we encourage the use of ethically responsible research.",7,Journal,ar,Article,100,2,2,3Rs principle | Antropocentric doctrine | Echinodermata | Ethics | Non-antropocentric doctrine,13567,PIP 0352/14,1,TRUE,all,All Open Access,3,CONICET,Consejo Nacional de Investigaciones Científicas y Técnicas
true,https://api.elsevier.com/content/abstract/scopus_id/85037602477,SCOPUS_ID:85037602477,2-s2.0-85037602477,"Reproductive biology and energetics of the brooding sea star anasterias antarctica (Echinodermata: Asteroidea) in the beagle channel, tierra del fuego, Argentina",Pérez A.,Revista de Biologia Tropical,00347744,22152075,65,1,S221-S232,2017-01-01,2017,10.15517/rbt.v65i1-1.31690,"The brooding sea star Anasterias antarctica is distributed from the coast of Patagonia to the northern Peninsula of Antarctica. In the Beagle Channel, the females of A. antarctica brood their eggs for seven months and do not feed during this period. The endoparasite Dendrogaster argentinensis (Crustacea: Ascothoracica) causes castration in several species of Anasterias. We randomly collected four samplings of adults in May, August and October (brooding period) and January (non-brooding period). The gonad (GI) and pyloric caeca index (PCI) were calculated as organ wet weight (g) x 100/total wet weight (g). Each individual was sexed by microscopic examination of the gonads. Sex ratio, brooding females/non-brooding females and mature females/ non-mature females ratios was 1:1. The male GI reached maximum values in January, when most individuals were sexually mature. The GI of non-brooding females reached its maximum during October when it was significantly higher than those from brooding females. The PCI was minimum in October, being lower in brooding females (August and October). During the non-brooding period, mature females had a significantly higher GI than non-mature females. The PCI did not vary neither between males, nor between mature and non mature females. By the end of the brooding period, non-brooding females showed a higher GI than the brooding females. This is explained by proliferation and increase of the oocytes size of non-brooding females. Mature females showed an incremented GI with presence of mature oocytes, while non-mature females exhibited more abundance of previtelogenic oocytes. Males showed synchronicity in reproductive condition. The females that have not brooded presented a process of active gametogenesis, reaching the summer with a high GI, therefore becoming mature females. Females that had brooded were probably lacking energy for new gonadal maturation. The pyloric caeca would be performing the role of a reserve organ in the brooding females, decreasing its size during the brooding period. Prevalence of D. argentinensis in A. antarctica was 11.06%. As this parasite was recorded in sea stars lacking gonads, these infected hosts could have been castrated.",5,Journal,ar,Article,100,5,5,Brooding sea star | Endoparasite | Gonad | Pyloric caeca | Reserve organ,13567,PICT 1270,1,TRUE,all,All Open Access,4,CONICET,Consejo Nacional de Investigaciones Científicas y Técnicas
true,https://api.elsevier.com/content/abstract/scopus_id/85037601753,SCOPUS_ID:85037601753,2-s2.0-85037601753,"Distribution and abundance patterns of echinoderms in the fjord and channel complex from a subantarctic north Patagonian ice field, Magellan region",Mutschke E.,Revista de Biologia Tropical,00347744,22152075,65,1,S60-S72,2017-01-01,2017,10.15517/rbt.v65i1-1.31667,"The existence of latitudinal marine biodiversity gradients from low to high-southern latitudes is a controversial issue regarding the marine biogeographic division in the Southeastern Pacific. In this region, the Northern Patagonian Icefield is considered a break point for faunistic elements derived from more northern or southern biogeographical realms. However, the division seems to be better defined by distribution patterns and endemism of specific marine taxa. There have been no exhaustive latitudinal benthic inventories compiled along the southern-eastern Pacific Chilean coastline. This study focuses on the spatial distribution variability and relative abundance of the sublittoral echinoderm assemblages and uses them to establish an evaluation of zoogeographic relationship in the Southeastern Pacific and Atlantic Oceans. This is the first time echinoderms have been used for this purpose. A total 3 665 echinoderm specimens were collected in two cruises. Within this organism pool, 29 species were distinguished, belonging to the asteroids (17 species), echinoids (6 species), ophiuroids (4 species) and holothurians (2 species); crinoids were not found. The dominant species were the asteroid Ctenodiscus procurator, the echinoid Pseudechinus magellanicus, the ophiuroid Ophiuroglypha lymani, and the irregular sea urchin Tripylaster philippii. The spatial distribution patterns for the echinoderm clusters along the study area showed only weak geographical trends. Stations belong in three groups: with influence of glacier processes, influence of waters of the open Pacific Ocean, and a third group of stations without any links to specific locations.",1,Journal,ar,Article,100,3,3,Asteroids | Invertebrates | Magellan region | Patagonian icefield | Zoogeography,13567,undefined,1,TRUE,all,All Open Access,5,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85037601281,SCOPUS_ID:85037601281,2-s2.0-85037601281,Expansion of global sea cucumber fisheries buoys exports,Conand C.,Revista de Biologia Tropical,00347744,22152075,65,1,S1-S10,2017-01-01,2017,10.15517/rbt.v65i1-1.31661,"The sea cucumber fisheries have expanded during the past two decades, at a faster rate than the management capacity. The exploitation is now qualified as ‘serial’ and ‘contagious’. I present the most recent trends from the last six years of the FAO capture data. Hong Kong remains the most important market for the imports and re-exports of the processed products, mainly the dry “trepang” (or bêche-de-mer), but also other product forms, which raised difficulties for the analysis. The catches still increase. with new countries developing export fisheries, species targeted change and new products are traded.",19,Journal,ar,Article,100,1,1,Bêche-de-mer | Globalization | Holothurian | Management | Statistics | Trade | Trepang,13567,undefined,1,TRUE,all,All Open Access,6,NA,Institut Français d’Amérique
true,https://api.elsevier.com/content/abstract/scopus_id/85037601270,SCOPUS_ID:85037601270,2-s2.0-85037601270,The sea urchins arbacia incisa and eucidaris thouarsii (Echinodermata) as fouling biocontrol agents in culture cages of crassostrea gigas (mollusca: Ostreidae),Sonnenholzner J.,Revista de Biologia Tropical,00347744,22152075,65,1,S35-S41,2017-01-01,2017,10.15517/rbt.v65i1-1.31665,"Fouling clogs cultivation cages of bivalves afecting their growth. We tested biocontrol with sea urchins in the suspended culture of C. gigas during one month. The experimental design included: 1) oysters without sea urchins, 2) oysters with the black sea urchin Arbacia incisa (50.5 ± 0.43 mm of diameter testa-DT), 3) oysters with the pencil sea urchin E. thouarsii (34. 2 ± 2.13 mm DT) and 4) oysters without sea urchins with a pearl net protective bag (to avoid predation). The dry mass of the pearl nets and the oyster soft tissues were determined at the beginning and end of the experiment. There was similar fouling in cages without urchins (55.3 ± 5.80 g) and with A. incisa (46.1 ± 2.84 g). These amounts were significantly higher than those found in cages with E. thouarsii (39.1 ± 1.9 g) and with protective sacs without urchins (35.6 ± 5.17 g). The growth of C. gigas with E. thouarsii was significantly higher (0.49 ± 0.089 g). We recommend E. thouarsii as a fouling biocontrol agent for C. gigas.",5,Journal,ar,Article,100,4,4,Biocontrol | Marine aquaculture | Oysters | Pearl nets | Polyculture,13567,undefined,1,TRUE,all,All Open Access,7,SENESCYT,"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación"
true,https://api.elsevier.com/content/abstract/scopus_id/85037597397,SCOPUS_ID:85037597397,2-s2.0-85037597397,A supplementary description of brisaster iheringi (Spatangoida: Schizasteridae) from the miocene of Patagonia Argentina,Martínez S.,Revista de Biologia Tropical,00347744,22152075,65,1,S137-S146,2017-01-01,2017,10.15517/rbt.v65i1-1.31675,"Neogene Argentinean echinoids are important biostratigraphic tools. New specimens of Schizaster iheringi (de Loriol, 1902) from Early Miocene sedimentites (Chenque Formation, Patagonia, Argentina) allowed us to improve its original description, providing for the first time details of the apical disc and the oral side of test. The species is included into the genus Brisaster: the first unquestionable documented reference to the taxon from the Neogene of Argentina. All previously reported specimens of this species are evaluated, concluding that the stratigraphic range of the genus Brisaster in Patagonia must be restricted to the Early Miocene.",3,Journal,ar,Article,100,2,2,Argentina | Brisaster | Chenque Fm | Miocene | Spatangoida,13567,undefined,1,TRUE,all,All Open Access,8,UBA,Universidad de Buenos Aires
true,https://api.elsevier.com/content/abstract/scopus_id/85037596265,SCOPUS_ID:85037596265,2-s2.0-85037596265,"Population parameters of the sea Urchin Arbacia dufresnii (Blainville, 1825) from north Patagonian Gulfs invaded by kelp Undaria Pinnatifida (Harvey) Suringar, 1873",Epherra L.,Revista de Biologia Tropical,00347744,22152075,65,1,S101-S112,2017-01-01,2017,10.15517/rbt.v65i1-1.31671,"The Asian seaweed Undaria pinnatifida invaded Argentina in 1992 (Golfo Nuevo, Patagonia). Its range has expanded and it has changed the native benthic community. Sea urchins are usually generalist herbivores that have a key role in controlling seaweeds. Arbacia dufresnii is the most abundant sea urchin in the coastal areas of northern Patagonia. The aim of this study was to relate the population parameters of A. dufresnii to the presence of the invasive seaweed. In 2012 we sampled sites with different invasion stages (advanced: Golfo Nuevo, recently invaded: San José Gulf, Punta Tehuelche; no invasion: San José Gulf, Zona 39). Sea urchin density was higher in the invaded sites and varied with the seaweed cycle. In addition, there were variations in the size distribution in the invaded sites. The invasive algae probably affects urchin populations because it is a new source of food that changes environmental structure (it provides microhabitat for new recruits) and affects the native benthic community.",2,Journal,ar,Article,100,4,4,Biological invasions | Density | Echinoidea | Patagonia | Size structure,13567,undefined,1,TRUE,all,All Open Access,9,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85037594607,SCOPUS_ID:85037594607,2-s2.0-85037594607,Occurrence of the genus pseudoboletia (Echinoidea: Toxopneustidae) in the South-Western Atlantic: Morphological and molecular approaches,Lopes E.,Revista de Biologia Tropical,00347744,22152075,65,1,S299-S308,2017-01-01,2017,10.15517/rbt.v65i1-1.31698,"The genus Pseudoboletia was recently reported off coast of Brazil (Trindade-Martin Vaz insular complex). This study reports the first record of this genus to southern of Brazil in Rio de Janeiro and Santa Catarina coasts. Morphological and molecular data showed that sea urchins from Brazil and São Tomé are the same species, genetically distinct of individuals from Indo-Pacific. However, taxonomic identity of Brazilian species remains as a challenge. Two hypotheses to explain the recent records of this species on Brazilian coast are discussed: a recent natural invasion by long-distance dispersal and a recent population expansion in the Brazilian coast after absence or low density period.",2,Journal,ar,Article,100,3,3,Brazilian coast | Long distance dispersal | New record | Population expansion | Sea urchin,13567,undefined,1,TRUE,all,All Open Access,10,NA,NA
