@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/85092533233,SCOPUS_ID:85092533233,2-s2.0-85092533233,"35 years of change in megazoobenthos abundance and biomass in the gulf of batabanó, cuba, and implications for the lobster, panulirus argus (Decapoda: Palinuridae)",Castillo A.L.,Revista de Biologia Tropical,00347744,22152075,68,4,1346-1356,2020-12-01,December 2020,10.15517/RBT.V68I4.41209,"Introduction: Benthos is an efficient indicator of environmental disturbances, biodiversity and trophic dynamics. In Cuba, benthic mollusks have been reported as the main food for the lobster Panulirus argus. Objectives: To estimate spatiotemporal variations in the soft-bottom benthic community of the Gulf of Batabanó, and to infer, with emphasis on mollusks, the effect of such variations on the availability of food for spiny lobsters. Methods: A historical analysis of the variations in the density and biomass of megazoobenthos (organisms ≥ 4 mm) and particularly of megazoobenthic mollusks was carried out, taking as a reference the studies published in 1990 (with samples from 1983) and recent data (2007-2018) recorded on site using comparable methodologies based on sediment drags. Abundance was given as density (ind/m2) and biomass in g/m2. Results: It was found that both the density and the biomass were significantly higher at the end of the last century and show a tendency to gradually decrease towards recent times. Regarding the values reported in 1983, the density of organisms showed a decrease of 73 %, however, the biomass experienced an even greater decrease (86 %). The areas with the highest density and biomass, both benthos and mollusks, have varied from 1983 and are currently located towards the center of the gulf. Despite this, bivalves continue to be better represented than gastropods. In general, mollusks showed a significant decrease (55 % and 88 % respectively). Conclusions: The deterioration of the benthic community in the fishing areas of the Gulf of Batabanó was corroborated and it was demonstrated, based on megazoobenthos, that malacofauna can be used as a reliable indicator of the general parameters of the softbottom benthic community. The availability of food for lobsters have decreased 55.6 % compared to 1983. This could help to explain the current changes in the abundance, distribution and nutritional condition of lobsters, which could also be related to the recent megazoobenthos variations.",4,Journal,ar,Article,100,2,2,Benthos | Food availability | Mollusks | Soft bottoms | Spiny lobster,13567,CONACYT,undefined,Consejo Nacional de Ciencia y Tecnología,1,TRUE,all,All Open Access,1
true,https://api.elsevier.com/content/abstract/scopus_id/85092528247,SCOPUS_ID:85092528247,2-s2.0-85092528247,"Berberine, curcumin and quercetin as potential antiparasitic agents",Elizondo-Luévano J.H.,Revista de Biologia Tropical,00347744,22152075,68,4,1241-1249,2020-12-01,December 2020,10.15517/RBT.V68I4.42094,"Introduction: The indiscriminate use of antiparasitic agents has resulted in the establishment of resistance to them. Therefore, the development of new treatment alternatives is necessary. Natural products have various qualities as pos-sible adjuvants in therapies against different etiological agents, among which its antiparasitic effects stand out. Objective: To evaluate the antiparasitic, antioxidant, cytotoxic, and cytoprotective activity of Berberine (Ber), Curcumin (Cur), and Quercetin (Qr). Methods: Analytical grade Ber, Cur, and Qr solutions were prepared, and aliquots were made at different concentrations for their evaluation against Entamoeba histolytica, Trichomonas vaginalis, and Strongyloides venezuelensis. To do this, the mean inhibitory concentration (IC50) was determined, and the antioxidant capacity (EC50) was also determined by the DPPH assay, both using the Probit statistical test. The cytotoxic and cytoprotective activity was determined by the hemolysis technique, Anova and Tukey’s test were applied to determine the difference in the means in the treatments evaluated. Results: Ber, Cur, and Qr, showed activity against E. histolytica, T. vaginalis, and S. venezuelensis in-vitro. Ber presented IC50 of 1.7, 1.2, and 1.9 μM respectively, being more effective compared to Cur with IC50 of 55.3, 40.6, and 13.7 μM, or Qr with IC50 of 147.2, 93.2, and 110.9 μM, however, the best antioxidant activity (EC50 = 1.1 μg/ml), cytoprotec-tive and less hemolytic, was presented by Qr (P < 0.001) compared to the evaluated control. Conclusions: The metabolites of natural origin berberine, curcumin, and quercetin, have activity against trophozoites of E. histo-lytica, T. vaginalis and larvae of S. venezuelensis in low doses comparable to the reference drugs in the case of Ber. Furthermore, these non-synthetic products of natural origin could be the subject of future research to help treat parasitosis, since in low doses, they showed antioxidant activity without showing considerable cytotoxicity in human erythrocytes.",4,Journal,ar,Article,100,5,5,Antiparasitic activity | Antiparasitics | Berberine | Curcumin | Quercetin,13567,CONACYT,CB176853,Consejo Nacional de Ciencia y Tecnología,1,TRUE,all,All Open Access,2
true,https://api.elsevier.com/content/abstract/scopus_id/85092512063,SCOPUS_ID:85092512063,2-s2.0-85092512063,Population parameters of tuta absoluta (Lepidoptera: Gelechiidae) and associated losses in greenhouse tomato,Pérez Marulanda J.A.,Revista de Biologia Tropical,00347744,22152075,68,4,1025-1038,2020-12-01,December 2020,10.15517/RBT.V68I4.40898,"The tomato leafminer, Tuta absoluta (Meyrick), the most threatening pest for tomato, Solanum lycopersicum L., production worldwide, may cause total losses, and is difficult to control. Thus, understanding its populations dynamic in the crop is a priority to mitigate damage. Objective: Herein, population parameters of T. absoluta were evaluated in tomato var. Sonero in the greenhouse, in three management systems (commercial, maximum population and total control). Methods: during 25 weeks in La Union, Antioquia, Colombia, mathematical models were applied to describe the populations of larvae and adults (males) in time, as related to production parameters and associated losses. Results: The intrinsic growth rate was 0.447 larvae per week. The Gaussian and exponential models described best the population over time. The losses were associated with weight and number of marketable fruits, and with total production weight, and number of clusters and total fruits. Conclusion: T. absoluta larvae have growth exponentially in a ventilated greenhouse, with a smaller intrinsic growth rate than that calculated by life tables in the laboratory.",0,Journal,ar,Article,100,2,2,Damage index | Exponential growth | Integrated Pest Management | Tomato leafminer | Tomato moth,13567,UCN,undefined,Universidad Católica del Norte,1,TRUE,all,All Open Access,3
true,https://api.elsevier.com/content/abstract/scopus_id/85092494193,SCOPUS_ID:85092494193,2-s2.0-85092494193,"Age and growth of the smalleye smooth-hound shark, mustelus higmani (Carcharhiniformes: Triakidae) from the venezuelan Caribbean",Carrillo L.,Revista de Biologia Tropical,00347744,22152075,68,4,1211-1220,2020-12-01,December 2020,10.15517/RBT.V68I4.41553,"Introduction: Mustelus higmani is one of the shark species most commonly caught in the Northeastern region of Venezuela; however, this species has been poorly studied. Objective: to evaluate the age and growth of M. higmani on the basis of the optical analysis of vertebrae. Methods: Between August 2016 and July 2017, the vertebral samples were collected in the fishing port of Juan Griego, Margarita Island. The growth study was based on a sample of 238 individuals, 86 males (24.1-59.5 cm TL) and 152 females (24.4-69.5 cm TL) and the use of VBGF modeling approach. Results: The RMI analysis suggested an annual periodicity for the deposition of growth rings. Ages assigned varied between 0 and 5 years in males, and between 0 and 6 years in females. The estimates of VBGF parameters were L∞ = 60.4 cm TL, k = 0.53 years−1 and t0 =-1.02 years in males; and L∞ = 71.1 cm TL, k = 0.38 years−1 and t0 =-1.17 years in females. The ages at maturity and longevi-ties resulted respectively in 2.6 and 6.6 years for males; and in 2.1 and 9.0 years for females. Conclusions: In general, results indicate that M. higmani has a rapid growth, early maturity, short longevity, and annual reproductive cycle, characterizing it as a biologically productive species.",0,Journal,ar,Article,100,4,4,Biology | Caribbean | Ecology | Elasmobranchs | Fishery | Sharks,13567,INIA,undefined,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,1,TRUE,all,All Open Access,4
true,https://api.elsevier.com/content/abstract/scopus_id/85092481833,SCOPUS_ID:85092481833,2-s2.0-85092481833,Epiedaphic springtails (Hexapoda: Collembola) in two soil uses of Colombia eastern plains.,Duarte Núñez D.A.,Revista de Biologia Tropical,00347744,22152075,68,4,1198-1210,2020-12-01,December 2020,10.15517/RBT.V68I4.38333,"Introduction: Epiedaphic springtails participate in a wide variety of services linked to plant nutri ent availability, water storage and regulation, soil stability and control of moisture and pH necessary for soil fertility. Therefore, epiedaphic springtails are sensitive to soil use change. Objective: To compare diversity of epiedaphic springtails in two types of introduced vegetation: pastures and forestations of Eucalyptus pellita in a region of the Colombian eastern plans. Methods: Springtails were collected from introduced pastures and young, middle and mature forested areas of E. pellita, using pitfall traps containing Propylene Glycol (40 %) as preservative, during one dry and one wet season. Alfa and Beta diversity were compared at genus level, and community composition was explained using a set of 14 environmental variables through a redundancy analysis (RDA). Results: Epiedaphic springtails were represented by Entomobryomorpha (62 %), Poduromorpha (17 %) and Symphypleona (21.1 %), 12 families and 26 genera. Effective number of Collembola genera was lower in plantations but abundance was different only in young plantations during dry season. The variables related to forest coverage, soil organic matter coverage and Nitrogen better explained the observed genera assemblage. Conclusions: Forest plantations allowed an assembly of springtails less diverse than in pastures; but comprised both types of genera, those proper of open areas and those from surrounding natural wooded areas.",0,Journal,ar,Article,100,3,3,Bioindicators | Effective diversity | Forest plantations | Land use change | Soil fauna,13567,NA,undefined,NA,1,TRUE,all,All Open Access,5
true,https://api.elsevier.com/content/abstract/scopus_id/85092471770,SCOPUS_ID:85092471770,2-s2.0-85092471770,Occurrence of non-native species and their potential impact on plant communities in protected areas in the Brazilian amazon region,Magalhães L.C.S.,Revista de Biologia Tropical,00347744,22152075,68,4,1039-1048,2020-12-01,December 2020,10.15517/RBT.V68I4.40429,"Introduction: There is a large information gap on the occurrence of non-native species and their impacts on native biodiversity in the Amazon region in Brazil. Objective: The objective of this study was to characterize the floristic composition of a protected area in Manaus, Amazonas, and assess the potential impact of non-native invasive species. Methods: A floristic survey was carried out in 30 plots measuring 20 x 20 m with 1 x 1 m subplots. The estimated parameters were density, frequency, dominance, Importance Value Index (IVI), and Environmental Impact of Non-Native Species (IIAE). Results: In total, 8 out of 264 species registered in the tree-shrub layer were not native. A total of 61 species were identified in the herbaceous layer, five of which were non-native. The impact is estimated based on the highest abundance of species of non-native species. Conclusions: The presence of non-native species in the study area is an indication of a potential impact on biodiversity and ecosystem functions.",0,Journal,ar,Article,100,3,3,Abundance | Biological invasions | Index of environmental impact of non-native species | Invasive species | Phytosociology,13567,FAPEAM,04/2012,Fundação de Amparo à Pesquisa do Estado do Amazonas,1,TRUE,all,All Open Access,6
true,https://api.elsevier.com/content/abstract/scopus_id/85092460874,SCOPUS_ID:85092460874,2-s2.0-85092460874,Ecological quality index for water management in three Colombian ecosystems,Hernández E.,Revista de Biologia Tropical,00347744,22152075,68,4,1337-1345,2020-12-01,December 2020,10.15517/RBT.V68I4.41522,"Introduction: Research and diagnosis of water sources is of academic and governmental interest, for this reason, the exploration of numerical tools applied to watershed management, offers the possibility to identify where and what variables are useful in monitoring and rehabilitation programs of aquatic ecosystems. Environmental planning and management, which includes water quality, is conventionally analyzed by physical, chemical and hydrobiological indexes. In 2014, through the water management guide, included the assessment of the ecological quality index (EQI); it was generated a comprehensive approach through a numerical system of correlations that diagnoses, classifies and detects environmental impacts. Objective: This research aims to demonstrate that the EQI allows to assess the quality of aquatic ecosystems affected by different environmental situations. Methods: In order to analyze the application of this tool, we studied three scenarios located in different biogeographical regions of Colombia and, as a hydrobiological group indicator, we used peripheral and phytoplankton algae. The ecosystems were monitored between 2007 and 2015 and correspond to a flood plain, a high mountain Andean river and a group of water stream in a tropical humid forest. Results: Canonical correlations were significant (P < 0.005) and a model of weighted averages, allowed to estimate the optimum and the tolerance of each taxa for the sites ecological classification; variables related to ion concentration, acidity damping, temperature and hydraulics, influenced the models that explained the abundances distribution of the studied biological groups. Conclusions: The application of the EQI makes it possible to identify variables, organisms and numerical systems to classify ecological status. These results are useful in the diagnosis and monitoring of aquatic ecosystems and that can be implemented in other scenarios.",0,Journal,ar,Article,100,10,10,Ecological indicators | Ecological quality | Periphytic algae | Phytoplanktonic algae,13567,NA,undefined,NA,1,TRUE,all,All Open Access,7
true,https://api.elsevier.com/content/abstract/scopus_id/85092460505,SCOPUS_ID:85092460505,2-s2.0-85092460505,"Redescription of the snake Lachesis melanocephala (Squamata: Viperidae): Designation of a neotype, natural history, and conservation status",Solórzano A.,Revista de Biologia Tropical,00347744,22152075,68,4,1384-1400,2020-12-01,December 2020,10.15517/RBT.V68I4.42359,"Introduction: The Black-headed Bushmaster (Lachesis melanocephala) is a large venomous snake that inhabits tropical moist forest, wet forest, montane and premontane wet forest in Southwestern Costa Rica and extreme Western Panama. Objective: We assign a neotype for the species due to the loss of the original holotype and update the information on its geographical distribution, natural history, and conservation status. Methods: To determine the conservation status of L. melanocephala, we modeled its potential distribution using the species` locality records and distribution modeling analysis implemented in MaxEnt. Based on the species’ potential distribution, we evaluate the loss of its original habitat and estimate the percentage of its distribution area that is currently protected by the country’s protected area system. Results: The potential distribution of the species was estimated at 10 139 km2, including areas where the species currently occurs and historical areas where the species has been registered but is nowadays considered locally extinct. About 29 % of that potential distribution overlaps with protected wild areas, so less than a third of the potential distribution of the species is under protection. Conclusions: During the last decade, accelerated habitat loss and growing evidence of declining natural populations indicate the need for urgent protective measures to prevent the extinc-tion of this species in the foreseeable future.",0,Journal,ar,Article,100,2,2,Neotropical pitvipers | Snake conservation | Species distribution model,13567,NA,undefined,NA,1,TRUE,all,All Open Access,8
true,https://api.elsevier.com/content/abstract/scopus_id/85092452196,SCOPUS_ID:85092452196,2-s2.0-85092452196,"Effect of stress on the leaf anatomy of sugarcane cultivars with different drought tolerance (Saccharum officinarum, poaceae)",Taratima W.,Revista de Biologia Tropical,00347744,22152075,68,4,1159-1170,2020-12-01,December 2020,10.15517/rbt.v68i4.41031,"Introduction: Drought is an important stress factor for sugarcane production in many areas of the world. Water proportion and moisture indices are applicable information for agronomic planning to forecast water excess or deficit during the crop cycle. Objective: Leaf anatomical features of two different sugarcane Saccharum ‘UT12’ (drought susceptible cultivar) and Saccharum ‘UT13’ (drought tolerant cultivar) were compared under early drought stress situation between 30 and 90 days after planting. Methods: Forty leaf anatomical features were investigated using peeling and free hand sectioning technique. Results: Some anatomical characteristics showed response to drought stress. Saccharum ‘UT12’ demonstrated higher sensitivity toward anatomical characteristics than Saccharum ‘UT13’. A total of 23 and 15 out of the 40 anatomical characteristics showed significance in Saccharum ‘UT12’ and Saccharum ‘UT13’, respectively. Some anatomical features such as cell wall and cuticle thickness, vascular bundle size, stomatal size and density can be used as important markers for drought stress assessment in sugarcane leaf. Conclusions: This is the first report describing comparative leaf anatomy of sugarcane Saccharum ‘UT12’ and Saccharum ‘UT13’ in Thailand under drought stress. Results will provide important information to improve adaptation mechanisms of tolerant sugarcane cultivars under initial drought stress situations.",4,Journal,ar,Article,100,5,5,Adaptation | Drought stress | Leaf anatomy | Phenotypic correlation | Sugarcane,13567,KKU,undefined,Khon Kaen University,1,TRUE,all,All Open Access,9
true,https://api.elsevier.com/content/abstract/scopus_id/85092451304,SCOPUS_ID:85092451304,2-s2.0-85092451304,"Profundulus chimalapensis, a new species of cyprinodontid fish (cyrpinodontiformes: Profundulidae) from the coatzacoalcos river, Mexico",Del Moral-Flores L.F.,Revista de Biologia Tropical,00347744,22152075,68,4,1185-1197,2020-12-01,December 2020,10.15517/RBT.V68I4.40340,"Introduction: The genus Profundulus is considered a Mesoamerican endemic fish which spreading occurs, from the center-south of the state of Guerrero, Mexico, to the central part of Honduras. They mainly inhabit the upper basins and headwaters of the rivers of the Pacific slope, with less diversity in the Atlantic. Objective: This paper, based on morphological comparison we propose a new species, Profundulus chimalapensis sp. nov., confined to Mexico. Methods: Specimens were collected in the tributaries of the upper basin of the Coatzacoalcos River and were deposited in scientific collections. Morphological data (counts, measurements and skeletal features) were taken and compared with related species. Results: The new species differs from its congeners by having the following combination of characters: 12-15 dorsal-fin rays, 14-17 anal-and 13-16 pectoral-fin rays; dark colored stripe on the flanks; anal fin with a clear distal margin; anterior and posterior margin of the alveolar process of the premaxilla concave; pair of short and wide epiotic processes; and large anal fin base, equal to or greater than length of caudal peduncle. Conclusion: The description of this new Profundulus species from Atlantic side of the Isthmus of Tehuantepec suggests that this area has been a center of speciation for the genus.",2,Journal,ar,Article,100,3,3,Ichthyology | Killifish | Morphology | Neotropical fish | Taxonomy,13567,CONACYT,undefined,Consejo Nacional de Ciencia y Tecnología,1,TRUE,all,All Open Access,10
