"","ISO","NAME","X","Y","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"1","AFG","Kabul","69.17246","34.528887","3289005","4523555.17303635","5867371.12492397","6906646.56339648","7922174.11087381","8574889.48953338","9155874.54920678","9673612.07964703","9910005.11462166","9975397.61738734"
"2","AFG","Kandahar","65.7148476505095","31.5024485400417","570438.447732055","784556.360095885","1017625.11056369","1197874.96360079","1374006.02993","1487211.67948463","1587976.56600673","1677771.92758172","1718771.46267686","1730113.00754255"
"3","AFG","Hirat","62.1547911798729","34.4838969446008","458973.248785204","631251.94818117","818778.441210899","963806.99068966","1105521.57540344","1196606.53814307","1277681.69623312","1349930.80390069","1382918.92014025","1392044.29679385"
"4","AFG","Kandahar","65.71013","31.61332","383498","527446.556557103","684135.50349303","805315.024990665","923725.542275516","999832.158800936","1067575.01976181","1127943.21848719","1155506.64758709","1163131.41374756"
"5","AFG","Herat","62.19967","34.34817","358691","493328.082070894","639881.428021576","753222.3157068","863973.315335013","935156.889664265","998517.727376373","1054980.94118454","1080761.39883301","1087892.94840789"
"6","AFG","Kunduz","68.8570485325429","36.795835044149","335909.064210956","461994.793282853","599239.93546729","705382.078758264","809098.828399434","875761.242120799","935097.773295254","987974.776935284","1012117.81203688","1018796.40766395"
"7","AFG","Mazar-e Sharif","67.11087","36.70904","283532","389957.645342997","505802.657579403","595394.44707835","682939.025633671","739207.014506326","789291.418737794","833923.505791716","854302.006278162","859939.233066859"
"8","AFG","Injil","62.3107597773745","34.3092185993613","253612.061835046","348807.056924005","452427.43277781","532564.977951968","610871.345733718","661201.610653746","706000.818584147","745923.069412083","764151.11254469","769193.466525592"
"9","AFG","Imam Sahib","68.8523723684589","37.1062039519107","250183.635100011","344091.747128902","446311.342340411","525365.556933337","602613.34870382","652263.229478928","696456.824249349","735839.390524938","753821.019863378","758795.209337157"
"10","AFG","Taluqan","69.603772601251","36.7397304260251","235143.430100509","323406.099910662","419480.594279213","493782.333383177","566386.245774729","613051.34145484","654588.164831136","691603.182685924","708503.816493353","713178.974300404"
